node,elev_m,naive_m2,corrected_m2,pct_change
432249102,130.7,34928,25914,-25.8
566122270,115.6,60892,64980,6.7
566122275,104.2,114230,87549,-23.4
1837465777,89.5,146783,128646,-12.4
432214791,89.1,80080,72404,-9.6
3125455797,86.3,105002,107864,2.7
512982729,83.9,100904,68158,-32.5
512977099,66.2,116969,106652,-8.8
432214770,65.8,97421,73824,-24.2
566113513,64.8,98009,70699,-27.9
2340454588,40.5,62576,54895,-12.3
1228806591,34.9,113857,87682,-23.0
11963276153,24.1,90265,86310,-4.4
513058642,20.6,112251,91841,-18.2
13142384574,11.6,109506,96361,-12.0
1416229800,6.8,131143,127260,-3.0
2340454276,5.2,125381,111970,-10.7
566167344,5.0,129423,137596,6.3
767567677,4.8,121110,126412,4.4
11371501850,4.2,101211,100197,-1.0
1119648979,3.9,115459,107485,-6.9
1502611472,3.9,122304,122559,0.2
1529210970,3.4,131081,133047,1.5
1502611013,2.9,165187,165636,0.3
1500921027,2.9,176023,174226,-1.0
803081082,2.9,172091,174539,1.4
803081150,2.9,169308,171674,1.4
803081123,2.8,140501,139639,-0.6
1403244874,2.7,135553,136199,0.5
276102438,2.4,151731,141161,-7.0
1436371984,2.3,173315,166140,-4.1
2181431789,2.2,175315,177811,1.4
2467703550,2.0,132746,132746,0.0
2467703316,1.6,134905,138361,2.6
1492120053,1.4,153051,146585,-4.2
1403244943,1.2,140747,140747,0.0
432162447,1.2,142200,142200,0.0
3923457769,1.2,164938,162604,-1.4
1607292373,1.2,145588,148349,1.9
3923457271,0.8,168466,168466,0.0
13509515566,0.5,101128,101128,0.0
