region,top5_count,share
청림동 (11210540),119,0.5151515151515151
남현동 (11210630),116,0.5021645021645021
천호3동 (11250630),105,0.45454545454545453
거여2동 (11240540),89,0.3852813852813853
우이동 (11090740),84,0.36363636363636365
상계3·4동 (11110760),80,0.3463203463203463
암사2동 (11250580),77,0.3333333333333333
삼각산동 (11090730),72,0.3116883116883117
중계4동 (11110640),69,0.2987012987012987
행당2동 (11040570),61,0.26406926406926406
도봉1동 (11100640),58,0.2510822510822511
암사1동 (11250720),49,0.21212121212121213
창신2동 (11010680),35,0.15151515151515152
황학동 (11020670),34,0.1471861471861472
사당4동 (11200660),27,0.11688311688311688
잠실2동 (11240790),18,0.07792207792207792
공항동 (11160690),15,0.06493506493506493
망우3동 (11070680),15,0.06493506493506493
정릉4동 (11080650),13,0.05627705627705628
반포본동 (11220560),9,0.03896103896103896
동화동 (11020730),5,0.021645021645021644
이촌2동 (11030640),3,0.012987012987012988
잠실7동 (11240780),1,0.004329004329004329
무악동 (11010570),1,0.004329004329004329
