region_id,region_nm,bus_stop_cnt
11010530,사직동,33
11010540,삼청동,17
11010550,부암동,34
11010560,평창동,54
11010570,무악동,4
11010580,교남동,22
11010600,가회동,21
11010610,종로1·2·3·4가동,68
11010630,종로5·6가동,18
11010640,이화동,20
11010670,창신1동,8
11010680,창신2동,1
11010690,창신3동,6
11010700,숭인1동,12
11010710,숭인2동,8
11010720,청운효자동,29
11010730,혜화동,38
11020520,소공동,40
11020540,회현동,33
11020550,명동,30
11020570,필동,10
11020580,장충동,13
11020590,광희동,24
11020600,을지로동,17
11020650,신당5동,8
11020670,황학동,7
11020680,중림동,9
11020690,신당동,8
11020700,다산동,8
11020710,약수동,12
11020720,청구동,5
11020730,동화동,4
11030510,후암동,16
11030520,용산2가동,27
11030530,남영동,21
11030570,원효로2동,22
11030580,효창동,15
11030590,용문동,17
11030630,이촌1동,21
11030640,이촌2동,8
11030650,이태원1동,16
11030660,이태원2동,21
11030690,서빙고동,22
11030700,보광동,9
11030710,청파동,24
11030720,원효로1동,23
11030730,한강로동,41
11030740,한남동,34
11040520,왕십리2동,13
11040540,마장동,28
11040550,사근동,40
11040560,행당1동,26
11040570,행당2동,25
11040580,응봉동,33
11040590,금호1가동,39
11040620,금호4가동,30
11040650,성수1가1동,30
11040660,성수1가2동,12
11040670,성수2가1동,30
11040680,성수2가3동,20
11040690,송정동,13
11040700,용답동,12
11040710,왕십리도선동,25
11040720,금호2·3가동,38
11040730,옥수동,40
11050530,화양동,19
11050540,군자동,22
11050550,중곡1동,18
11050560,중곡2동,17
11050570,중곡3동,22
11050580,중곡4동,34
11050590,능동,9
11050600,구의1동,13
11050610,구의2동,21
11050620,구의3동,23
11050630,광장동,38
11050640,자양1동,13
11050650,자양2동,17
11050660,자양3동,19
11050670,자양4동,12
11060710,회기동,10
11060720,휘경1동,13
11060730,휘경2동,18
11060800,청량리동,24
11060810,용신동,39
11060820,제기동,27
11060830,전농1동,31
11060840,전농2동,12
11060860,답십리2동,20
11060870,장안1동,27
11060880,장안2동,34
11060890,이문1동,30
11060900,이문2동,11
11060910,답십리1동,27
11070520,면목2동,23
11070540,면목4동,13
11070550,면목5동,11
11070570,면목7동,18
11070590,상봉1동,13
11070600,상봉2동,18
11070610,중화1동,14
11070620,중화2동,28
11070640,묵1동,32
11070650,묵2동,20
11070680,망우3동,11
11070690,신내1동,53
11070700,신내2동,19
11070710,면목본동,28
11070720,면목3·8동,30
11070730,망우본동,56
11080580,돈암1동,14
11080590,돈암2동,35
11080600,안암동,31
11080610,보문동,9
11080620,정릉1동,16
11080630,정릉2동,45
11080640,정릉3동,32
11080650,정릉4동,34
11080660,길음1동,27
11080680,길음2동,22
11080710,월곡1동,21
11080720,월곡2동,27
11080760,장위1동,33
11080770,장위2동,30
11080780,장위3동,36
11080810,성북동,46
11080820,삼선동,38
11080830,동선동,17
11080840,종암동,59
11080850,석관동,30
11090600,번1동,23
11090610,번2동,42
11090620,번3동,35
11090630,수유1동,39
11090640,수유2동,13
11090650,수유3동,24
11090690,삼양동,29
11090700,미아동,27
11090710,송중동,58
11090720,송천동,18
11090730,삼각산동,22
11090740,우이동,34
11090750,인수동,49
11100510,쌍문1동,44
11100520,쌍문2동,14
11100530,쌍문3동,15
11100540,쌍문4동,17
11100550,방학1동,32
