region_id,region_nm,bus_stop_cnt
341010430,白島北町,1
341010450,白島九軒町,1
341010460,東白島町,2
341010470,西白島町,1
341010480,幟町,1
341010490,上幟町,3
341010500,鉄砲町,2
341010510,八丁堀,2
341010520,上八丁堀,3
341010540,基町,14
341010570,胡町,5
341010600,三川町,1
341010610,立町,5
341010630,中町,1
34101064001,紙屋町一丁目,3
34101065001,大手町一丁目,1
34101065003,大手町三丁目,1
34101065005,大手町五丁目,1
341010670,昭和町,1
341010680,宝町,2
341010690,富士見町,3
341010700,竹屋町,3
341010710,小町,3
34101072001,国泰寺町一丁目,1
34101072002,国泰寺町二丁目,2
341010730,平野町,1
341010740,南竹屋町,2
34101075001,千田町一丁目,4
34101075003,千田町三丁目,2
34101076002,東千田町二丁目,1
341010780,堀川町,2
341010820,東平塚町,2
341011150,南千田西町,1
34101301001,十日市町一丁目,2
34101301002,十日市町二丁目,1
341013040,寺町,1
34101306002,堺町二丁目,1
341013070,榎町,1
34101315001,本川町一丁目,1
341013160,舟入町,1
341013170,舟入本町,1
341013180,舟入中町,2
341013200,舟入川口町,2
341013580,加古町,1
341013590,吉島町,1
341013610,中島町,1
341013620,住吉町,2
341013630,羽衣町,1
34101400001,吉島東一丁目,3
34101400002,吉島東二丁目,1
34101401001,吉島西一丁目,1
34101402001,吉島新町一丁目,1
34101402002,吉島新町二丁目,1
34101403001,光南一丁目,2
34101403004,光南四丁目,1
34101403005,光南五丁目,1
34101404002,南吉島二丁目,1
34101406001,舟入南一丁目,2
34101406004,舟入南四丁目,2
34101406005,舟入南五丁目,1
34101406006,舟入南六丁目,1
34101407001,江波東一丁目,2
34101409001,江波南一丁目,3
34101409002,江波南二丁目,1
341014100,江波本町,1
34101411001,江波二本松一丁目,3
34101411002,江波二本松二丁目,2
341014130,江波沖町,1
34102007002,矢賀新町二丁目,2
34102007003,矢賀新町三丁目,1
341020080,東蟹屋町,1
341020090,若草町,2
341020120,山根町,2
34102042001,二葉の里一丁目,2
34102042002,二葉の里二丁目,2
34102042003,二葉の里三丁目,1
34102129001,牛田東一丁目,1
34102129002,牛田東二丁目,1
34102129003,牛田東三丁目,1
34102129004,牛田東四丁目,1
34102130001,牛田南一丁目,2
34102130002,牛田南二丁目,1
34102131001,牛田早稲田一丁目,1
34102131004,牛田早稲田四丁目,2
34102133001,牛田本町一丁目,1
34102133002,牛田本町二丁目,1
34102133003,牛田本町三丁目,2
34102133006,牛田本町六丁目,4
34102135002,牛田新町二丁目,6
34102135003,牛田新町三丁目,4
34102138006,矢賀六丁目,1
34102141001,戸坂くるめ木一丁目,1
34102142001,戸坂千足一丁目,4
34102142002,戸坂千足二丁目,2
34102144001,戸坂惣田一丁目,1
341021450,戸坂中町,1
341021460,戸坂桜東町,1
341021470,戸坂桜西町,1
34102150001,戸坂出江一丁目,2
34102153001,戸坂大上一丁目,1
34102154002,戸坂新町二丁目,4
34102155001,戸坂南一丁目,1
34102155002,戸坂南二丁目,2
34102157001,尾長西一丁目,1
34102158003,曙三丁目,2
34102158004,曙四丁目,1
34102158005,曙五丁目,1
34102161002,中山南二丁目,1
34102162002,中山西二丁目,2
34102163002,中山東二丁目,1
341021640,中山中町,2
34102165001,中山上一丁目,1
