fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
1240001025013_0_00,0,JPY,0,0,,1240001025013
1240001025013_100_00,100,JPY,0,0,,1240001025013
1240001025013_160_00,160,JPY,0,0,,1240001025013
1240001025013_170_00,170,JPY,0,0,,1240001025013
1240001025013_180_00,180,JPY,0,0,,1240001025013
1240001025013_190_00,190,JPY,0,0,,1240001025013
1240001025013_200_00,200,JPY,0,0,,1240001025013
1240001025013_210_00,210,JPY,0,0,,1240001025013
1240001025013_220_00,220,JPY,0,0,,1240001025013
1240001025013_230_00,230,JPY,0,0,,1240001025013
1240001025013_240_00,240,JPY,0,0,,1240001025013
1240001025013_250_00,250,JPY,0,0,,1240001025013
1240001025013_260_00,260,JPY,0,0,,1240001025013
1240001025013_270_00,270,JPY,0,0,,1240001025013
1240001025013_280_00,280,JPY,0,0,,1240001025013
1240001025013_290_00,290,JPY,0,0,,1240001025013
1240001025013_300_00,300,JPY,0,0,,1240001025013
1240001025013_310_00,310,JPY,0,0,,1240001025013
1240001025013_320_00,320,JPY,0,0,,1240001025013
1240001025013_330_00,330,JPY,0,0,,1240001025013
1240001025013_340_00,340,JPY,0,0,,1240001025013
1240001025013_350_00,350,JPY,0,0,,1240001025013
1240001025013_360_00,360,JPY,0,0,,1240001025013
1240001025013_370_00,370,JPY,0,0,,1240001025013
1240001025013_380_00,380,JPY,0,0,,1240001025013
1240001025013_390_00,390,JPY,0,0,,1240001025013
1240001025013_400_00,400,JPY,0,0,,1240001025013
1240001025013_410_00,410,JPY,0,0,,1240001025013
1240001025013_420_00,420,JPY,0,0,,1240001025013
1240001025013_430_00,430,JPY,0,0,,1240001025013
1240001025013_440_00,440,JPY,0,0,,1240001025013
1240001025013_450_00,450,JPY,0,0,,1240001025013
1240001025013_460_00,460,JPY,0,0,,1240001025013
1240001025013_470_00,470,JPY,0,0,,1240001025013
1240001025013_480_00,480,JPY,0,0,,1240001025013
1240001025013_490_00,490,JPY,0,0,,1240001025013
1240001025013_500_00,500,JPY,0,0,,1240001025013
1240001025013_510_00,510,JPY,0,0,,1240001025013
1240001025013_520_00,520,JPY,0,0,,1240001025013
1240001025013_530_00,530,JPY,0,0,,1240001025013
1240001025013_540_00,540,JPY,0,0,,1240001025013
1240001025013_550_00,550,JPY,0,0,,1240001025013
1240001025013_560_00,560,JPY,0,0,,1240001025013
1240001025013_570_00,570,JPY,0,0,,1240001025013
1240001025013_580_00,580,JPY,0,0,,1240001025013
1240001025013_590_00,590,JPY,0,0,,1240001025013
1240001025013_600_00,600,JPY,0,0,,1240001025013
1240001025013_610_00,610,JPY,0,0,,1240001025013
1240001025013_620_00,620,JPY,0,0,,1240001025013
1240001025013_630_00,630,JPY,0,0,,1240001025013
1240001025013_640_00,640,JPY,0,0,,1240001025013
1240001025013_650_00,650,JPY,0,0,,1240001025013
1240001025013_660_00,660,JPY,0,0,,1240001025013
1240001025013_670_00,670,JPY,0,0,,1240001025013
1240001025013_680_00,680,JPY,0,0,,1240001025013
1240001025013_690_00,690,JPY,0,0,,1240001025013
1240001025013_700_00,700,JPY,0,0,,1240001025013
1240001025013_710_00,710,JPY,0,0,,1240001025013
1240001025013_720_00,720,JPY,0,0,,1240001025013
1240001025013_730_00,730,JPY,0,0,,1240001025013
1240001025013_740_00,740,JPY,0,0,,1240001025013
1240001025013_750_00,750,JPY,0,0,,1240001025013
1240001025013_760_00,760,JPY,0,0,,1240001025013
1240001025013_770_00,770,JPY,0,0,,1240001025013
1240001025013_780_00,780,JPY,0,0,,1240001025013
1240001025013_790_00,790,JPY,0,0,,1240001025013
1240001025013_800_00,800,JPY,0,0,,1240001025013
1240001025013_810_00,810,JPY,0,0,,1240001025013
1240001025013_820_00,820,JPY,0,0,,1240001025013
1240001025013_830_00,830,JPY,0,0,,1240001025013
1240001025013_840_00,840,JPY,0,0,,1240001025013
1240001025013_850_00,850,JPY,0,0,,1240001025013
1240001025013_860_00,860,JPY,0,0,,1240001025013
1240001025013_870_00,870,JPY,0,0,,1240001025013
1240001025013_880_00,880,JPY,0,0,,1240001025013
1240001025013_890_00,890,JPY,0,0,,1240001025013
1240001025013_900_00,900,JPY,0,0,,1240001025013
1240001025013_910_00,910,JPY,0,0,,1240001025013
1240001025013_920_00,920,JPY,0,0,,1240001025013
1240001025013_930_00,930,JPY,0,0,,1240001025013
1240001025013_940_00,940,JPY,0,0,,1240001025013
1240001025013_950_00,950,JPY,0,0,,1240001025013
1240001025013_960_00,960,JPY,0,0,,1240001025013
1240001025013_970_00,970,JPY,0,0,,1240001025013
1240001025013_980_00,980,JPY,0,0,,1240001025013
1240001025013_990_00,990,JPY,0,0,,1240001025013
1240001025013_1000_00,1000,JPY,0,0,,1240001025013
1240001025013_1010_00,1010,JPY,0,0,,1240001025013
1240001025013_1020_00,1020,JPY,0,0,,1240001025013
1240001025013_1030_00,1030,JPY,0,0,,1240001025013
1240001025013_1040_00,1040,JPY,0,0,,1240001025013
1240001025013_1050_00,1050,JPY,0,0,,1240001025013
1240001025013_1060_00,1060,JPY,0,0,,1240001025013
1240001025013_1070_00,1070,JPY,0,0,,1240001025013
1240001025013_1080_00,1080,JPY,0,0,,1240001025013
1240001025013_1090_00,1090,JPY,0,0,,1240001025013
1240001025013_1100_00,1100,JPY,0,0,,1240001025013
1240001025013_1110_00,1110,JPY,0,0,,1240001025013
1240001025013_1120_00,1120,JPY,0,0,,1240001025013
1240001025013_1130_00,1130,JPY,0,0,,1240001025013
1240001025013_1140_00,1140,JPY,0,0,,1240001025013
1240001025013_1150_00,1150,JPY,0,0,,1240001025013
1240001025013_1160_00,1160,JPY,0,0,,1240001025013
1240001025013_1170_00,1170,JPY,0,0,,1240001025013
1240001025013_1180_00,1180,JPY,0,0,,1240001025013
1240001025013_1190_00,1190,JPY,0,0,,1240001025013
1240001025013_1200_00,1200,JPY,0,0,,1240001025013
1240001025013_1210_00,1210,JPY,0,0,,1240001025013
1240001025013_1220_00,1220,JPY,0,0,,1240001025013
1240001025013_1230_00,1230,JPY,0,0,,1240001025013
1240001025013_1240_00,1240,JPY,0,0,,1240001025013
1240001025013_1250_00,1250,JPY,0,0,,1240001025013
1240001025013_1260_00,1260,JPY,0,0,,1240001025013
1240001025013_1270_00,1270,JPY,0,0,,1240001025013
1240001025013_1280_00,1280,JPY,0,0,,1240001025013
1240001025013_1290_00,1290,JPY,0,0,,1240001025013
1240001025013_1300_00,1300,JPY,0,0,,1240001025013
1240001025013_1310_00,1310,JPY,0,0,,1240001025013
1240001025013_1320_00,1320,JPY,0,0,,1240001025013
1240001025013_1330_00,1330,JPY,0,0,,1240001025013
1240001025013_1340_00,1340,JPY,0,0,,1240001025013
1240001025013_1350_00,1350,JPY,0,0,,1240001025013
1240001025013_1360_00,1360,JPY,0,0,,1240001025013
1240001025013_1370_00,1370,JPY,0,0,,1240001025013
1240001025013_1380_00,1380,JPY,0,0,,1240001025013
1240001025013_1390_00,1390,JPY,0,0,,1240001025013
1240001025013_1400_00,1400,JPY,0,0,,1240001025013
1240001025013_1410_00,1410,JPY,0,0,,1240001025013
1240001025013_1420_00,1420,JPY,0,0,,1240001025013
1240001025013_1430_00,1430,JPY,0,0,,1240001025013
1240001025013_1440_00,1440,JPY,0,0,,1240001025013
1240001025013_1450_00,1450,JPY,0,0,,1240001025013
1240001025013_1460_00,1460,JPY,0,0,,1240001025013
1240001025013_1470_00,1470,JPY,0,0,,1240001025013
1240001025013_1490_00,1490,JPY,0,0,,1240001025013
1240001025013_1500_00,1500,JPY,0,0,,1240001025013
1240001025013_1510_00,1510,JPY,0,0,,1240001025013
1240001025013_1520_00,1520,JPY,0,0,,1240001025013
1240001025013_1530_00,1530,JPY,0,0,,1240001025013
1240001025013_1540_00,1540,JPY,0,0,,1240001025013
1240001025013_1550_00,1550,JPY,0,0,,1240001025013
1240001025013_1560_00,1560,JPY,0,0,,1240001025013
1240001025013_1570_00,1570,JPY,0,0,,1240001025013
1240001025013_1580_00,1580,JPY,0,0,,1240001025013
1240001025013_1590_00,1590,JPY,0,0,,1240001025013
1240001025013_1600_00,1600,JPY,0,0,,1240001025013
1240001025013_1610_00,1610,JPY,0,0,,1240001025013
1240001025013_1620_00,1620,JPY,0,0,,1240001025013
1240001025013_1630_00,1630,JPY,0,0,,1240001025013
1240001025013_1640_00,1640,JPY,0,0,,1240001025013
1240001025013_1650_00,1650,JPY,0,0,,1240001025013
1240001025013_1670_00,1670,JPY,0,0,,1240001025013
1240001025013_1680_00,1680,JPY,0,0,,1240001025013
1240001025013_1690_00,1690,JPY,0,0,,1240001025013
1240001025013_1700_00,1700,JPY,0,0,,1240001025013
1240001025013_1710_00,1710,JPY,0,0,,1240001025013
1240001025013_1720_00,1720,JPY,0,0,,1240001025013
1240001025013_1730_00,1730,JPY,0,0,,1240001025013
1240001025013_1750_00,1750,JPY,0,0,,1240001025013
1240001025013_1760_00,1760,JPY,0,0,,1240001025013
1240001025013_1780_00,1780,JPY,0,0,,1240001025013
1240001025013_1800_00,1800,JPY,0,0,,1240001025013
1240001025013_1830_00,1830,JPY,0,0,,1240001025013
1240001025013_2070_00,2070,JPY,0,0,,1240001025013
1240001025013_2140_00,2140,JPY,0,0,,1240001025013
