fare_id,route_id,origin_id,destination_id,contains_id
1240001025013_0_00,708436803,2020 2,2019 2,
1240001025013_0_00,708436803,2020 1,4 1,
1240001025013_0_00,708436803,2002 1,4 1,
1240001025013_0_00,708436803,4 2,2002 2,
1240001025013_0_00,708436803,2002 2,2019 2,
1240001025013_0_00,708436803,4 2,2020 2,
1240001025013_0_00,708436803,2002 1,2020 1,
1240001025013_0_00,708436803,2020 2,2002 2,
1240001025013_0_00,708436803,2019 1,2020 1,
1240001025013_0_00,708436803,4 2,2019 2,
1240001025013_0_00,708436803,2019 1,2002 1,
1240001025013_0_00,708436803,2019 1,4 1,
1240001025013_100_00,1617148066,36950 1,37045 1,
1240001025013_100_00,1617148066,36950 1,36945 22,
1240001025013_100_00,1617148066,36016 22,36943 1,
1240001025013_100_00,1617148066,36970 1,36968 1,
1240001025013_100_00,1617148066,36979 1,36977 1,
1240001025013_100_00,1617148066,36978 1,36976 1,
1240001025013_100_00,1617148066,36942 1,36941 1,
1240001025013_100_00,1617148066,37041 1,36945 22,
1240001025013_100_00,1617148066,36945 22,36941 1,
1240001025013_100_00,1617148066,36960 1,36955 1,
1240001025013_100_00,1617148066,36943 1,36942 1,
1240001025013_100_00,1617148066,36949 1,36948 1,
1240001025013_100_00,1617148066,36951 1,36948 1,
1240001025013_100_00,626816974,36946 22,36947 1,
1240001025013_100_00,626816974,36016 22,37045 1,
1240001025013_100_00,626816974,36016 22,36947 1,
1240001025013_100_00,626816974,36998 1,36999 1,
1240001025013_100_00,626816974,36942 1,36941 1,
1240001025013_100_00,626816974,36945 22,36940 1,
1240001025013_100_00,626816974,36945 22,36944 22,
1240001025013_100_00,626816974,36944 22,36941 1,
1240001025013_100_00,1617148066,36946 22,37045 1,
1240001025013_100_00,1617148066,36946 22,36945 22,
1240001025013_100_00,1617148066,36946 22,36943 1,
1240001025013_100_00,1617148066,36946 22,36941 1,
1240001025013_100_00,1617148066,36966 1,36968 1,
1240001025013_100_00,1617148066,36956 1,36957 1,
1240001025013_100_00,1617148066,36016 22,36941 1,
1240001025013_100_00,1617148066,36979 1,36981 1,
1240001025013_100_00,1617148066,36978 1,36980 1,
1240001025013_100_00,1617148066,37041 1,36951 1,
1240001025013_100_00,1617148066,36945 22,36942 1,
1240001025013_100_00,1617148066,36944 22,36949 1,
1240001025013_100_00,1617148066,36960 1,36961 1,
1240001025013_100_00,1617148066,36017 20,36950 1,
1240001025013_100_00,1617148066,36977 1,36979 1,
1240001025013_100_00,4225438671,36942 3,37045 3,
1240001025013_100_00,4225438671,36990 3,37043 3,
1240001025013_100_00,4225438671,36990 3,37486 3,
1240001025013_100_00,4225438671,36990 3,37051 3,
1240001025013_100_00,4225438671,36947 3,36942 3,
1240001025013_100_00,4225438671,36947 3,36944 3,
1240001025013_100_00,4225438671,36947 3,37044 3,
1240001025013_100_00,4225438671,36947 3,36017 3,
1240001025013_100_00,4225438671,36947 3,37047 3,
1240001025013_100_00,4225438671,36943 3,37045 3,
1240001025013_100_00,4225438671,37043 3,37047 3,
1240001025013_100_00,4225438671,36951 3,36017 3,
1240001025013_100_00,4225438671,37049 3,36940 3,
1240001025013_100_00,4225438671,37052 3,36941 3,
1240001025013_100_00,4225438671,37052 3,37047 3,
1240001025013_100_00,4225438671,37044 3,37046 3,
1240001025013_100_00,4225438671,37044 3,36945 3,
1240001025013_100_00,4225438671,37041 3,90086 3,
1240001025013_100_00,4225438671,37041 3,36990 3,
1240001025013_100_00,4225438671,36940 3,36017 3,
1240001025013_100_00,4225438671,36949 3,90086 3,
1240001025013_100_00,4225438671,36949 3,37040 3,
1240001025013_100_00,4225438671,36949 3,37045 3,
1240001025013_100_00,4225438671,36949 3,36940 3,
1240001025013_100_00,4225438671,37042 3,36944 3,
1240001025013_100_00,4225438671,37042 3,36941 3,
1240001025013_100_00,4225438671,36948 3,36942 3,
1240001025013_100_00,4225438671,36948 3,37042 3,
1240001025013_100_00,4225438671,36017 3,36947 3,
1240001025013_100_00,4225438671,36017 3,36951 3,
1240001025013_100_00,4225438671,36017 3,36940 3,
1240001025013_100_00,4225438671,37047 3,36940 3,
1240001025013_100_00,4225438671,36950 3,90086 3,
1240001025013_100_00,4225438671,36950 3,37049 3,
1240001025013_100_00,4225438671,36950 3,37040 3,
1240001025013_100_00,4225438671,36950 3,37486 3,
1240001025013_100_00,4225438671,36950 3,36940 3,
1240001025013_100_00,4225438671,36950 3,36945 3,
1240001025013_100_00,4225438671,37042 1,37045 1,
1240001025013_100_00,4225438671,36017 1,36950 1,
1240001025013_100_00,4225438671,36017 1,37044 1,
1240001025013_100_00,4225438671,36017 1,37040 1,
1240001025013_100_00,4225438671,36950 1,36017 1,
1240001025013_100_00,4225438671,36948 1,36016 1,
1240001025013_100_00,4225438671,36948 1,37049 1,
1240001025013_100_00,4225438671,36948 1,37050 1,
1240001025013_100_00,4225438671,37044 1,36017 1,
1240001025013_100_00,4225438671,37052 1,37046 1,
1240001025013_100_00,4225438671,37052 1,36947 1,
1240001025013_100_00,4225438671,37052 1,36943 1,
1240001025013_100_00,4225438671,37041 1,37042 1,
1240001025013_100_00,4225438671,37041 1,36943 1,
1240001025013_100_00,4225438671,36947 1,37052 1,
1240001025013_100_00,4225438671,36947 1,36945 1,
1240001025013_100_00,4225438671,36947 1,36944 1,
1240001025013_100_00,4225438671,36947 1,36943 1,
1240001025013_100_00,4225438671,36947 1,36941 1,
