route_id,route_update_date,origin_stop,via_stop,destination_stop,jp_parent_route_id
708436803,,三次もののけミュージアム,高宮ＢＳ/美土里ＢＳ/千代田ＩＣ/広島北インター/久地ＢＳ/沼田ＰＡ/中筋駅/新白島駅/広島バスセンター,広島バスセンター,もの→筋普→広島ＢＣ
3639980207,,庄原駅,千代田ＩＣ/大塚駅/広島バスセンター,広島駅新幹線口,庄原→ノン→新幹線
3000524979,,三次駅前,三次中央病院/志和地駅前/三和郵便局前,三和支所,三次駅前→三和支所
2010039002,,上田小跡,,三次駅前,上田小跡→三次駅前
41002009,,庄原駅,,★備後西城駅,庄原駅→★備後西城駅
935591245,,庄原駅,日赤前/ジョイフル/門田別/郡原/永田/下宮内/口和支所前,上大月車庫,庄原駅→群原→上大月
2531580290,,尾引,,庄原駅,尾引→庄原駅
1677966273,,東城駅前,帝釈ＢＳ/庄原中学校前/庄原市役所/ジョイフル/実業高校入口/原手橋,庄原駅,東城駅前→左回→庄原駅
34291009,,広島駅新幹線口,,桜花の郷ラフォーレ庄原,広島駅新幹線口→桜花の郷ラフォーレ庄原
2342965103,,県立大学バスロータリー,,庄原駅,県大→公園→日赤玄関→庄原駅
40701000,,東城駅前,,★備後落合駅前,東城駅前→★備後落合駅前
1935967071,,殿垣内,,庄原中学校前,殿垣内→庄原中学校前
2945424403,,三次工業団地,三次中央病院/三次駅前/ゆめランド布野/作木支所前/川の駅常清（港別）/羽須美支所,伊賀和志上,工業団地→伊賀和志上
3594007467,,上四十貫,自動車学校/三次もののけミュージアム/三次駅前/三次中央病院,三次工業団地,上四十貫→工業団地
1585841209,,三次工業団地,三次中央病院/三次駅前/三次もののけミュージアム/君田支所前/口和支所/下宮内/道の駅たかの,新市車庫,工業団地→新市車庫
4089288656,,向原駅,,吉田出張所,向原駅→吉田出
1617148066,,小奴可,,東城駅前,小奴可→東城駅前
2363215440,,三良坂駅前,,庄原駅,三良坂駅前→庄原駅
34391000,,東城駅前,,広島駅新幹線口,東城駅前→広島駅新幹線口
626816974,,東城駅前,,保田車庫,冬季）東城駅前→保田車庫
90055000,,赤名,,ゆめランド布野,赤名→ゆめランド布野
279517487,,三次駅前,,吉田出張所,三次駅→吉田出
2629305760,,三次工業団地,三次駅前/金田/永田,湯木車庫,工業団地→湯木車庫
40802009,,★備後落合駅前,,東城駅前,★備後落合駅前→東城駅前
2894458260,,上本（吉備谷）,赤川/ジョイフル/日赤前,庄原駅,上本（吉備谷）→庄原駅
40600009,,★備後落合駅前,,東城駅前,★備後落合駅前→東城駅前
2843705126,,西城中野,ウィル西城前/平子駅前/高駅前/庄原駅/ジョイフル/日赤前,庄原駅,西城中野→右廻→庄原駅
41102000,,★備後西城駅,,庄原駅,★備後西城駅→庄原駅
34382009,,広島駅新幹線口,,帝釈（神龍湖）,新幹線→ノン・五日市→帝釈
90852000,,比和バイパス,,庄原駅,比和バイパス→庄原駅
674604999,,庄原駅,,庄原駅,庄原駅→殿河内→実留→バイパス→庄原駅
34381000,,東城駅前,,広島駅新幹線口,東城→ノン・五日市→新幹線
4225438671,,東城駅前,,東城駅前,東城駅前→世直→東城駅前
3579469604,,三次中央病院,三次駅前/ゆめランド布野/便坂,赤名,中央病院→赤名
90055009,,ゆめランド布野,,赤名,ゆめランド布野→赤名
41323000,,★備後西城駅,,庄原駅,★備後西城駅→庄原駅
90744000,,庄原駅,,三次駅前,庄原駅→三次駅前
40801000,,東城駅前,,★備後落合駅前,東城駅前→★備後落合駅前
41500009,,庄原駅,,★備後西城駅,庄原駅→★備後西城駅
34381009,,広島駅新幹線口,,東城駅前,新幹線→ノン・五日市→東城
2108524318,,東城駅前,,日野原,東城駅前→日野原
34382000,,帝釈（神龍湖）,,広島駅新幹線口,帝釈→ノン・五日市→新幹線
41402009,,庄原駅,,★備後西城駅,庄原駅→★備後西城駅
2820692300,,三次駅前,,三次工業団地,三次駅前→工業団地
40902000,,★備後西城駅,,庄原駅,★備後西城駅→庄原駅
90852009,,庄原駅,,比和バイパス,庄原駅→比和（バイパス）
2133785649,,柳原口,庄原駅/ザ・ビッグ/原手橋/庄原駅/日赤前/ジョイフル/原手橋/庄原駅,柳原口,庄原営→柳原口
34291000,,桜花の郷ラフォーレ庄原,,広島駅新幹線口,桜花の郷ラフォーレ庄原→広島駅新幹線口
34391009,,広島駅新幹線口,,東城駅前,広島駅新幹線口→東城駅前
