station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
0547843a-be8e-4ba9-b32d-ef39d0678bc3,79023383-f7c9-4a06-813b-001d0db1de6a,,,1,西城線,庄原駅,平子駅前・高駅前・日赤前
d78342a2-d74d-4b1f-8d35-cc0da939c6de,79023383-f7c9-4a06-813b-001d0db1de6a,,,2,西城線,庄原駅,平子駅前・高駅前・日赤前
0b182e71-5f58-430e-af49-337717ed51c3,79023383-f7c9-4a06-813b-001d0db1de6a,,,3,西城線,庄原駅,平子駅前・高駅前・日赤前
08bbef2f-640f-4601-8c7d-373f6dfb9539,79023383-f7c9-4a06-813b-001d0db1de6a,,,4,西城線,庄原駅,平子駅前・高駅前・日赤前
643b5b06-7acc-4287-af30-34c6868189c5,79023383-f7c9-4a06-813b-001d0db1de6a,,,5,西城線,庄原駅,平子駅前・高駅前・日赤前
90d5a2fc-ae95-450d-af20-93eeadbcdc88,79023383-f7c9-4a06-813b-001d0db1de6a,,,6,西城線,庄原駅,平子駅前・高駅前・日赤前
0469d3f7-5615-42fa-93d9-b61ce0e0dcd9,79023383-f7c9-4a06-813b-001d0db1de6a,,,7,西城線,庄原駅,平子駅前・高駅前・日赤前
84a16e95-0bea-40bb-9588-29b4f69cdab1,79023383-f7c9-4a06-813b-001d0db1de6a,,,8,西城線,庄原駅,平子駅前・高駅前・日赤前
8ed19b40-b25b-43e5-adf7-db1dc641088e,79023383-f7c9-4a06-813b-001d0db1de6a,,,9,西城線,庄原駅,平子駅前・高駅前・日赤前
a857e678-c5bc-4d00-b14d-a29e6d2b27b2,79023383-f7c9-4a06-813b-001d0db1de6a,,,10,西城線,庄原駅,平子駅前・高駅前・日赤前
6bc65be0-e97a-423c-967c-988165ed222a,79023383-f7c9-4a06-813b-001d0db1de6a,,,11,西城線,庄原駅,平子駅前・高駅前・日赤前
05d482db-16df-4d18-b7b6-b4d6e10c2d65,79023383-f7c9-4a06-813b-001d0db1de6a,,,12,西城線,庄原駅,平子駅前・高駅前・日赤前
d42fffd6-b677-406d-baa5-3be1da70b4d9,79023383-f7c9-4a06-813b-001d0db1de6a,,,13,西城線,庄原駅,平子駅前・高駅前・日赤前
03e18391-468b-4bc2-a02c-b4fe75d8f928,79023383-f7c9-4a06-813b-001d0db1de6a,,,14,西城線,庄原駅,平子駅前・高駅前・日赤前
9d5db6db-4b31-43c5-948d-4dd6b8cbeb5e,79023383-f7c9-4a06-813b-001d0db1de6a,,,15,西城線,庄原駅,高駅前・日赤前・ジョイフル
ad164ca9-2c27-4764-96c2-83844f2af6f8,79023383-f7c9-4a06-813b-001d0db1de6a,,,16,西城線,庄原駅,高駅前・日赤前・ジョイフル
c59d6622-d481-4720-93a1-2a663b1de5e0,79023383-f7c9-4a06-813b-001d0db1de6a,,,17,西城線,庄原駅,高駅前・日赤前・ジョイフル
2a5db79d-feb4-4afb-8996-77c326ef6246,79023383-f7c9-4a06-813b-001d0db1de6a,,,18,西城線,庄原駅,高駅前・日赤前・ジョイフル
7ca6641f-b2d1-41b9-bbfb-50619538fb0e,79023383-f7c9-4a06-813b-001d0db1de6a,,,19,西城線,庄原駅,高駅前・日赤前・ジョイフル
c3566f17-b523-4f13-ba6e-b179af8c87d1,79023383-f7c9-4a06-813b-001d0db1de6a,,,20,西城線,庄原駅,高駅前・日赤前・ジョイフル
af181cc5-497c-4831-b8ee-26c14ca0344a,79023383-f7c9-4a06-813b-001d0db1de6a,,,21,西城線,庄原駅,高駅前・日赤前・ジョイフル
26223f49-ae11-4462-b958-712f15ec6b79,79023383-f7c9-4a06-813b-001d0db1de6a,,,22,西城線,庄原駅,高駅前・日赤前・ジョイフル
1a199fce-a344-49d9-b79b-d205278a0fbd,79023383-f7c9-4a06-813b-001d0db1de6a,,,23,西城線,庄原駅,日赤前・ジョイフル
0858e5cc-bfa5-485a-a4db-d63ea2498051,79023383-f7c9-4a06-813b-001d0db1de6a,,,24,西城線,庄原駅,日赤前・ジョイフル
68521e50-c8c3-48df-b554-bf07dc79507e,79023383-f7c9-4a06-813b-001d0db1de6a,,,25,西城線,庄原駅,日赤前・ジョイフル
ca7f3527-ea41-4937-96d8-0d4c51a76d33,79023383-f7c9-4a06-813b-001d0db1de6a,,,26,西城線,庄原駅,日赤前・ジョイフル
7c21a2c6-25fe-47fb-998c-c19bdd54c310,79023383-f7c9-4a06-813b-001d0db1de6a,,,27,西城線,庄原駅,日赤前・ジョイフル
986fa2de-f696-486c-8a9e-3e791c5b41b5,79023383-f7c9-4a06-813b-001d0db1de6a,,,28,西城線,庄原駅,日赤前・ジョイフル
df9d359c-6bd6-4247-877e-adab00ba0631,79023383-f7c9-4a06-813b-001d0db1de6a,,,29,西城線,庄原駅,日赤前・ジョイフル
5745beb0-227f-4b2b-827a-dc30ab7a6065,79023383-f7c9-4a06-813b-001d0db1de6a,,,30,西城線,庄原駅,日赤前・ジョイフル
840f15ce-a274-495e-8201-3b5d8c2175de,79023383-f7c9-4a06-813b-001d0db1de6a,,,31,西城線,庄原駅,日赤前・ジョイフル
c03e0354-7d84-4501-a21b-b74bbb620bf1,79023383-f7c9-4a06-813b-001d0db1de6a,,,32,西城線,庄原市内循環,日赤前・ジョイフル
706616c0-a851-4f87-94cf-5a2e12a4c0b7,79023383-f7c9-4a06-813b-001d0db1de6a,,,33,西城線,庄原駅,日赤前・ジョイフル
1b9b1a7b-3b4d-4e92-8321-274357f4fe9a,79023383-f7c9-4a06-813b-001d0db1de6a,,,34,西城線,庄原駅,日赤前・ジョイフル
0a33a8c3-417e-4b16-bb3a-db9bf9bf0785,79023383-f7c9-4a06-813b-001d0db1de6a,,,35,西城線,庄原駅,日赤前・ジョイフル
c509b835-7c72-408d-bb44-8146ad6ba520,79023383-f7c9-4a06-813b-001d0db1de6a,,,36,西城線,庄原駅,ジョイフル
600c9a91-356d-4a94-9c5d-fc6f520c290b,79023383-f7c9-4a06-813b-001d0db1de6a,,,37,西城線,庄原駅,
a24f8239-fb8d-424e-b19a-8ecee43ee966,79023383-f7c9-4a06-813b-001d0db1de6a,,,38,西城線,庄原駅,
96a7fa53-f704-4726-8a2d-5fd985552329,79023383-f7c9-4a06-813b-001d0db1de6a,,,39,西城線,庄原駅,
5004a077-b277-4e8c-9241-09eb7c36412c,79023383-f7c9-4a06-813b-001d0db1de6a,,,40,西城線,庄原駅,
3f14338e-24a5-4c03-b940-5380145cf145,79023383-f7c9-4a06-813b-001d0db1de6a,,,41,西城線,庄原駅,
4ba933e2-cfc4-445b-8540-68bfd4066da8,79023383-f7c9-4a06-813b-001d0db1de6a,,,42,西城線,庄原駅,
c03e0354-7d84-4501-a21b-b74bbb620bf1,79023383-f7c9-4a06-813b-001d0db1de6a,,,43,西城線,庄原駅,
0cf8ee3f-feb0-41f5-954c-583fa2e50151,0757f990-2d1e-4838-83dc-002302a253fc,,,1,高速広島線,三次駅前,大塚駅・千代田
b80400b8-985e-432a-9c4b-15da766b14fb,0757f990-2d1e-4838-83dc-002302a253fc,,,2,高速広島線,三次駅前,大塚駅・千代田
078e2ea5-2792-4cc9-95b3-1674b1cb8e34,0757f990-2d1e-4838-83dc-002302a253fc,,,3,高速広島線,三次駅前,千代田
6ea7ce7c-bd65-45d4-a24f-c156ce2f35de,0757f990-2d1e-4838-83dc-002302a253fc,,,4,高速広島線,三次駅前,千代田
3fecc8c5-7d5c-4914-8ce7-e4d4022d4b11,0757f990-2d1e-4838-83dc-002302a253fc,,,5,高速広島線,三次駅前,
fc60ef4f-88e6-487b-9b76-9ab9966a0c75,0757f990-2d1e-4838-83dc-002302a253fc,,,6,高速広島線,三次駅前,
05f07fb9-4e8c-47a6-9c0d-ef289df7d43e,0757f990-2d1e-4838-83dc-002302a253fc,,,7,高速広島線,三次駅前,
b730b790-c086-4122-b154-77e727cf674e,0757f990-2d1e-4838-83dc-002302a253fc,,,8,高速広島線,三次駅前,
61b0c4ec-0e89-47ce-be82-19bd5c7fe25a,b7099f0d-e3af-44f0-924f-002c84da84ee,,,1,高速広島線,広島駅新幹線口,庄原駅・三次駅前・千代田・大塚駅・広島バスセンター
88e4ffad-b2ac-465c-bb67-9a8a2a38c596,b7099f0d-e3af-44f0-924f-002c84da84ee,,,2,高速広島線,広島駅新幹線口,庄原駅・三次駅前・千代田・大塚駅・広島バスセンター
3ebd2569-c390-4abf-9bdd-c76dd1622932,b7099f0d-e3af-44f0-924f-002c84da84ee,,,3,高速広島線,広島駅新幹線口,庄原駅・三次駅前・千代田・大塚駅・広島バスセンター
c03e0354-7d84-4501-a21b-b74bbb620bf1,b7099f0d-e3af-44f0-924f-002c84da84ee,,,4,高速広島線,広島駅新幹線口,三次駅前・千代田・大塚駅・広島バスセンター
3ebd2569-c390-4abf-9bdd-c76dd1622932,b7099f0d-e3af-44f0-924f-002c84da84ee,,,5,高速広島線,広島駅新幹線口,三次駅前・千代田・大塚駅・広島バスセンター
88e4ffad-b2ac-465c-bb67-9a8a2a38c596,b7099f0d-e3af-44f0-924f-002c84da84ee,,,6,高速広島線,広島駅新幹線口,三次駅前・千代田・大塚駅・広島バスセンター
0c963e75-52b8-41cf-842e-b61c24ed00b7,b7099f0d-e3af-44f0-924f-002c84da84ee,,,7,高速広島線,広島駅新幹線口,三次駅前・千代田・大塚駅・広島バスセンター
b730b790-c086-4122-b154-77e727cf674e,b7099f0d-e3af-44f0-924f-002c84da84ee,,,8,高速広島線,広島駅新幹線口,千代田・大塚駅・広島バスセンター
77c433b9-7cdc-4e44-be63-1e1e85082237,b7099f0d-e3af-44f0-924f-002c84da84ee,,,9,高速広島線,広島駅新幹線口,千代田・大塚駅・広島バスセンター
f3a607f0-f627-4b64-837e-6ba851d4fc3b,b7099f0d-e3af-44f0-924f-002c84da84ee,,,10,高速広島線,広島駅新幹線口,千代田・大塚駅・広島バスセンター
66aa2df5-05d3-49a5-a93b-0b7ae5bcaea9,b7099f0d-e3af-44f0-924f-002c84da84ee,,,12,高速広島線,広島駅新幹線口,大塚駅・広島バスセンター
0369bbab-d920-4c24-a9da-46d06ddb9b33,b7099f0d-e3af-44f0-924f-002c84da84ee,,,13,高速広島線,広島駅新幹線口,大塚駅・広島バスセンター
1150fcd4-fa53-47cb-a720-6b05e646f103,b7099f0d-e3af-44f0-924f-002c84da84ee,,,14,高速広島線,広島駅新幹線口,広島バスセンター
17a48ed6-eea0-4169-8314-04f97c6e9474,b7099f0d-e3af-44f0-924f-002c84da84ee,,,15,高速広島線,広島駅新幹線口,広島バスセンター
2a9fa33b-ba53-476b-9021-dd2a9a7ec630,b7099f0d-e3af-44f0-924f-002c84da84ee,,,16,高速広島線,広島駅新幹線口,
4c8ba1f2-fae0-4575-9783-e86220999095,b7099f0d-e3af-44f0-924f-002c84da84ee,,,17,高速広島線,広島駅新幹線口,
8c372750-7b91-4b73-90c9-c6653f909217,b7099f0d-e3af-44f0-924f-002c84da84ee,,,18,高速広島線,広島駅新幹線口,
0c9f4c6e-c3cf-4318-ad15-9e57d9b1a835,b7099f0d-e3af-44f0-924f-002c84da84ee,,,19,,,
c3e7584b-a6ac-4f3c-bc04-723ca7b8e249,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,1,備北交通,向原駅,大林
220b462a-9d3a-4d85-834b-ab63660a2701,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,2,高田南部線,向原駅,大林
64846c39-e545-40e7-84d4-0903870d3f0b,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,3,高田南部線,向原駅,大林
f227f86b-e80e-4a92-bd74-87debc007ced,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,4,高田南部線,向原駅,大林
0ff1f759-5c60-4dbb-a74b-4800f8b66763,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,5,高田南部線,向原駅,大林
eec4e236-4170-47b2-8661-a7075d83a23a,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,6,高田南部線,向原駅,大林
1abea1c1-da1f-4532-97c7-52503a2ddbbd,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,7,高田南部線,向原駅,大林
100ddf2e-a231-4a34-87fa-a13b59be26c7,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,8,高田南部線,向原駅,大林
de48f337-bed8-4841-95f0-dbe86aa5d724,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,9,高田南部線,向原駅,大林
64c3c337-90f6-4209-a0dc-6b218ef417be,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,10,高田南部線,向原駅,大林
a9d16587-6b31-4d04-8c11-9247ea626e6e,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,11,高田南部線,向原駅,大林
37cf1a60-d5d1-479d-ba06-44b1ad77ced6,03fb7b6d-6e46-44bf-9182-01a48ef0685e,,,12,高田南部線,向原駅,大林
