stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1501 1,,中筋駅,,34.4510145,132.4773249,1501 1,,0,,,,
1501 2,,中筋駅,,34.450978,132.4775769,1501 2,,0,,,,
1502 1,,広島駅新幹線口,,34.398915,132.4765277,1502 1,,0,,,,
1502 2,,広島駅新幹線口,,34.39840342,132.4767384,1502 2,,0,,,,3
2 1,,女学院前,,34.3977982,132.4653075,2 1,,0,,,,1
2002 1,,大塚駅,,34.4424742,132.404323,2002 1,,0,,,,
2002 2,,大塚駅,,34.4420617,132.404412,2002 2,,0,,,,
2004 1,,沼田ＰＡ,,34.4639958,132.4221441,2004 1,,0,,,,
2004 2,,沼田ＰＡ,,34.4629102,132.422693,2004 2,,0,,,,
2005 1,,久地,,34.4896317,132.3963385,2005 1,,0,,,,
2005 2,,久地,,34.4893589,132.395923,2005 2,,0,,,,
2006 1,,広島北インター,,34.5456709,132.4487404,2006 1,,0,,,,
2006 2,,広島北インター,,34.5456871787777,132.448717250048,2006 2,,0,,,,
2007 1,,千代田ＩＣ,,34.6743861,132.5407145,2007 1,,0,,,,
2007 2,,千代田ＩＣ,,34.6743807,132.540708,2007 2,,0,,,,
2008 1,,美土里,,34.7179116,132.6623192,2008 1,,0,,,,
2008 2,,美土里,,34.7182041,132.662222,2008 2,,0,,,,
2009 1,,高宮,,34.7491219,132.7241379,2009 1,,0,,,,
2009 2,,高宮,,34.7492162,132.723792,2009 2,,0,,,,
2010 1,,三次駅前,,34.8028127,132.855373,2010 1,,0,,,,1
2010 2,,三次駅前,,34.8027704,132.855078,2010 2,,0,,,,2
2010 3,,三次駅前,,34.8028962,132.8548282,2010 3,,0,,,,3
2010 4,,三次駅前,,34.8030847,132.8550699,2010 4,,0,,,,4
2012 1,,ＮＴＴ前,,34.80539982,132.8543216,2012 1,,0,,,,
2012 2,,ＮＴＴ前,,34.8050146,132.8553118,2012 2,,0,,,,
2013 1,,三次市役所,,34.8061197,132.8519294,2013 1,,0,,,,
2013 2,,三次市役所,,34.8058481,132.852494,2013 2,,0,,,,
2014 1,,巴橋,,34.8069475,132.8493484,2014 1,,0,,,,
2014 2,,巴橋,,34.8065119,132.8507642,2014 2,,0,,,,
2015 1,,巴橋西詰,,34.8077604,132.8465918,2015 1,,0,,,,
2015 2,,巴橋西詰,,34.8075606,132.8467712,2015 2,,0,,,,
2016 1,,稲荷町,,34.8082082,132.844915,2016 1,,0,,,,
2016 2,,稲荷町,,34.80796605,132.8450723,2016 2,,0,,,,
2017 1,,三次小学校前,,34.8114647,132.8444306,2017 1,,0,,,,
2017 2,,三次小学校前,,34.8114588,132.8443272,2017 2,,0,,,,
2019 1,,Ａシティ中央,,34.4465701,132.3954575,2019 1,,0,,,,
2019 2,,Ａシティ中央,,34.446329,132.3955029,2019 2,,0,,,,
2020 1,,沼田料金所前,,34.4363808,132.4102058,2020 1,,0,,,,
2020 2,,沼田料金所前,,34.4362233,132.4100241,2020 2,,0,,,,
2022 1,,新白島駅,,34.4077544,132.4608545,2022 1,,0,,,,
2022 2,,新白島駅,,34.4077599,132.4601056,2022 2,,0,,,,
3 1,,合同庁舎前,,34.3986289,132.4620084,3 1,,0,,,,
36012 1,,和知,,34.8117009,132.9310056,36012 1,,0,,,,
36012 2,,和知,,34.8119562,132.9307918,36012 2,,0,,,,
36013 1,,庄原中学校前,,34.85458,133.0201586,36013 1,,0,,,,
36013 2,,庄原中学校前,,34.8550636,133.0198925,36013 2,,0,,,,
36013 31,,庄原中学校前,,34.8545778,133.0201626,36013 31,,0,,,,
36013 32,,庄原中学校前,,34.8550727,133.0198866,36013 32,,0,,,,
36014 1,,庄原駅,,34.8621834,133.0166069,36014 1,,0,,,,
36014 2,,庄原駅,,34.8621208,133.0165858,36014 2,,0,,,,
36015 1,,帝釈ＢＳ,,34.871739,133.1644514,36015 1,,0,,,,
36015 2,,帝釈ＢＳ,,34.872042,133.1645774,36015 2,,0,,,,
36016 1,,東城小学校前,,34.8953782,133.2751381,36016 1,,0,,,,
36016 2,,東城小学校前,,34.8953644,133.2750059,36016 2,,0,,,,
36016 22,,東城小学校前,,34.8953854,133.2751388,36016 22,,0,,,,
36016 3,,東城小学校前,,34.8953826,133.2751373,36016 3,,0,,,,
36017 1,,東城駅前,,34.9015103,133.2737348,36017 1,,0,,,,
36017 20,,東城駅前,,34.9016263,133.2736187,36017 20,,0,,,,
36017 3,,東城駅前,,34.9015146,133.2737333,36017 3,,0,,,,
36018 1,,備北丘陵公園,,34.8395823,132.9966563,36018 1,,0,,,,
36053 1,,可部中央,,34.5168487,132.5102411,36053 1,,0,,,,
36053 2,,可部中央,,34.5168387,132.5103464,36053 2,,0,,,,
36054 1,,可部上市,,34.5207406,132.5119939,36054 1,,0,,,,
36054 2,,可部上市,,34.52036,132.5119689,36054 2,,0,,,,
36055 1,,可部中学校前,,34.5247367,132.5134552,36055 1,,0,,,,
36055 2,,可部中学校前,,34.5242977,132.5134591,36055 2,,0,,,,
36056 1,,南原口,,34.5294475,132.5157063,36056 1,,0,,,,
36056 2,,南原口,,34.528379,132.5152108,36056 2,,0,,,,
36057 1,,土居橋,,34.5315311,132.5175645,36057 1,,0,,,,
36057 2,,土居橋,,34.5311271,132.5174055,36057 2,,0,,,,
36058 1,,下町屋,,34.5338057,132.5196431,36058 1,,0,,,,
36058 2,,下町屋,,34.5345244,132.5204938,36058 2,,0,,,,
36059 1,,三入,,34.536656,132.522536,36059 1,,0,,,,
36059 2,,三入,,34.5368779,132.5229738,36059 2,,0,,,,
36060 1,,町屋記念碑,,34.5396382,132.5260466,36060 1,,0,,,,
36060 2,,町屋記念碑,,34.5395972,132.5261822,36060 2,,0,,,,
36061 1,,町屋,,34.5432578,132.5304573,36061 1,,0,,,,
36061 2,,町屋,,34.5434481,132.5308241,36061 2,,0,,,,
36062 1,,上町屋,,34.5468376,132.5350234,36062 1,,0,,,,
36062 2,,上町屋,,34.5469593,132.5353398,36062 2,,0,,,,
36063 2,,大林二丁目,,34.5489981,132.5382081,36063 2,,0,,,,
36064 1,,下大林,,34.5497062,132.5389792,36064 1,,0,,,,
36064 2,,下大林,,34.5499938,132.5395127,36064 2,,0,,,,
36065 1,,洞庭,,34.5523534,132.5425442,36065 1,,0,,,,
36065 2,,洞庭,,34.5519543,132.5422876,36065 2,,0,,,,
36066 1,,大林,,34.5540838,132.5441085,36066 1,,0,,,,
36066 2,,大林,,34.554989,132.5450527,36066 2,,0,,,,
36067 1,,大杉,,34.5568786,132.5466449,36067 1,,0,,,,
36067 2,,大杉,,34.557154,132.547197,36067 2,,0,,,,
36068 1,,下浜が谷,,34.5594491,132.5488773,36068 1,,0,,,,
36068 2,,下浜が谷,,34.5594685,132.5490572,36068 2,,0,,,,
36069 1,,上根バイパス,,34.5841192,132.5821968,36069 1,,0,,,,
