stop_id,direction
1501 1,おりば
1501 2,各方面
1502 1,
1502 2,高速バス
2 1,1番のりば 広島駅方面
2002 1,広島方面
2002 2,西風新都方面
2004 1,広島方面
2004 2,三段峡方面
2005 1,広島方面
2005 2,三段峡方面
2006 1,広島方面
2006 2,三段峡方面
2007 1,広島方面
2007 2,三次方面
2008 1,広島方面
2008 2,三次方面
2009 1,広島方面
2009 2,三次方面
2010 1,工業団地・中央病院方面
2010 2,各方面行き
2010 3,広島方面
2010 4,庄原・東城方面行
2012 1,庄原・工業団地方面
2012 2,吉田・赤名・君田方面
2013 1,庄原・工業団地方面
2013 2,吉田・赤名・君田方面
2014 1,庄原・工業団地方面
2014 2,吉田・赤名・君田方面
2015 1,庄原・工業団地方面
2015 2,赤名・君田方面
2016 1,庄原・工業団地方面
2016 2,赤名・君田方面
2017 1,庄原・工業団地方面
2017 2,赤名・君田方面
2019 1,広島方面
2019 2,西風新都方面
2020 1,広島方面
2020 2,西風新都方面
2022 1,広島バスセンター方面
2022 2,高陽方面
3 1,広島駅方面
36012 1,
36012 2,庄原方面
36013 1,庄原・三次・県北方面
36013 2,本村・実留方面
36013 31,庄原・三次・県北方面
36013 32,本村・実留方面
36014 1,
36014 2,県立大学・地域生活バス
36015 1,
36015 2,
36016 1,東城駅・各方面
36016 2,
36016 22,東城駅・各方面
36016 3,東城駅・各方面
36017 1,
36017 20,
36017 3,
36018 1,
36053 1,北部方面
36053 2,広島方面
36054 1,北部方面
36054 2,広島方面
36055 1,北部方面
36055 2,広島方面
36056 1,北部方面
36056 2,広島方面
36057 1,北部方面
36057 2,広島方面
36058 1,北部方面
36058 2,広島方面
36059 1,北部方面
36059 2,広島方面
36060 1,北部方面
36060 2,広島方面
36061 1,北部方面
36061 2,広島方面
36062 1,北部方面
36062 2,広島方面
36063 2,広島方面
36064 1,北部方面
36064 2,広島方面
36065 1,北部方面
36065 2,広島方面
36066 1,北部方面
36066 2,広島方面
36067 1,北部方面
36067 2,広島方面
36068 1,志屋・吉田方面
36068 2,志屋・吉田方面
36069 1,
36069 2,
36080 1,
36080 2,
36081 1,
36081 2,
36082 1,
36082 2,
36083 1,広島方面
36083 2,吉田方面
36084 1,広島方面
36084 2,吉田方面
36085 1,広島方面
36085 2,吉田方面
36086 1,広島方面
36086 2,吉田方面
36087 1,広島方面
36087 2,吉田方面
36088 1,広島方面
36088 2,広島方面
36089 1,吉田方面
36089 2,向原・三次方面
36090 1,吉田方面
36090 2,向原・三次方面
36091 1,吉田方面
36091 2,向原・三次方面
36092 1,吉田方面
36092 2,向原・三次方面
36093 1,吉田方面
36093 2,向原・三次方面
36094 1,吉田方面
36094 2,向原・三次方面
36098 1,吉田方面
36098 2,三次方面
36099 1,吉田方面
36100 1,三次方面
36101 1,吉田営業所方面
36101 2,三次方面
36103 1,吉田営業所方面
36103 2,三次方面
36104 1,吉田営業所方面
36104 2,三次方面
36105 1,吉田営業所方面
36105 2,三次方面
36106 1,吉田営業所方面
36106 2,三次方面
36107 1,吉田営業所方面
36107 2,三次方面
36108 1,吉田営業所方面
36108 2,三次方面
36109 1,吉田営業所方面
36109 2,三次方面
36110 1,吉田・敷名方面
36110 2,三次方面
36111 1,吉田・敷名方面
36111 2,三次方面
36112 1,吉田・敷名方面
36112 2,三次方面
36113 1,吉田営業所方面
36113 10,
36113 2,三次方面
36114 1,吉田営業所方面
36114 2,三次方面
36115 1,吉田営業所方面
36115 2,三次方面
36116 1,吉田営業所方面
36116 2,三次方面
36117 1,吉田営業所方面
36117 2,三次方面
36118 1,吉田営業所方面
36118 2,三次方面
36119 1,庄原・工業団地方面
36119 2,赤名・君田・口和方面
36127 1,庄原・工業団地方面
36127 2,三次駅・県北方面
36128 1,三次駅方面
36128 21,三次駅方面
36128 22,庄原方面
36129 1,三次駅方面
36129 21,三次駅方面
36129 22,庄原方面
36130 1,三次駅方面
36130 21,三次駅方面
36130 22,庄原方面
36131 1,三次駅方面
36131 21,三次駅方面
36131 22,庄原方面
36132 1,三次駅方面
36132 21,三次駅方面
36132 22,庄原方面
36133 1,三次駅方面
36133 21,三次駅方面
36133 22,庄原方面
36137 1,三次方面
36137 21,三次駅方面
36137 22,庄原方面
36138 1,三次方面
36138 21,三次駅方面
36138 22,庄原方面
36139 1,三次方面
36139 21,三次駅方面
36139 22,庄原方面
36140 1,三次駅方面
36140 2,庄原方面
36140 21,三次駅方面
36140 22,庄原方面
36141 1,三次方面
36141 21,三次駅方面
36141 22,庄原方面
36142 1,三次方面
36142 21,三次駅方面
36142 22,庄原方面
36143 1,三次方面
36143 21,三次駅方面
36143 22,庄原方面
36144 1,三次方面
36144 21,三次駅方面
36144 22,庄原方面
36145 21,三次駅方面
36145 22,庄原方面
36146 1,三次方面
36146 21,三次駅方面
36146 22,庄原方面
36147 1,三次方面
36147 21,三次駅方面
36147 22,庄原方面
36148 1,三次方面
36148 21,三次駅方面
36148 22,庄原方面
36149 1,三次方面
36149 21,三次駅方面
36149 22,庄原方面
36150 1,三次方面
36150 21,三次駅方面
36150 22,庄原方面
36151 1,三次方面
36151 21,三次駅方面
36151 22,庄原方面
36152 1,庄原方面
36152 21,三次駅方面
