trans_id,lang,translation
備北交通,ja,備北交通
備北交通,ja-Hrkt,ビホクコウツウ
備北交通,en,BIHOKU CORPORATION
中筋駅,ja,中筋駅
中筋駅,ja-Hrkt,なかすじえき
中筋駅,en,Nakasuji Sta.
中筋駅,ko,나카스지 역
中筋駅,zh-cn,中筋站
中筋駅,zh-tw,中筋站
広島駅新幹線口,ja,広島駅新幹線口
広島駅新幹線口,ja-Hrkt,ひろしまえきしんかんせんぐち
広島駅新幹線口,en,Hiroshima Sta. Shinkansen Entrance
広島駅新幹線口,ko,히로시마 역 신칸센 출입구
広島駅新幹線口,zh-cn,广岛站新干线口
広島駅新幹線口,zh-tw,廣島站新幹線口
女学院前,ja,女学院前
女学院前,ja-Hrkt,じょがくいんまえ
女学院前,en,Jogakuin-mae (Jogakuin High School)
女学院前,ko,여학원
女学院前,zh-cn,女学院前
女学院前,zh-tw,女學院前
大塚駅,ja,大塚駅
大塚駅,ja-Hrkt,おおづかえき
大塚駅,en,Ozuka Sta.
大塚駅,ko,오즈카 역
大塚駅,zh-cn,大塚站
大塚駅,zh-tw,大塚站
沼田ＰＡ,ja,沼田ＰＡ
沼田ＰＡ,ja-Hrkt,ぬまたぱーきんぐえりあ
沼田ＰＡ,en,Numata Parking
沼田ＰＡ,ko,누마타 PA
沼田ＰＡ,zh-cn,沼田PA
沼田ＰＡ,zh-tw,沼田PA
久地ＢＳ,ja,久地ＢＳ
久地ＢＳ,ja-Hrkt,くちばすすとつぷ
広島北インター,ja,広島北インター
広島北インター,ja-Hrkt,ひろしまきたいんたー
広島北インター,en,Hiroshima-kita Inter
広島北インター,ko,히로시마 키타 인터
広島北インター,zh-cn,广岛北IC
広島北インター,zh-tw,廣島北IC
千代田,ja,千代田
千代田,ja-Hrkt,ちよだいんたーちえんじ
千代田,en,Chiyoda Inter
千代田,ko,지요다인터
千代田,zh-cn,千代田IC
千代田,zh-tw,千代田IC
千代田ＩＣ,ja,千代田ＩＣ
千代田ＩＣ,ja-Hrkt,ちよだいんたーちえんじ
千代田ＩＣ,en,Chiyoda Inter
千代田ＩＣ,ko,지요다인터
千代田ＩＣ,zh-cn,千代田IC
千代田ＩＣ,zh-tw,千代田IC
美土里,ja,美土里
美土里,ja-Hrkt,みどりばすすとつぷ
美土里,en,Midori
美土里,ko,미도리
美土里,zh-cn,美土里
美土里,zh-tw,美土裏
美土里ＢＳ,ja,美土里ＢＳ
美土里ＢＳ,ja-Hrkt,みどりばすすとつぷ
美土里ＢＳ,en,Midori
美土里ＢＳ,ko,미도리
美土里ＢＳ,zh-cn,美土里
美土里ＢＳ,zh-tw,美土裏
高宮,ja,高宮
高宮,ja-Hrkt,たかみやばすすとつぷ
高宮,en,Takamiya
高宮,ko,다카미야
高宮,zh-cn,高宫
高宮,zh-tw,高宮
高宮ＢＳ,ja,高宮ＢＳ
