trans_id,lang,translation,category,station_sid,course_sid
備北交通,ja,備北交通,agency_name,,
備北交通,ja-Hrkt,ビホクコウツウ,agency_name,,
備北交通,en,BIHOKU CORPORATION,agency_name,,
中筋駅,ja,中筋駅,stop_name,a5b6f15e-4f00-444b-acd8-63836d3a5cd1,
中筋駅,ja-Hrkt,なかすじえき,stop_name,a5b6f15e-4f00-444b-acd8-63836d3a5cd1,
中筋駅,en,Nakasuji Sta.,stop_name,a5b6f15e-4f00-444b-acd8-63836d3a5cd1,
中筋駅,ko,나카스지 역,stop_name,a5b6f15e-4f00-444b-acd8-63836d3a5cd1,
中筋駅,zh-cn,中筋站,stop_name,a5b6f15e-4f00-444b-acd8-63836d3a5cd1,
中筋駅,zh-tw,中筋站,stop_name,a5b6f15e-4f00-444b-acd8-63836d3a5cd1,
広島駅新幹線口,ja,広島駅新幹線口,stop_name,0c9f4c6e-c3cf-4318-ad15-9e57d9b1a835,
広島駅新幹線口,ja-Hrkt,ひろしまえきしんかんせんぐち,stop_name,0c9f4c6e-c3cf-4318-ad15-9e57d9b1a835,
広島駅新幹線口,en,Hiroshima Sta. Shinkansen Entrance,stop_name,0c9f4c6e-c3cf-4318-ad15-9e57d9b1a835,
広島駅新幹線口,ko,히로시마 역 신칸센 출입구,stop_name,0c9f4c6e-c3cf-4318-ad15-9e57d9b1a835,
広島駅新幹線口,zh-cn,广岛站新干线口,stop_name,0c9f4c6e-c3cf-4318-ad15-9e57d9b1a835,
広島駅新幹線口,zh-tw,廣島站新幹線口,stop_name,0c9f4c6e-c3cf-4318-ad15-9e57d9b1a835,
女学院前,ja,女学院前,stop_name,8c372750-7b91-4b73-90c9-c6653f909217,
女学院前,ja-Hrkt,じょがくいんまえ,stop_name,8c372750-7b91-4b73-90c9-c6653f909217,
女学院前,en,Jogakuin-mae (Jogakuin High School),stop_name,8c372750-7b91-4b73-90c9-c6653f909217,
女学院前,ko,여학원,stop_name,8c372750-7b91-4b73-90c9-c6653f909217,
女学院前,zh-cn,女学院前,stop_name,8c372750-7b91-4b73-90c9-c6653f909217,
女学院前,zh-tw,女學院前,stop_name,8c372750-7b91-4b73-90c9-c6653f909217,
大塚駅,ja,大塚駅,stop_name,1150fcd4-fa53-47cb-a720-6b05e646f103,
大塚駅,ja-Hrkt,おおづかえき,stop_name,1150fcd4-fa53-47cb-a720-6b05e646f103,
大塚駅,en,Ozuka Sta.,stop_name,1150fcd4-fa53-47cb-a720-6b05e646f103,
大塚駅,ko,오즈카 역,stop_name,1150fcd4-fa53-47cb-a720-6b05e646f103,
大塚駅,zh-cn,大塚站,stop_name,1150fcd4-fa53-47cb-a720-6b05e646f103,
大塚駅,zh-tw,大塚站,stop_name,1150fcd4-fa53-47cb-a720-6b05e646f103,
沼田ＰＡ,ja,沼田ＰＡ,stop_name,b091c84e-a9b7-46ce-88e1-64011724842a,
沼田ＰＡ,ja-Hrkt,ぬまたぱーきんぐえりあ,stop_name,b091c84e-a9b7-46ce-88e1-64011724842a,
沼田ＰＡ,en,Numata Parking,stop_name,b091c84e-a9b7-46ce-88e1-64011724842a,
