daiya_sid,bin_no,course_sid
f794b2e6-c76f-4c99-9eb7-06ca7b105a7d,1,e0941658-b99f-48d1-81b2-029fe1e89384
604ea62c-7863-4c2f-816f-5cfcfec2f66c,2,e0941658-b99f-48d1-81b2-029fe1e89384
596040db-4243-489b-bab0-9c78dd532f71,1,e0941658-b99f-48d1-81b2-029fe1e89384
3e522a98-b54b-4c79-9173-db157aa5546e,2,e0941658-b99f-48d1-81b2-029fe1e89384
924ae588-f423-40aa-aeff-eb54dcbf8365,1,e0941658-b99f-48d1-81b2-029fe1e89384
1030491c-20e1-4979-a734-a59f6a49d91a,1,ba075575-e8b1-4ff2-a7bf-04227ca3bf70
18f0e1f3-4a05-4a1f-bc8c-511d5d5af30a,1,ba075575-e8b1-4ff2-a7bf-04227ca3bf70
d0c971c3-881f-40a8-a51d-35f85bdb05cd,3,679fb861-177f-4f73-ab5a-056c44a7d52d
0eb8e79a-535c-4c28-bd74-49172af9a90e,1,679fb861-177f-4f73-ab5a-056c44a7d52d
4202e4bd-f8c3-4442-ba5f-a3a686623b7d,4,679fb861-177f-4f73-ab5a-056c44a7d52d
6883ad96-77e9-476a-83ec-f3424cbc7e6f,2,679fb861-177f-4f73-ab5a-056c44a7d52d
5b20007b-9be1-4632-b405-9f8dd515d6d7,1,9d2688a0-6f79-47e4-b91a-05cac37109db
9de987a5-cefa-4bb5-a0bb-9afdc9a599ee,2,9d2688a0-6f79-47e4-b91a-05cac37109db
7a65ea68-6f6c-49f4-90bf-f4dc5d054f18,2,387d6086-3fd4-4bb1-8161-07c0e5baaf2c
9cfc8296-fbe1-48b7-9145-e981386d6b9f,3,387d6086-3fd4-4bb1-8161-07c0e5baaf2c
5e977200-c2e7-4091-86aa-9a4aa2e5e3ac,1,387d6086-3fd4-4bb1-8161-07c0e5baaf2c
0f2c7df6-5f17-4fcf-9b5b-78729f5fd6e8,1,f9336243-dfa8-47e5-a33a-0ed5e374ae24
68c15737-5254-4f8a-91e5-2375622e847b,1,f9336243-dfa8-47e5-a33a-0ed5e374ae24
70144398-9a5d-4f0c-8423-d2b17fd0ff4e,1,7af3871f-6e4f-49fe-888e-110298632087
47b51bfd-5cf0-4539-817f-9f4135a2e049,1,6913486c-5f3b-47a0-b048-11519caf42aa
51dbef52-b422-4029-b331-efe8fc3b40d0,2,6913486c-5f3b-47a0-b048-11519caf42aa
210b6066-a548-4371-82a9-f3b2f1f7c886,1,f707c8ee-9c84-4e9b-ad60-12877e0a587d
35ed38a7-5048-4207-aaeb-d2e535b006b1,3,f707c8ee-9c84-4e9b-ad60-12877e0a587d
92e4c1c5-d50f-4484-bc91-c3a1618870bd,1,f707c8ee-9c84-4e9b-ad60-12877e0a587d
06e9aaa6-491f-4c9d-a235-cd46eeb27a84,1,f707c8ee-9c84-4e9b-ad60-12877e0a587d
87ad80c6-92d8-4632-9b74-7c5211451d8d,2,f707c8ee-9c84-4e9b-ad60-12877e0a587d
df06018d-9755-4a45-a976-646085b63581,2,f707c8ee-9c84-4e9b-ad60-12877e0a587d
5c368ee1-0c4c-4ae0-b562-5cb23c86c289,3,f707c8ee-9c84-4e9b-ad60-12877e0a587d
e4ae1a43-8665-4529-9328-5c0c074dc4b0,3,f707c8ee-9c84-4e9b-ad60-12877e0a587d
8025b876-47e2-43fa-a0b9-0b636a44abf5,2,f707c8ee-9c84-4e9b-ad60-12877e0a587d
0d8ca190-c98f-4b2d-b180-a2742877a948,1,18fa4c21-dadb-431b-9302-12f3cc310ce0
55181b99-cdc1-4de1-a627-b16ce7a46973,1,8e800e1f-d933-45ba-b62b-14d0721c6544
19324461-f3fe-4062-8d7e-f0a57fa8b00e,2,8e800e1f-d933-45ba-b62b-14d0721c6544
6590929c-0e40-4710-af29-0d5b2e348c76,1,8e800e1f-d933-45ba-b62b-14d0721c6544
29308843-fb16-467a-911f-848cfeb98a57,1,8e800e1f-d933-45ba-b62b-14d0721c6544
25cd3a0f-3ac0-42af-91e4-8706fff3fdb2,1,fecf8142-e082-474e-98f1-16c665cfbdf7
9ec0ac26-e349-4cb6-aba7-dcaa2492d9ac,2,fecf8142-e082-474e-98f1-16c665cfbdf7
0a7740b8-c8c7-4733-a904-0c8aad30ee0c,1,a4a7c9fa-1e8e-462d-af00-16c79b096693
c4a51731-0ef5-43c5-88de-a85482c3b0fe,1,e5446d03-4b87-4e20-9c2c-196c86a05406
20197710-11cf-44c0-a77b-a89836f745a0,1,e5446d03-4b87-4e20-9c2c-196c86a05406
f12da105-13ca-479a-a369-efc1ddba05c4,2,e5446d03-4b87-4e20-9c2c-196c86a05406
4a8a3d2a-436f-475a-ad45-1166897d3f66,1,3cbf6362-e5d7-4b44-b63e-1b50a291a9e7
3cb4c97e-3a6c-4521-8988-ee515ba38ab4,1,30cc50fd-8b7b-441a-ae3e-1b9a18b1724a
201be31c-627b-495f-a779-e615918313b1,3,30cc50fd-8b7b-441a-ae3e-1b9a18b1724a
92aef150-4d37-4280-92ee-b027b71000ac,2,30cc50fd-8b7b-441a-ae3e-1b9a18b1724a
