service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_平日(共通),1,1,1,1,1,0,0,20260824,20270224
1_土曜(共通),0,0,0,0,0,1,0,20260824,20270224
1_日祝(共通),0,0,0,0,0,0,1,20260824,20270224
2_平日(共通),1,1,1,1,1,0,0,20260824,20270224
2_土曜(共通),0,0,0,0,0,1,0,20260824,20270224
2_日祝(共通),0,0,0,0,0,0,1,20260824,20270224
3_平日(共通),1,1,1,1,1,0,0,20260824,20270224
3_土曜(共通),0,0,0,0,0,1,0,20260824,20270224
3_日祝(共通),0,0,0,0,0,0,1,20260824,20270224
4_平日(共通),1,1,1,1,1,0,0,20260824,20270224
4_土曜(共通),0,0,0,0,0,1,0,20260824,20270224
4_日祝(共通),0,0,0,0,0,0,1,20260824,20270224
5_平日(共通),1,1,1,1,1,0,0,20260824,20270224
5_土曜(共通),0,0,0,0,0,1,0,20260824,20270224
5_日祝(共通),0,0,0,0,0,0,1,20260824,20270224
