fare_id,route_id,origin_id,destination_id,contains_id
3240001022504_150_00,3543742542,2106 3,2108 3,
3240001022504_150_00,3543742542,2106 3,3441 4,
3240001022504_150_00,3543742542,2103 3,3354 3,
3240001022504_150_00,3543742542,2103 3,3351 3,
3240001022504_150_00,3543742542,2108 3,3375 3,
3240001022504_150_00,3543742542,2108 3,3440 3,
3240001022504_150_00,3543742542,2108 3,3441 4,
3240001022504_150_00,3543742542,3440 3,3354 3,
3240001022504_150_00,3543742542,3440 3,3442 3,
3240001022504_150_00,3543742542,2100 3,3373 3,
3240001022504_150_00,3543742542,2100 3,2023 5,
3240001022504_150_00,3543742542,2100 3,2102 3,
3240001022504_150_00,3543742542,2023 5,2100 0,
3240001022504_150_00,3543742542,3441 4,3354 3,
3240001022504_150_00,3543742542,2102 3,3353 3,
3240001022504_150_00,3543742542,2102 3,3440 4,
3240001022504_150_00,3543742542,2090 4,2100 0,
3240001022504_150_00,3543742542,2104 3,2106 3,
3240001022504_150_00,3543742542,2104 3,3354 3,
3240001022504_150_00,3543742542,2104 3,3442 3,
3240001022504_150_00,3543742542,3442 3,3375 3,
3240001022504_150_00,3543742542,2105 3,2106 3,
3240001022504_150_00,3543742542,3353 3,3373 3,
3240001022504_150_00,3543742542,3440 4,3373 3,
3240001022504_150_00,3543742542,3438 3,2107 3,
3240001022504_150_00,3543742542,3438 3,3353 3,
3240001022504_150_00,3543742542,3438 3,3440 4,
3240001022504_150_00,314042254,2018 6,2100 0,
3240001022504_150_00,314042254,3370 4,3376 4,
3240001022504_150_00,314042254,3370 4,3359 4,
3240001022504_150_00,314042254,3370 4,3355 4,
3240001022504_150_00,314042254,3370 4,3368 4,
3240001022504_150_00,314042254,3370 4,3376 3,
3240001022504_150_00,314042254,3369 4,2100 0,
3240001022504_150_00,314042254,3369 4,2091 4,
3240001022504_150_00,314042254,3369 4,2090 4,
3240001022504_150_00,314042254,3369 4,3377 3,
3240001022504_150_00,314042254,2094 4,2018 6,
3240001022504_150_00,314042254,2094 4,3358 3,
3240001022504_150_00,314042254,2094 4,2090 4,
3240001022504_150_00,314042254,2094 4,3353 3,
3240001022504_150_00,314042254,3366 4,3357 4,
3240001022504_150_00,314042254,3366 4,3439 4,
3240001022504_150_00,314042254,3377 4,2018 6,
3240001022504_150_00,314042254,3377 4,3358 4,
3240001022504_150_00,314042254,3377 4,3359 4,
3240001022504_150_00,314042254,3377 4,3358 3,
3240001022504_150_00,314042254,3377 4,2090 4,
3240001022504_150_00,314042254,3377 4,3357 3,
3240001022504_150_00,314042254,3376 4,3439 4,
3240001022504_150_00,314042254,3376 4,2096 4,
3240001022504_150_00,314042254,3365 4,3353 3,
3240001022504_150_00,314042254,3359 4,2100 0,
3240001022504_150_00,314042254,3359 4,2090 4,
3240001022504_150_00,314042254,3443 4,2091 4,
3240001022504_150_00,314042254,3371 4,3357 4,
3240001022504_150_00,314042254,3371 4,2090 4,
3240001022504_150_00,314042254,3354 3,2100 0,
3240001022504_150_00,314042254,3367 4,2096 3,
3240001022504_150_00,314042254,3357 4,3354 3,
3240001022504_150_00,314042254,2097 4,3376 4,
3240001022504_150_00,314042254,2097 4,2017 8,
3240001022504_150_00,314042254,2097 4,3355 4,
3240001022504_150_00,314042254,2097 4,3364 4,
3240001022504_150_00,314042254,3360 4,2090 4,
3240001022504_150_00,314042254,3358 3,2018 6,
3240001022504_150_00,314042254,3358 3,3360 4,
3240001022504_150_00,314042254,3358 3,3353 3,
3240001022504_150_00,314042254,3364 4,2091 4,
3240001022504_150_00,314042254,3364 4,2090 4,
3240001022504_150_00,314042254,2096 4,3443 4,
3240001022504_150_00,314042254,2096 4,2017 8,
3240001022504_150_00,314042254,2096 4,3358 3,
3240001022504_150_00,314042254,3356 4,3439 4,
3240001022504_150_00,314042254,2017 7,2018 6,
3240001022504_150_00,314042254,2017 7,3358 4,
3240001022504_150_00,314042254,2017 7,3378 4,
3240001022504_150_00,314042254,2017 7,3358 3,
3240001022504_150_00,314042254,2017 7,3356 4,
3240001022504_150_00,314042254,3439 3,3369 4,
3240001022504_150_00,314042254,3439 3,2094 4,
3240001022504_150_00,314042254,3439 3,3377 4,
3240001022504_150_00,314042254,3439 3,3439 4,
3240001022504_150_00,314042254,3439 3,2091 4,
3240001022504_150_00,314042254,3439 3,3360 4,
3240001022504_150_00,314042254,3439 3,3353 3,
3240001022504_150_00,314042254,2018 5,3358 4,
3240001022504_150_00,314042254,2018 5,3359 3,
3240001022504_150_00,314042254,2018 5,2017 8,
3240001022504_150_00,314042254,2018 5,3378 4,
3240001022504_150_00,314042254,2018 5,3376 3,
3240001022504_150_00,314042254,2100 4,3358 4,
3240001022504_150_00,314042254,2100 4,3365 4,
3240001022504_150_00,314042254,2100 4,3359 3,
3240001022504_150_00,314042254,2090 4,2018 6,
3240001022504_150_00,314042254,3377 3,3354 3,
3240001022504_150_00,314042254,3353 3,3354 3,
3240001022504_150_00,314042254,3357 3,3360 4,
3240001022504_150_00,354392225,2818 1,2799 2,
3240001022504_150_00,354392225,2629 3,2791 3,
3240001022504_150_00,354392225,2817 2,2799 2,
3240001022504_150_00,354392225,2791 3,2792 1,
3240001022504_150_00,354392225,2795 1,2994 1,
3240001022504_150_00,354392225,2795 1,2797 1,
3240001022504_150_00,354392225,2795 1,2796 1,
3240001022504_150_00,354392225,2816 1,2819 2,
3240001022504_150_00,354392225,2818 2,2994 1,
3240001022504_150_00,3543742542,2103 4,3438 4,
3240001022504_150_00,3543742542,2107 4,3438 4,
3240001022504_150_00,3543742542,3440 3,3351 4,
3240001022504_150_00,3543742542,3351 4,2106 4,
3240001022504_150_00,3543742542,3442 4,3354 4,
3240001022504_150_00,3543742542,3442 4,2091 3,
3240001022504_150_00,3543742542,3354 4,3441 4,
3240001022504_150_00,3543742542,3373 4,2100 0,
3240001022504_150_00,3543742542,3373 4,2023 6,
3240001022504_150_00,3543742542,2108 4,2103 4,
3240001022504_150_00,3543742542,2090 3,2100 0,
3240001022504_150_00,3543742542,2090 3,2102 4,
3240001022504_150_00,3543742542,3353 4,2100 0,
3240001022504_150_00,3543742542,2104 4,2100 0,
3240001022504_150_00,3543742542,2023 6,2106 4,
3240001022504_150_00,3543742542,3440 4,2105 4,
3240001022504_150_00,314042254,3356 3,2096 4,
3240001022504_150_00,314042254,2018 6,2017 8,
3240001022504_150_00,314042254,3358 4,3376 4,
3240001022504_150_00,314042254,3358 4,3365 3,
3240001022504_150_00,314042254,3358 4,3377 3,
3240001022504_150_00,314042254,3355 3,3370 3,
3240001022504_150_00,314042254,3355 3,2096 4,
3240001022504_150_00,314042254,3376 4,2017 8,
3240001022504_150_00,314042254,3359 4,2094 3,
3240001022504_150_00,314042254,3359 3,3439 4,
3240001022504_150_00,314042254,3367 3,2018 6,
3240001022504_150_00,314042254,3367 3,3371 3,
3240001022504_150_00,314042254,3443 4,2097 3,
3240001022504_150_00,314042254,3443 4,3376 4,
3240001022504_150_00,314042254,3443 4,3367 3,
3240001022504_150_00,314042254,3378 4,3367 3,
3240001022504_150_00,314042254,3378 4,3365 3,
3240001022504_150_00,314042254,3357 4,2096 3,
3240001022504_150_00,314042254,3354 4,3353 4,
3240001022504_150_00,314042254,2096 3,3366 3,
3240001022504_150_00,314042254,2096 3,3377 3,
3240001022504_150_00,314042254,3371 3,2017 8,
3240001022504_150_00,314042254,3360 4,3378 4,
3240001022504_150_00,314042254,3360 4,3371 3,
3240001022504_150_00,314042254,3360 4,3364 3,
3240001022504_150_00,314042254,3360 4,2094 3,
