station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
60b3d631-e1ca-4052-8de2-66a2f61cd70f,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,1,40-2,三迫,向洋，海田
39a64bf4-2129-4163-8d20-0d4118ad7f7b,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,3,40-2,三迫,向洋，海田
66319221-a442-4b64-bc63-0d8028c1498e,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,4,40-2,三迫,向洋，海田
342b294e-a678-461e-b0b8-32c692e2567c,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,5,40-2,三迫,向洋，海田
f6f2ca0f-a2d8-4a7b-94e6-c1f1e333ba37,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,6,40-2,三迫,向洋，海田
12871a43-bed7-4ddb-a1af-2c9e76e8d087,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,7,40-2,三迫,向洋，海田
63a5e33c-d78b-411b-8fb1-b0c435d25192,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,8,40-2,三迫,向洋，海田
81be2fdc-c2a7-4cb8-a84a-90acd56b4e1a,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,9,40-2,三迫,向洋，海田
cc76ebfb-7398-428d-b3a2-55f4e7e8a7fc,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,10,40-2,三迫,向洋，海田
f8dcc042-2a31-4846-b743-191007d6c713,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,11,40-2,三迫,向洋，海田
559653cb-dd51-4dad-a786-ed740406707d,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,12,40-2,三迫,海田
509e101d-625c-40f8-8bc7-facf9c82881d,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,13,40-2,三迫,海田
e0c2e8a3-0c0e-4a8a-9d53-6f5fa5102347,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,14,40-2,三迫,海田
181c985d-eed6-4997-8320-d25c07b06fba,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,15,40-2,三迫,海田
df4531c3-063d-4b51-a9c6-364e0e146183,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,16,40-2,三迫,海田
3b88ca31-e1b2-4572-9fed-493dcbe2ff19,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,17,40-2,三迫,海田
002bf056-c524-410a-946e-513833d07af2,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,18,40-2,三迫,
