stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
10 3,,江熊,,34.4176719,132.738282,10 3,,0,,,,
10 4,,江熊,,34.4178399,132.7380327,10 4,,0,,,,
11 3,,市立中央図書館前,,34.4149584,132.7365498,11 3,,0,,,,
11 4,,市立中央図書館前,,34.4153685,132.736563,11 4,,0,,,,
12 3,,鏡山公園入口,,34.4079361,132.7287486,12 3,,0,,,,
12 4,,鏡山公園入口,,34.4085125,132.7309942,12 4,,0,,,,
13 3,,池ノ上学生宿舎前,,34.4062321,132.7231709,13 3,,0,,,,
13 4,,池ノ上学生宿舎前,,34.4066274,132.7237312,13 4,,0,,,,
14 2,,広大中央口,,34.405456802114565351136,132.713451721201053297632,14 2,,0,,,,2
15 1,,広大北口,,34.4056466,132.7112251,15 1,,0,,,,
16 1,,広大二神口,,34.4025285,132.7085017,16 1,,0,,,,
17 1,,二神山,,34.4003076,132.7086379,17 1,,0,,,,
18 1,,広大西口,,34.3989923,132.7090499,18 1,,0,,,,
19 1,,大学会館前,,34.397701,132.7135643,19 1,,0,,,,1
20 1,,ががら口,,34.3979408,132.7165595,20 1,,0,,,,
2000 0,,広島バスセンター,,34.396377,132.4566408,2000 0,,0,,,,
2000 1,,広島バスセンター,,34.3961847,132.4564025,2000 1,,0,0001,,,5
2000 3,,広島バスセンター,,34.3961857,132.4564035,2000 3,,0,0001,,,5
2001 1,,八丁堀,賀茂鶴オアシス前,34.3936489,132.4646456,2001 1,,0,,,,1
2001 2,,八丁堀,,34.3932299,132.4652376,2001 2,,0,,,,0
2001 3,,八丁堀,賀茂鶴オアシス前,34.3936494,132.4646474,2001 3,,0,,,,1
2001 8,,八丁堀,,34.393237106868133240192,132.465239564376650442896,2001 8,,0,,,,
2002 1,,広島駅,,34.395703700961221611826,132.4761718754554996731188,2002 1,,0,,,,16
2002 2,,広島駅,,34.395936992604740771778,132.4752719400449972646118,2002 2,,0,,,,17
2002 3,,広島駅,,34.397286813754892256962,132.473288709431625394619,2002 3,,0,,,,23
2002 8,,広島駅,,34.396020316126847151717,132.4751719443437722693970,2002 8,,0,,,,
2003 1,,荒神町,,34.3932929,132.4786743,2003 1,,0,,,,
2003 2,,荒神町,,34.3930931,132.4786134,2003 2,,0,,,,
2004 1,,西蟹屋,,34.3918333,132.4800441,2004 1,,0,,,,
2005 1,,マツダスタジアム前,,34.3902681,132.4845941,2005 1,,0,,,,
2006 1,,広島バス大州車庫前,,34.3889079,132.4886756,2006 1,,0,,,,
2006 2,,広島バス大州車庫前,,34.3889404,132.4881842,2006 2,,0,,,,
2007 1,,大州四丁目,,34.38755,132.4933164,2007 1,,0,,,,
2007 2,,大州四丁目,,34.387105,132.494533,2007 2,,0,,,,
2008 1,,新大州橋,,34.38505528,132.501237,2008 1,,0,,,,
2008 2,,新大州橋,,34.3848562,132.5011489,2008 2,,0,,,,
2009 1,,向洋駅前,,34.3768372,132.5045253,2009 1,,0,,,,
2009 2,,向洋駅前,,34.3781685,132.5040763,2009 2,,0,,,,
2010 1,,青崎一丁目,,34.374217,132.5065267,2010 1,,0,,,,
2010 2,,青崎一丁目,,34.3738129,132.5074652,2010 2,,0,,,,
2011 1,,青崎二丁目,,34.3738794,132.5091631,2011 1,,0,,,,
2011 2,,青崎二丁目,,34.3739633,132.5099041,2011 2,,0,,,,
2012 1,,東堀越,,34.3747204,132.5158963,2012 1,,0,,,,
2012 2,,東堀越,,34.3746856,132.5144692,2012 2,,0,,,,
2013 1,,入川,,34.3741024,132.5192023,2013 1,,0,,,,
2013 2,,入川,,34.3740768,132.5188899,2013 2,,0,,,,
2014 1,,船越町,,34.3723655,132.5248262,2014 1,,0,,,,
2014 2,,船越町,,34.3718929,132.5259283,2014 2,,0,,,,
2015 1,,海田,,34.3714429,132.5277692,2015 1,,0,,,,
2015 2,,海田,,34.3709917,132.5287723,2015 2,,0,,,,
2016 1,,海田市駅入口,,34.3702518,132.5300416,2016 1,,0,,,,
2016 2,,海田市駅入口,,34.3702593,132.5298554,2016 2,,0,,,,
2017 1,,海田大正町,,34.368444,132.5323553,2017 1,,0,,,,2
2017 2,,海田大正町,,34.3686372,132.5319343,2017 2,,0,,,,1
2017 3,,海田大正町,,34.3682084,132.5306823,2017 3,,0,,,,4
2017 4,,海田大正町,,34.3675587,132.5322449,2017 4,,0,,,,3
2017 5,,海田大正町,,34.3684436,132.5323578,2017 5,,0,,,,2
2017 6,,海田大正町,,34.3686367,132.5319356,2017 6,,0,,,,1
2017 7,,海田大正町,,34.368443,132.5323568,2017 7,,0,,,,
2017 8,,海田大正町,,34.3686364,132.5319357,2017 8,,0,,,,
2018 1,,海田小学校前,,34.3696828,132.5364907,2018 1,,0,,,,1
2018 2,,海田小学校前,,34.3695272,132.5365597,2018 2,,0,,,,2
2018 3,,海田小学校前,,34.3683584,132.5369252,2018 3,,0,,,,3
2018 4,,海田小学校前,,34.3685298,132.5366859,2018 4,,0,,,,4
2018 5,,海田小学校前,,34.3683583,132.5369253,2018 5,,0,,,,
2018 6,,海田小学校前,,34.3685305,132.5366868,2018 6,,0,,,,
2019 1,,日の浦橋,,34.3714748,132.5392918,2019 1,,0,,,,
2019 2,,日の浦橋,,34.3719513,132.5405382,2019 2,,0,,,,
2020 1,,日下橋,,34.3738778,132.5438289,2020 1,,0,,,,
2020 2,,日下橋,,34.3734124,132.5433075,2020 2,,0,,,,
2021 1,,御鷹野橋,,34.3745279,132.5451963,2021 1,,0,,,,
2021 2,,御鷹野橋,,34.3748692,132.5463113,2021 2,,0,,,,
2022 1,,畝橋,,34.376559,132.5494773,2022 1,,0,,,,
2022 2,,畝橋,,34.3766358,132.5499582,2022 2,,0,,,,
2023 0,,国信橋,,34.3797091,132.5538595,2023 0,,0,,,,
2023 1,,国信橋,,34.380154,132.5546082,2023 1,,0,,,,1
2023 2,,国信橋,,34.3792418,132.5533963,2023 2,,0,,,,
2023 3,,国信橋,,34.3797103,132.5538604,2023 3,,0,,,,
2023 5,,国信橋,,34.3792408,132.5533976,2023 5,,0,,,,
2023 6,,国信橋,,34.3797108,132.5538615,2023 6,,0,,,,
2024 1,,井手橋,,34.3825083,132.5583672,2024 1,,0,,,,
