stop_id,direction
10 3,広島大学方面
10 4,西条駅方面
11 3,広島大学方面
11 4,西条駅方面
12 3,広島大学方面
12 4,西条駅方面
13 3,広島大学方面
13 4,西条駅方面
14 2,西条駅方面
15 1,各方面
16 1,各方面
17 1,各方面
18 1,各方面
19 1,西条駅方面、広島方面
20 1,各方面
2000 0,降車ホーム側、広島駅ゆき
2000 1,5 40号向洋・海田、41号東雲・熊野方面
2000 3,5 40号向洋・海田、41号東雲・熊野方面
2001 1,29号温品、40号向洋、32号高陽、芸陽高速など
2001 2,広島バスセンターゆき
2001 3,29号温品、40号向洋、32号高陽、芸陽高速など
2001 8,
2002 1,2号府中方面、40号海田・中野・熊野方面
2002 2,(Bブロック)広島市内ゆき
2002 3,21号向洋大原方面、芸陽高速、市内ゆき
2002 8,
2003 1,向洋方面
2003 2,八丁堀方面
2004 1,向洋方面
2005 1,向洋方面
2006 1,向洋方面
2006 2,八丁堀方面
2007 1,向洋方面
2007 2,八丁堀方面
2008 1,向洋・熊野・中野方面
2008 2,八丁堀方面
2009 1,向洋方面
2009 2,八丁堀方面
2010 1,熊野・中野方面
2010 2,広島方面
2011 1,熊野・中野方面
2011 2,広島方面
2012 1,熊野・中野方面
2012 2,広島方面
2013 1,熊野・中野方面
2013 2,広島方面
2014 1,熊野・中野方面
2014 2,広島方面
2015 1,熊野・中野方面
2015 2,広島方面
2016 1,熊野・中野方面
2016 2,広島方面
2017 1,熊野・中野方面
2017 2,向洋方面
2017 3,2号線・中野方面
2017 4,2号線・広島方面
2017 5,熊野・中野方面
2017 6,向洋方面
2017 7,（海田コミュニティ循環南ルート）海田総合公園方面，三迫三丁目方面
2017 8,（海田コミュニティ循環南ルート）海田市駅方面
2018 1,瀬野方面，畑賀方面
2018 2,広島方面
2018 3,三迫・南幸町方面
2018 4,広島方面
2018 5,（海田コミュニティ循環南ルート）海田総合公園方面，三迫三丁目方面
2018 6,（海田コミュニティ循環南ルート）海田市駅方面
2019 1,瀬野方面，畑賀方面
2019 2,広島方面
2020 1,瀬野方面，畑賀方面
2020 2,広島方面
2021 1,瀬野方面，畑賀方面
2021 2,広島方面
2022 1,瀬野方面，畑賀方面
2022 2,広島方面
2023 0,
2023 1,瀬野方面
2023 2,広島方面
2023 3,畑賀方面
2023 5,海田コミュニティ循環北ルート右回り
2023 6,海田コミュニティ循環北ルート左回り
2024 1,瀬野方面
2024 2,広島方面
2025 1,瀬野方面
2025 2,広島方面
2026 2,広島方面
2027 1,瀬野方面
2027 2,広島方面
2028 1,瀬野方面
2028 2,広島方面
2029 1,西条方面，阿戸方面
2029 2,広島方面
2030 1,瀬野方面
2030 2,広島方面
2031 1,瀬野方面
2031 2,広島方面
2032 0,
2032 1,瀬野方面
2032 2,広島方面
2033 1,西条方面，阿戸方面
2033 2,広島方面
2034 1,西条方面，阿戸方面
2034 2,広島方面
2035 1,西条方面，阿戸方面
2035 2,広島方面
2036 0,
2036 1,西条方面，阿戸方面
2036 2,広島方面
2037 1,西条方面，阿戸方面
2037 2,広島方面
2038 1,西条方面，阿戸方面
2038 2,広島方面
2039 1,西条・阿戸方面
2039 2,広島方面
2040 1,西条方面
2040 2,広島方面
2040 3,阿戸方面
2041 1,西条方面
2041 2,広島方面
2042 1,西条方面
2042 2,広島方面
2043 1,西条方面
2043 2,広島方面
2044 1,西条方面
2044 2,広島方面
2045 1,西条方面
2045 2,広島方面
2046 1,八本松駅・西条駅方面
2046 2,広島方面
2047 1,八本松駅・西条駅方面
2047 2,広島方面
2047 3,志和方面
2048 1,八本松駅・西条駅方面
2048 2,広島方面，西志和方面
2048 3,八本松駅・西条駅方面
2048 4,東志和方面
2049 1,西条方面
2049 2,広島方面
2050 0,
2050 1,西条駅方面
2050 2,②広島大学・吉川方面
2050 3,広島方面，志和方面
2051 1,西条駅方面
2051 2,八本松駅方面
2052 1,西条駅方面
2052 2,八本松駅方面
2053 1,西条駅方面
2053 2,八本松駅方面
2054 1,西条駅方面
2054 2,八本松駅方面
2055 1,西条駅方面
2055 2,八本松駅方面
2055 3,シャープ方面，篠・豊栄方面
2055 4,西条駅方面，八本松駅方面
2056 1,西条駅方面
2056 2,八本松駅方面
2057 1,西条方面
2057 2,八本松方面
2058 1,西条方面
2058 2,八本松方面
2059 1,西条方面
2059 2,八本松方面
2059 3,西条方面（吉川線）
2059 4,吉川方面（吉川線）
2060 1,西条方面
2060 2,八本松・吉川方面
2060 4,八本松・吉川方面
2061 1,西条方面
2061 2,八本松・吉川方面
2061 4,八本松・吉川方面
2062 1,西条方面
2063 1,各方面
2063 2,西条駅方面
2064 1,③各方面
2065 0,
2065 2,
2065 3,③広島大学方面
2065 4,④東広島駅・竹原・安芸津方面、のんバス
2065 5,⑤八本松駅・広島方面，志和方面，吉川方面，西高屋駅・白市方面，豊栄方面
2065 6,④東広島駅・竹原・安芸津方面、のんバス
2065 8,広島空港方面
2070 1,31番のりば 南ゆき
2070 2,32番のりば 北ゆき
2071 1,南ゆき
2071 2,北ゆき
2072 1,南ゆき
2072 2,北ゆき
2073 1,東雲方面
2073 2,広島方面
2074 1,2番のりば 41号東雲方面
2074 2,3番のりば 7・41号市役所方面
2075 1,東雲方面
2075 2,市役所・横川駅方面
2076 1,仁保・熊野方面
2076 2,市役所方面
2077 1,1番のりば(国道) 仁保方面
2077 2,2番のりば(国道) 市役所方面
2078 1,仁保・熊野方面
2078 2,市役所方面
2079 1,仁保・熊野方面
2079 2,市役所方面
2080 1,仁保・熊野方面
2080 2,市役所方面
2081 1,1番のりば 4・7号向洋新町方面
2081 2,2番のりば 4・7号県庁方面
2082 1,向洋新町方面
2082 2,県庁方面
2083 1,瀬野方面
2083 2,広島方面
2084 1,瀬野方面
2084 2,広島方面
2085 1,南ゆき
2086 1,東雲方面
2086 2,市役所方面
2090 1,瀬野方面
2090 2,広島方面
2090 3,海田コミュニティ循環南ルート右回り，北ルート左回り
2090 4,海田コミュニティ循環南ルート左回り，北ルート右回り
2091 1,三迫方面
2091 2,広島方面
2091 3,海田コミュニティ循環南ルート右回り
2091 4,海田コミュニティ循環南ルート左回り
2092 1,三迫方面
2092 2,広島方面
2093 1,三迫方面
2093 2,広島方面
2094 1,三迫二丁目方面
2094 2,広島方面
2094 3,海田コミュニティ循環南ルート右回り
2094 4,海田コミュニティ循環南ルート左回り
2095 1,三迫二丁目方面
2095 2,広島方面
2096 0,
2096 2,広島方面
2096 3,（海田コミュニティ循環南ルート）三迫三丁目方面
2096 4,（海田コミュニティ循環南ルート）海田市駅方面，海田総合公園方面
2097 1,南幸町方面
2097 2,広島方面
2097 3,海田コミュニティ循環南ルート右回り
2097 4,海田コミュニティ循環南ルート左回り
2098 0,
2098 2,広島方面
21 1,各方面
2100 0,
2100 1,畑賀方面，フジグラン安芸方面
2100 3,（海田コミュニティ循環北ルート）国信二丁目方面
2100 4,（海田コミュニティ循環南ルート）海田総合公園方面
2101 2,広島方面
2102 2,海田市駅方面
2102 3,海田コミュニティ循環北ルート右回り
2102 4,海田コミュニティ循環北ルート左回り
2103 2,海田市駅方面
2103 3,海田コミュニティ循環北ルート右回り
2103 4,海田コミュニティ循環北ルート左回り
2104 2,海田市駅方面
2104 3,海田コミュニティ循環北ルート右回り
2104 4,海田コミュニティ循環北ルート左回り
2105 2,海田市駅方面
2105 3,海田コミュニティ循環北ルート右回り
2105 4,海田コミュニティ循環北ルート左回り
2106 2,海田市駅方面
2106 3,海田コミュニティ循環北ルート右回り
2106 4,海田コミュニティ循環北ルート左回り
2107 2,海田市駅方面
2107 3,海田コミュニティ循環北ルート右回り
2107 4,海田コミュニティ循環北ルート左回り
2108 2,海田市駅方面
2108 3,海田コミュニティ循環北ルート右回り
2108 4,海田コミュニティ循環北ルート左回り
2109 1,畑賀方面（新道）
2109 2,海田市駅方面（新道）
2109 4,海田市駅方面（旧道）
2110 1,畑賀方面
2110 2,広島方面
2111 1,畑賀方面
2111 2,広島方面
2112 1,奥畑方面
2112 2,広島方面
2113 1,奥畑方面
2113 2,海田市駅方面
2114 1,奥畑方面
2114 2,海田市駅方面
2115 1,奥畑方面
2115 2,海田市駅方面
2116 0,
2116 2,広島方面
2120 1,みつぎ団地方面
2120 2,瀬野駅方面
2121 1,みつぎ団地方面
2121 2,瀬野駅方面
2122 1,みつぎ団地方面
2122 2,瀬野駅方面
2123 1,みつぎ団地方面
2123 2,瀬野駅方面
2124 1,みつぎ団地方面
2124 2,瀬野駅方面
2125 1,みつぎ団地方面
2125 2,瀬野駅方面
2126 1,みつぎ団地方面
2126 2,瀬野駅方面
2127 1,みつぎ団地方面
2127 2,瀬野駅方面
2128 1,みつぎ団地方面
2128 2,瀬野駅方面
2129 0,
2129 2,瀬野駅方面
2130 0,
2130 1,阿戸方面
2130 2,広島方面
2131 1,阿戸方面
2131 2,広島方面
2132 1,阿戸方面
2132 2,広島方面
2133 1,阿戸方面
2133 2,広島方面
2134 2,瀬野方面
2135 1,阿戸方面
2135 2,広島方面
2136 1,阿戸方面
2136 2,広島方面
2137 1,阿戸方面
2137 2,広島方面
2138 1,阿戸方面
2138 2,広島方面
2139 1,阿戸方面
2139 2,広島方面
2140 1,阿戸方面
2140 2,広島方面
2141 1,阿戸方面
2141 2,広島方面
2142 1,熊野方面
2142 2,瀬野方面
2143 1,熊野方面
2143 2,瀬野方面
2144 1,熊野方面
2144 2,瀬野方面
2145 1,熊野方面
2145 2,瀬野方面
2146 1,熊野方面
2146 2,瀬野方面
2147 1,熊野方面
2147 2,瀬野方面
2148 0,熊野方面
2148 2,瀬野方面
2150 1,志和循環　西→東
2150 2,志和循環　東→西
2151 1,志和循環　西→東
2151 2,志和循環　東→西
2152 1,志和循環　西→東
2152 2,志和循環　東→西
2153 1,志和循環　西→東
2153 2,志和循環　東→西
2154 1,志和循環　西→東
2154 2,志和循環　東→西
2155 1,志和循環　西→東
2155 2,志和循環　東→西
2156 1,志和循環　西→東
2156 2,志和循環　東→西
2157 1,志和循環　西→東
2157 2,志和循環　東→西
2158 1,志和循環　西→東
2158 2,志和循環　東→西
2159 1,志和循環　西→東
2159 2,志和循環　東→西
2160 1,志和循環　西→東
2160 2,志和循環　東→西
2161 1,志和循環　西→東
2161 2,志和循環　東→西
2162 1,志和循環　西→東
2162 2,志和循環　東→西
2163 1,志和循環　西→東
2163 2,志和循環　東→西
2164 1,志和循環　西→東
2164 2,志和循環　東→西
2165 1,志和循環　西→東
2165 2,志和循環　東→西
2166 1,志和循環　西→東
2166 2,志和循環　東→西
2167 1,志和循環　西→東
2167 2,志和循環　東→西
2168 1,志和循環　西→東
2168 2,志和循環　東→西
2169 1,志和循環　西→東
2169 2,志和循環　東→西
2170 1,志和循環　西→東
2170 2,志和循環　東→西
2171 1,志和循環　西→東
2171 2,志和循環　東→西
2172 1,志和循環　西→東
2172 2,志和循環　東→西
2173 1,志和循環　西→東
2173 2,志和循環　東→西
2174 1,志和循環　西→東
2174 2,志和循環　東→西
2175 1,志和循環　西→東
2175 2,志和循環　東→西
2176 1,志和循環　西→東
2176 2,志和循環　東→西
2177 1,志和循環　西→東
2177 2,志和循環　東→西
2178 1,志和循環　西→東
2178 2,志和循環　東→西
2179 1,志和循環　西→東
2179 2,志和循環　東→西
2180 1,志和循環　西→東
2180 2,志和循環　東→西
2181 1,志和循環　西→東
2181 2,志和循環　東→西
2182 1,志和循環　西→東
2182 2,志和循環　東→西
2183 1,志和循環　西→東
2183 2,志和循環　東→西
2184 1,志和循環　西→東
2184 2,志和循環　東→西
2185 1,志和循環　西→東
2185 2,志和循環　東→西
2186 1,志和循環　西→東
2186 2,志和循環　東→西
2187 1,志和循環　西→東
2187 2,志和循環　東→西
2188 1,志和循環　西→東
2188 2,志和循環　東→西
2189 1,志和循環　西→東
2189 2,志和循環　東→西
2190 1,志和循環　西→東
2190 2,志和循環　東→西
22 0,
22 1,各方面
2200 1,熊野方面
