station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
b92137a0-661c-411f-ab2f-608a92479a37,6001003@HiroshimaArea,,3,,広島大学方面,江熊@HiroshimaArea
acfc65ea-8474-40a9-bc8b-fc6926e22380,6001004@HiroshimaArea,,3,,西条駅方面,江熊@HiroshimaArea
83e2a073-5c98-4f36-89a2-90ae13a93470,6001103@HiroshimaArea,,3,,広島大学方面,市立中央図書館前@HiroshimaArea
20046a5d-0f95-4150-8599-7030848806d0,6001104@HiroshimaArea,,3,,西条駅方面,市立中央図書館前@HiroshimaArea
52d03194-8d6e-4051-942d-338067dba862,6001203@HiroshimaArea,,3,,広島大学方面,鏡山公園入口@HiroshimaArea
933838d4-2a0f-4cd0-b55d-68f8a89f9550,6001204@HiroshimaArea,,3,,西条駅方面,鏡山公園入口@HiroshimaArea
c684e063-6b17-46c9-89a9-dc1b929bd7b3,6001303@HiroshimaArea,,3,,広島大学方面,池ノ上学生宿舎前@HiroshimaArea
8f51409b-9fa6-47df-ba84-349a5902e3c1,6001304@HiroshimaArea,,3,,西条駅方面,池ノ上学生宿舎前@HiroshimaArea
0a0a8595-d12e-4786-b3ec-2c09a6b8fd12,6001402@HiroshimaArea,,3,2,西条駅方面,広大中央口@HiroshimaArea
16635931-5c4c-443c-8d8c-69ce58e05166,6001501@HiroshimaArea,,3,,各方面,広大北口@HiroshimaArea
4b3cf0d1-ac74-411e-908a-ecd1bce68df9,6001601@HiroshimaArea,,3,,各方面,広大二神口@HiroshimaArea
53126e19-4386-423f-bfd0-1161494f60d3,6001701@HiroshimaArea,,3,,各方面,二神山@HiroshimaArea
3ac68c76-329c-4536-ad96-16a6f1f69c6a,6001801@HiroshimaArea,,3,,各方面,広大西口@HiroshimaArea
3d44dec8-546b-4e28-90cb-e6104c2d78cb,6001901@HiroshimaArea,,3,1,西条駅方面、広島方面,大学会館前@HiroshimaArea
3bb5256e-eb2c-4fdc-96d1-f5e6772570b8,6002001@HiroshimaArea,,3,,各方面,ががら口@HiroshimaArea
2a1cdbb0-0e6e-45d2-ac6e-8a7f6c53354b,@HiroshimaArea,,1,,降車ホーム側、広島駅ゆき,広島バスセンター@HiroshimaArea
60b3d631-e1ca-4052-8de2-66a2f61cd70f,0001005@HiroshimaArea,,3,5,5 40号向洋・海田、41号東雲・熊野方面,広島バスセンター@HiroshimaArea
d1bff8b3-003e-432b-9fe7-cda8a947f7e3,0001005@HiroshimaArea,,3,5,5 40号向洋・海田、41号東雲・熊野方面,広島バスセンター@HiroshimaArea
39a64bf4-2129-4163-8d20-0d4118ad7f7b,5003001@HiroshimaArea,,3,1,29号温品、40号向洋、32号高陽、芸陽高速など,八丁堀@HiroshimaArea
01de347e-47ad-479f-9c74-1c961a2bf680,5003000@HiroshimaArea,,3,0,広島バスセンターゆき,八丁堀@HiroshimaArea
a1e50825-9ec4-47f4-8b90-02afe515d8ec,5003001@HiroshimaArea,,3,1,29号温品、40号向洋、32号高陽、芸陽高速など,八丁堀@HiroshimaArea
ebf44c0b-c63a-4aab-9994-01d8ec14ac16,6200108@HiroshimaArea,,1,,,八丁堀@HiroshimaArea
66319221-a442-4b64-bc63-0d8028c1498e,5006016@HiroshimaArea,,3,16,2号府中方面、40号海田・中野・熊野方面,広島駅@HiroshimaArea
45d5593c-fcf0-43c5-8f75-bf9a26b6a175,5006017@HiroshimaArea,,3,17,(Bブロック)広島市内ゆき,広島駅@HiroshimaArea
171099d5-4513-4dd1-a033-6c110dd68360,5006023@HiroshimaArea,,3,23,21号向洋大原方面、芸陽高速、市内ゆき,広島駅@HiroshimaArea
0c974e6c-fc0c-45ac-8242-57d02541bba5,6200208@HiroshimaArea,,1,,,広島駅@HiroshimaArea
342b294e-a678-461e-b0b8-32c692e2567c,0517002@HiroshimaArea,,3,,向洋方面,荒神町@HiroshimaArea
d7f073d5-f4a7-4f81-8dc2-0a96dcb81948,0517001@HiroshimaArea,,3,,八丁堀方面,荒神町@HiroshimaArea
f6f2ca0f-a2d8-4a7b-94e6-c1f1e333ba37,0518002@HiroshimaArea,,3,,向洋方面,西蟹屋@HiroshimaArea
12871a43-bed7-4ddb-a1af-2c9e76e8d087,2515002@HiroshimaArea,,3,,向洋方面,マツダスタジアム前@HiroshimaArea
63a5e33c-d78b-411b-8fb1-b0c435d25192,0519002@HiroshimaArea,,3,,向洋方面,広島バス大州車庫前@HiroshimaArea
01c51bc2-5a1e-44c3-8014-d6142de05c81,0519001@HiroshimaArea,,3,,八丁堀方面,広島バス大州車庫前@HiroshimaArea
81be2fdc-c2a7-4cb8-a84a-90acd56b4e1a,0520002@HiroshimaArea,,3,,向洋方面,大州四丁目@HiroshimaArea
8fb1b0cb-7ce7-4917-b9ab-2411e498af2b,0520001@HiroshimaArea,,3,,八丁堀方面,大州四丁目@HiroshimaArea
cc76ebfb-7398-428d-b3a2-55f4e7e8a7fc,0521002@HiroshimaArea,,3,,向洋・熊野・中野方面,新大州橋@HiroshimaArea
9b795758-2611-46f8-9cfe-976570d76f1d,0521001@HiroshimaArea,,3,,八丁堀方面,新大州橋@HiroshimaArea
f8dcc042-2a31-4846-b743-191007d6c713,0522002@HiroshimaArea,,3,,向洋方面,向洋駅前（マツダ本社前）@HiroshimaArea
9945c705-2e58-4f40-b1b0-527984328ddf,0522001@HiroshimaArea,,3,,八丁堀方面,向洋駅前（マツダ本社前）@HiroshimaArea
559653cb-dd51-4dad-a786-ed740406707d,0523002@HiroshimaArea,,3,,熊野・中野方面,青崎一丁目@HiroshimaArea
06a63210-c508-4089-8cad-fb57150637a1,0523001@HiroshimaArea,,3,,広島方面,青崎一丁目@HiroshimaArea
509e101d-625c-40f8-8bc7-facf9c82881d,0524002@HiroshimaArea,,3,,熊野・中野方面,青崎二丁目@HiroshimaArea
4a09f4de-7b53-4790-b16d-b3595e06c8d4,0524001@HiroshimaArea,,3,,広島方面,青崎二丁目@HiroshimaArea
