trans_id,lang,translation
芸陽バス,ja,芸陽バス
芸陽バス,ja-Hrkt,ゲイヨウバス
芸陽バス,en,"GeiyoBus Co.,Ltd."
江熊,ja,江熊
江熊,ja-Hrkt,えぐま
江熊,en,Eguma
江熊,ko,에구마
江熊,zh-cn,江熊
江熊,zh-tw,江熊
市立中央図書館前,ja,市立中央図書館前
市立中央図書館前,ja-Hrkt,ちゅうおうとしょかん
市立中央図書館前,en,Shiritsu Chuo Toshokan-mae (City Central Library)
市立中央図書館前,ko,시립 추오 도서관
市立中央図書館前,zh-cn,市立中央图书馆前
市立中央図書館前,zh-tw,市立中央圖書館前
中央図書館前,ja,中央図書館前
中央図書館前,ja-Hrkt,ちゅうおうとしょかん
中央図書館前,en,Shiritsu Chuo Toshokan-mae (City Central Library)
中央図書館前,ko,시립 추오 도서관
中央図書館前,zh-cn,市立中央图书馆前
中央図書館前,zh-tw,市立中央圖書館前
鏡山公園入口,ja,鏡山公園入口
鏡山公園入口,ja-Hrkt,かがみやまこうえんいりぐち
鏡山公園入口,en,Kagamiyama Koen-iriguchi (Kagamiyama Park)
鏡山公園入口,ko,가가미야마 공원
鏡山公園入口,zh-cn,镜山公园入口
鏡山公園入口,zh-tw,鏡山公園入口
池ノ上学生宿舎前,ja,池ノ上学生宿舎前
池ノ上学生宿舎前,ja-Hrkt,いけのうえがくせいしゅくしゃまえ
池ノ上学生宿舎前,en,Ikenoue Gakusei Shukusha-mae
池ノ上学生宿舎前,ko,이케노우에 가쿠세이 슈쿠샤 마에
池ノ上学生宿舎前,zh-cn,池之上学生宿舍前
池ノ上学生宿舎前,zh-tw,池之上學生宿舍前
広大中央口,ja,広大中央口
広大中央口,ja-Hrkt,ひろだいちゅうおうぐち
広大北口,ja,広大北口
広大北口,ja-Hrkt,ひろだいきたぐち
広大北口,en,Hirodai-kitaguchi (Hiroshima Univ. North Entrance)
広大北口,ko,히로다이 키타구치
広大北口,zh-cn,广大北口
広大北口,zh-tw,廣大北口
広大二神口,ja,広大二神口
広大二神口,ja-Hrkt,ひろだいふたがみぐち
広大二神口,en,Hirodai-futagami-guchi (Hiroshima Univ. Futagami-guchi)
広大二神口,ko,히로다이 후타가미 구치
広大二神口,zh-cn,广大二神口
広大二神口,zh-tw,廣大二神口
二神山,ja,二神山
二神山,ja-Hrkt,ふたがみやま
二神山,en,Futagamiyama
二神山,ko,후타가미야마
二神山,zh-cn,二神山
二神山,zh-tw,二神山
広大西口,ja,広大西口
広大西口,ja-Hrkt,ひろだいにしぐち
広大西口,en,Hirodai-nishiguchi (Hiroshima Univ. West Entrance)
広大西口,ko,히로다이 니시구치
広大西口,zh-cn,广大西口
広大西口,zh-tw,廣大西口
大学会館前,ja,大学会館前
大学会館前,ja-Hrkt,だいがくかいかんまえ
大学会館前,en,Daigaku Kaikan-mae
大学会館前,ko,다이가쿠 카이칸 마에
大学会館前,zh-cn,大学会馆前
大学会館前,zh-tw,大學會館前
ががら口,ja,ががら口
ががら口,ja-Hrkt,ががらぐち
ががら口,en,Gagara-guchi
ががら口,ko,가가라 구치
ががら口,zh-cn,GAGARA口
ががら口,zh-tw,GAGARA口
広島バスセンター,ja,広島バスセンター
広島バスセンター,ja-Hrkt,ひろしまばすせんたー
広島バスセンター,en,Hiroshima Bus Center
広島バスセンター,ko,히로시마 버스센터
広島バスセンター,zh-cn,广岛巴士中心
広島バスセンター,zh-tw,廣島公車中心
八丁堀,ja,八丁堀
八丁堀,ja-Hrkt,はっちょうぼり
八丁堀,en,Hatchobori
八丁堀,ko,핫초보리
八丁堀,zh-cn,八丁堀
八丁堀,zh-tw,八丁堀
広島駅,ja,広島駅
広島駅,ja-Hrkt,ひろしまえき
広島駅,en,Hiroshima Sta.
広島駅,ko,히로시마 역
広島駅,zh-cn,广岛站
広島駅,zh-tw,廣島站
荒神町,ja,荒神町
荒神町,ja-Hrkt,こうじんまち
荒神町,en,Kojinmachi
荒神町,ko,고진마치
荒神町,zh-cn,荒神町
荒神町,zh-tw,荒神町
西蟹屋,ja,西蟹屋
西蟹屋,ja-Hrkt,にしかにや
西蟹屋,en,Nishi-kaniya
西蟹屋,ko,니시카니야
西蟹屋,zh-cn,西蟹屋
西蟹屋,zh-tw,西蟹屋
マツダスタジアム前,ja,マツダスタジアム前
マツダスタジアム前,ja-Hrkt,まつだすたじあむまえ
マツダスタジアム前,en,MAZDA Zoom-Zoom STADIUM Hiroshima
マツダスタジアム前,ko,마쓰다 스타디움 마에
マツダスタジアム前,zh-cn,马自达体育场前
マツダスタジアム前,zh-tw,馬自達體育場前
広島バス大州車庫前,ja,広島バス大州車庫前
広島バス大州車庫前,ja-Hrkt,おおずしゃこまえ
広島バス大州車庫前,en,HIROSHIMA-BUS Ozu Shako-mae (Ozu Depot)
広島バス大州車庫前,ko,히로시마 버스 오즈 샤코 마에
広島バス大州車庫前,zh-cn,广岛巴士大州车库前
広島バス大州車庫前,zh-tw,廣島巴士大州車庫前
大州四丁目,ja,大州四丁目
大州四丁目,ja-Hrkt,おおずよんちょうめ
大州四丁目,en,Ozu-yonchome (Ozu 4)
大州四丁目,ko,오즈 4초메
大州四丁目,zh-cn,大州四丁目
大州四丁目,zh-tw,大州四丁目
新大州橋,ja,新大州橋
新大州橋,ja-Hrkt,しんおおずばし
新大州橋,en,Shin-ozu-bashi
新大州橋,ko,신오즈바시
新大州橋,zh-cn,新大州桥
新大州橋,zh-tw,新大州橋
向洋駅前,ja,向洋駅前
向洋駅前,ja-Hrkt,むかいなだえきまえ
向洋駅前,en,Mukainada Sta./Mazda Honsha-mae
向洋駅前,ko,무카이나다 역（마쓰다 본사）
向洋駅前,zh-cn,向洋站前（马自达总部前）
向洋駅前,zh-tw,向洋站前（馬自達總部前）
青崎一丁目,ja,青崎一丁目
青崎一丁目,ja-Hrkt,あおさきいっちょうめ
青崎一丁目,en,Aosaki-itchome (Aosaki 1)
青崎一丁目,ko,아오사키 1초메
青崎一丁目,zh-cn,青崎一丁目
青崎一丁目,zh-tw,青崎一丁目
青崎二丁目,ja,青崎二丁目
青崎二丁目,ja-Hrkt,あおさきにちょうめ
青崎二丁目,en,Aosaki-nichome (Aosaki 2)
青崎二丁目,ko,아오사키 2초메
青崎二丁目,zh-cn,青崎二丁目
青崎二丁目,zh-tw,青崎二丁目
東堀越,ja,東堀越
東堀越,ja-Hrkt,ひがしほりこし
東堀越,en,Higashi-horikoshi
東堀越,ko,히가시호리코시
東堀越,zh-cn,东堀越
東堀越,zh-tw,東堀越
入川,ja,入川
入川,ja-Hrkt,いりかわ
入川,en,Irikawa
入川,ko,이리카와
入川,zh-cn,入川
入川,zh-tw,入川
船越町,ja,船越町
船越町,ja-Hrkt,ふなこしちょう
船越町,en,Funakoshicho
船越町,ko,후나코시초
船越町,zh-cn,船越町
船越町,zh-tw,船越町
海田,ja,海田
海田,ja-Hrkt,かいた
海田,en,Kaita
海田,ko,가이타
海田,zh-cn,海田
海田,zh-tw,海田
海田市駅入口,ja,海田市駅入口
海田市駅入口,ja-Hrkt,かいたいちえきいりぐち
海田市駅入口,en,Kaitaichi Sta. Entrance
海田市駅入口,ko,가이타이치 역
海田市駅入口,zh-cn,海田市站入口
海田市駅入口,zh-tw,海田市站入口
海田大正町,ja,海田大正町
海田大正町,ja-Hrkt,かいたたいしょうまち
海田大正町,en,Kaita Taishomachi
海田大正町,ko,가이타 타이쇼마치
海田大正町,zh-cn,海田大正町
海田大正町,zh-tw,海田大正町
