trans_id,lang,translation,category,station_sid,course_sid
芸陽バス,ja,芸陽バス,agency_name,,
芸陽バス,ja-Hrkt,ゲイヨウバス,agency_name,,
芸陽バス,en,"GeiyoBus Co.,Ltd.",agency_name,,
江熊,ja,江熊,stop_name,b92137a0-661c-411f-ab2f-608a92479a37,
江熊,ja-Hrkt,えぐま,stop_name,b92137a0-661c-411f-ab2f-608a92479a37,
江熊,en,Eguma,stop_name,b92137a0-661c-411f-ab2f-608a92479a37,
江熊,ko,에구마,stop_name,b92137a0-661c-411f-ab2f-608a92479a37,
江熊,zh-cn,江熊,stop_name,b92137a0-661c-411f-ab2f-608a92479a37,
江熊,zh-tw,江熊,stop_name,b92137a0-661c-411f-ab2f-608a92479a37,
市立中央図書館前,ja,市立中央図書館前,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
市立中央図書館前,ja-Hrkt,ちゅうおうとしょかん,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
市立中央図書館前,en,Shiritsu Chuo Toshokan-mae (City Central Library),stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
市立中央図書館前,ko,시립 추오 도서관,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
市立中央図書館前,zh-cn,市立中央图书馆前,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
市立中央図書館前,zh-tw,市立中央圖書館前,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
中央図書館前,ja,中央図書館前,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
中央図書館前,ja-Hrkt,ちゅうおうとしょかん,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
中央図書館前,en,Shiritsu Chuo Toshokan-mae (City Central Library),stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
中央図書館前,ko,시립 추오 도서관,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
中央図書館前,zh-cn,市立中央图书馆前,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
中央図書館前,zh-tw,市立中央圖書館前,stop_name,83e2a073-5c98-4f36-89a2-90ae13a93470,
鏡山公園入口,ja,鏡山公園入口,stop_name,52d03194-8d6e-4051-942d-338067dba862,
鏡山公園入口,ja-Hrkt,かがみやまこうえんいりぐち,stop_name,52d03194-8d6e-4051-942d-338067dba862,
鏡山公園入口,en,Kagamiyama Koen-iriguchi (Kagamiyama Park),stop_name,52d03194-8d6e-4051-942d-338067dba862,
鏡山公園入口,ko,가가미야마 공원,stop_name,52d03194-8d6e-4051-942d-338067dba862,
鏡山公園入口,zh-cn,镜山公园入口,stop_name,52d03194-8d6e-4051-942d-338067dba862,
鏡山公園入口,zh-tw,鏡山公園入口,stop_name,52d03194-8d6e-4051-942d-338067dba862,
池ノ上学生宿舎前,ja,池ノ上学生宿舎前,stop_name,c684e063-6b17-46c9-89a9-dc1b929bd7b3,
池ノ上学生宿舎前,ja-Hrkt,いけのうえがくせいしゅくしゃまえ,stop_name,c684e063-6b17-46c9-89a9-dc1b929bd7b3,
池ノ上学生宿舎前,en,Ikenoue Gakusei Shukusha-mae,stop_name,c684e063-6b17-46c9-89a9-dc1b929bd7b3,
池ノ上学生宿舎前,ko,이케노우에 가쿠세이 슈쿠샤 마에,stop_name,c684e063-6b17-46c9-89a9-dc1b929bd7b3,
池ノ上学生宿舎前,zh-cn,池之上学生宿舍前,stop_name,c684e063-6b17-46c9-89a9-dc1b929bd7b3,
池ノ上学生宿舎前,zh-tw,池之上學生宿舍前,stop_name,c684e063-6b17-46c9-89a9-dc1b929bd7b3,
広大中央口,ja,広大中央口,stop_name,0a0a8595-d12e-4786-b3ec-2c09a6b8fd12,
広大中央口,ja-Hrkt,ひろだいちゅうおうぐち,stop_name,0a0a8595-d12e-4786-b3ec-2c09a6b8fd12,
