daiya_sid,bin_no,course_sid
62648e1c-c7d8-47a2-942c-358275822a4a,4,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
d9486b94-1b89-4ac9-8fa8-a1d468b5e285,2,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
a5f7f1fc-c2fd-4442-a75d-a2c77dc66bcf,1,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
7f926d3e-bc89-4c40-9260-afc2450b4865,3,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
90c59863-7d0b-4395-9aea-e0e6ac3ae162,2,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
eab3743b-d272-4c38-ba3b-e59344881f17,1,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
1b4dc219-969b-4e0e-9170-ebe9a73cb77f,1,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
7e5e32bb-e2c4-4749-a792-ef577948176f,1,b7a1250d-0a03-4e3f-b6d7-047053c5c3ca
3301a191-c836-4e2f-b365-5a3c509767ab,1,b7a1250d-0a03-4e3f-b6d7-047053c5c3ca
93cd4efb-39a8-4464-8332-230ada7f1e87,1,b7a1250d-0a03-4e3f-b6d7-047053c5c3ca
116875e8-bd41-4c4f-ac7c-0639b543f842,3,07d4d502-7cee-4490-a902-06d506f267d6
ed8cdb42-0d69-4263-8ef3-2bb84dd136e2,5,07d4d502-7cee-4490-a902-06d506f267d6
8897220d-9387-4bde-9cf3-3f7e744415e8,2,07d4d502-7cee-4490-a902-06d506f267d6
6fbc282f-1513-4cbd-b85d-521a06fe8a2a,3,07d4d502-7cee-4490-a902-06d506f267d6
305a3d03-5ddc-4170-bca1-60cce0faf9ef,4,07d4d502-7cee-4490-a902-06d506f267d6
1dc27ee6-f65b-4b7d-af88-73684dc78209,4,07d4d502-7cee-4490-a902-06d506f267d6
2cd3fae3-74dc-499d-a23e-773d89c02506,1,07d4d502-7cee-4490-a902-06d506f267d6
d8727fda-a577-4a3c-916b-92ea40b2b1ea,5,07d4d502-7cee-4490-a902-06d506f267d6
9159ea6b-e975-494c-b206-8209bcb5002b,4,07d4d502-7cee-4490-a902-06d506f267d6
2802739d-d54b-4e45-b604-ed04005f58c2,2,07d4d502-7cee-4490-a902-06d506f267d6
e50a5046-9b7f-4496-a51b-ad33daa611c9,1,07d4d502-7cee-4490-a902-06d506f267d6
18f53182-3c24-44a6-88e5-bb38672404da,3,07d4d502-7cee-4490-a902-06d506f267d6
6ecf5aed-e287-4a80-a792-cba9115f4e8b,2,07d4d502-7cee-4490-a902-06d506f267d6
f267f0a4-5c06-4ba3-ab8f-fc7dbe2e4ba8,1,07d4d502-7cee-4490-a902-06d506f267d6
