service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11_平日(共通),1,1,1,1,1,0,0,20260816,20270216
11_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
11_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
15_平日(共通),1,1,1,1,1,0,0,20260816,20270216
15_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
15_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
16_平日(共通),1,1,1,1,1,0,0,20260816,20270216
16_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
16_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
17_平日(共通),1,1,1,1,1,0,0,20260816,20270216
17_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
17_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
21_平日(共通),1,1,1,1,1,0,0,20260816,20270216
21_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
21_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
24_平日(共通),1,1,1,1,1,0,0,20260816,20270216
24_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
24_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
31_平日(共通),1,1,1,1,1,0,0,20260816,20270216
31_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
31_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
33_平日(共通),1,1,1,1,1,0,0,20260816,20270216
33_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
33_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
35_平日(共通),1,1,1,1,1,0,0,20260816,20270216
35_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
35_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
37_平日(共通),1,1,1,1,1,0,0,20260816,20270216
37_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
37_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
41_平日(共通),1,1,1,1,1,0,0,20260816,20270216
41_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
41_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
51_平日(共通),1,1,1,1,1,0,0,20260816,20270216
51_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
51_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
61_平日(共通),1,1,1,1,1,0,0,20260816,20270216
61_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
61_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
90_平日(共通),1,1,1,1,1,0,0,20260816,20270216
90_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
90_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
98_平日(共通),1,1,1,1,1,0,0,20260816,20270216
98_土曜(共通),0,0,0,0,0,1,0,20260816,20270216
98_日祝(共通),0,0,0,0,0,0,1,20260816,20270216
