fare_id,route_id,origin_id,destination_id,contains_id
9240001009470_150_00,1870599885,50860 27,50121 1,
9240001009470_150_00,4209506957,50123 1,50140 1,
9240001009470_150_00,4209506957,50123 1,52320 2,
9240001009470_150_00,4209506957,50123 1,50290 1,
9240001009470_150_00,4209506957,50123 1,50112 2,
9240001009470_150_00,4209506957,50123 1,50297 1,
9240001009470_150_00,4209506957,50123 1,50190 1,
9240001009470_150_00,4209506957,50235 1,50150 2,
9240001009470_150_00,4209506957,5210 1,50304 1,
9240001009470_150_00,4209506957,5210 1,50120 2,
9240001009470_150_00,4209506957,5210 1,50200 1,
9240001009470_150_00,4209506957,5210 1,50190 1,
9240001009470_150_00,4209506957,50113 2,50305 2,
9240001009470_150_00,4209506957,50113 2,50308 1,
9240001009470_150_00,4209506957,50304 1,50307 1,
9240001009470_150_00,4209506957,50292 1,50113 2,
9240001009470_150_00,4209506957,50292 1,50296 1,
9240001009470_150_00,4209506957,50292 1,52320 2,
9240001009470_150_00,4209506957,50305 1,50235 1,
9240001009470_150_00,4209506957,50305 1,50200 1,
9240001009470_150_00,4209506957,50293 1,50304 1,
9240001009470_150_00,4209506957,50293 1,50112 2,
9240001009470_150_00,4209506957,50293 1,50120 2,
9240001009470_150_00,4209506957,50150 3,50305 2,
9240001009470_150_00,4209506957,50150 3,5210 1,
9240001009470_150_00,4209506957,50150 3,52300 2,
9240001009470_150_00,4209506957,50150 3,50140 2,
9240001009470_150_00,4209506957,50150 3,50299 1,
9240001009470_150_00,4209506957,50296 1,50170 2,
9240001009470_150_00,4209506957,50232 1,50121 2,
9240001009470_150_00,4209506957,50232 1,50191 1,
9240001009470_150_00,4209506957,50232 1,50130 2,
9240001009470_150_00,4209506957,50140 1,50123 1,
9240001009470_150_00,4209506957,50140 1,50292 1,
9240001009470_150_00,4209506957,50140 1,50293 1,
9240001009470_150_00,4209506957,50140 1,50150 2,
9240001009470_150_00,4209506957,50140 1,50170 2,
9240001009470_150_00,4209506957,5220 1,50307 1,
9240001009470_150_00,4209506957,5220 1,50303 1,
9240001009470_150_00,4209506957,52320 2,50123 1,
9240001009470_150_00,4209506957,52320 2,50308 1,
9240001009470_150_00,4209506957,52320 2,50104 1,
9240001009470_150_00,4209506957,52320 2,50304 2,
9240001009470_150_00,4209506957,52320 2,50170 2,
9240001009470_150_00,4209506957,52320 2,50234 1,
9240001009470_150_00,4209506957,50104 1,50113 2,
9240001009470_150_00,4209506957,50104 1,50130 2,
9240001009470_150_00,4209506957,50295 1,50298 1,
9240001009470_150_00,4209506957,50295 1,50306 1,
9240001009470_150_00,4209506957,50295 1,5220 1,
