daiya_sid,bin_no,course_sid
6e13902a-1362-4781-b0d0-ae37a32505f8,9,190883ba-aed3-420d-8f74-01599493982f
2085e4ed-4acb-48c8-b09b-bd0739259e78,7,190883ba-aed3-420d-8f74-01599493982f
f797d158-cf5a-48c5-bfaf-c559f1a7486d,5,190883ba-aed3-420d-8f74-01599493982f
642703ea-57d6-4423-9038-e9269731f198,4,190883ba-aed3-420d-8f74-01599493982f
7f45d241-765d-40a7-9cf0-1d00524de3ae,3,190883ba-aed3-420d-8f74-01599493982f
48355d36-f0f6-41d4-b5e0-4ae9ef472828,6,190883ba-aed3-420d-8f74-01599493982f
ef752e79-b82b-40c4-a6db-5a4e5dd43ed0,2,190883ba-aed3-420d-8f74-01599493982f
4ef784d5-2e13-4d43-850d-6ae49106f0a4,8,190883ba-aed3-420d-8f74-01599493982f
52e58064-2aec-4ea0-9f67-7e99d556af10,1,190883ba-aed3-420d-8f74-01599493982f
86da5ff7-580b-4949-8eae-ea8958ea2df8,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
41cea20a-6835-4017-bd21-e0de7d4328ba,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
d6ff1931-c216-4a59-841a-e3dde9477c32,3,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
59c74064-e511-434f-9445-e48da8acf0a2,10,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
91ddeacc-b136-4c28-9891-f206c4f37d50,1,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
3b99ead2-a1f6-4205-864f-fcbc054accdb,11,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
93f8ec88-d21d-445f-93cd-c4ae7bc2cbec,9,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
84080bb6-8105-4d6a-82b9-bcc30d0f731d,5,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
6897ca55-127a-415f-b0d2-bebcb91de8bb,6,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
6522b675-37ac-452e-8d90-b10ec5bdf526,5,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
b2151165-e458-4bdc-a50b-dc8721cdc435,9,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
75ce5dcb-8b95-42d6-b37b-de6876bfc890,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
f40f1b6b-6f89-4f48-9ee3-d29a63f0cfb7,15,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
7c94f193-4a22-4309-8e01-7f11f3705cc3,9,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
3846f6c6-4c7c-466b-9240-7f4cdb14359c,1,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
965c8a74-083c-4d48-a9ec-87b2be71ca38,7,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
8929874f-13ab-4ef9-bbf7-888dbe3bb341,2,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
df5ad1d4-0c46-44db-b661-8a1ab3182620,5,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
be9540fb-25c2-40ae-8399-6c45765621ba,7,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
8b8bb631-d631-4aa4-b194-940451a0a9b6,1,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
