service_id,date,exception_type
13_平日(共通),20260811,2
13_日祝(共通),20260811,1
11_平日(共通),20260811,2
11_日祝(共通),20260811,1
12_平日(共通),20260811,2
12_日祝(共通),20260811,1
13_平日(共通),20260813,2
13_日祝(共通),20260813,1
11_平日(共通),20260813,2
11_日祝(共通),20260813,1
12_平日(共通),20260813,2
12_日祝(共通),20260813,1
13_平日(共通),20260814,2
13_日祝(共通),20260814,1
11_平日(共通),20260814,2
11_日祝(共通),20260814,1
12_平日(共通),20260814,2
12_日祝(共通),20260814,1
13_平日(共通),20260921,2
13_日祝(共通),20260921,1
11_平日(共通),20260921,2
11_日祝(共通),20260921,1
12_平日(共通),20260921,2
12_日祝(共通),20260921,1
13_平日(共通),20260922,2
13_日祝(共通),20260922,1
11_平日(共通),20260922,2
11_日祝(共通),20260922,1
12_平日(共通),20260922,2
12_日祝(共通),20260922,1
13_平日(共通),20260923,2
13_日祝(共通),20260923,1
11_平日(共通),20260923,2
11_日祝(共通),20260923,1
12_平日(共通),20260923,2
12_日祝(共通),20260923,1
13_平日(共通),20261012,2
13_日祝(共通),20261012,1
11_平日(共通),20261012,2
11_日祝(共通),20261012,1
12_平日(共通),20261012,2
12_日祝(共通),20261012,1
13_平日(共通),20261103,2
13_日祝(共通),20261103,1
11_平日(共通),20261103,2
11_日祝(共通),20261103,1
12_平日(共通),20261103,2
12_日祝(共通),20261103,1
13_平日(共通),20261123,2
13_日祝(共通),20261123,1
11_平日(共通),20261123,2
11_日祝(共通),20261123,1
12_平日(共通),20261123,2
12_日祝(共通),20261123,1
13_平日(共通),20261229,2
13_日祝(共通),20261229,1
11_平日(共通),20261229,2
11_日祝(共通),20261229,1
12_平日(共通),20261229,2
12_日祝(共通),20261229,1
13_平日(共通),20261230,2
13_日祝(共通),20261230,1
11_平日(共通),20261230,2
11_日祝(共通),20261230,1
12_平日(共通),20261230,2
12_日祝(共通),20261230,1
13_平日(共通),20261231,2
13_日祝(共通),20261231,1
11_平日(共通),20261231,2
11_日祝(共通),20261231,1
12_平日(共通),20261231,2
12_日祝(共通),20261231,1
