fare_id,route_id,origin_id,destination_id,contains_id
4240001009574_150_00,578423847,74991 0,51055 7,
4240001009574_150_00,578423847,51055 3,74991 1,
4240001009574_170_00,3594359697,55220 0,74230 0,
4240001009574_170_00,3594359697,55220 0,51403 0,
4240001009574_170_00,3594359697,55220 0,74250 0,
4240001009574_170_00,3594359697,74260 0,74240 0,
4240001009574_170_00,3594359697,51401 0,51404 0,
4240001009574_170_00,835754522,71290 1,71010 1,
4240001009574_170_00,835754522,71290 1,71080 1,
4240001009574_170_00,2355023358,70010 0,70020 0,
4240001009574_170_00,2355023358,70010 0,51401 0,
4240001009574_170_00,201880385,51940 1,73430 1,
4240001009574_170_00,201880385,73450 0,73430 0,
4240001009574_170_00,201880385,72470 0,72570 0,
4240001009574_170_00,201880385,72040 0,72560 0,
4240001009574_170_00,3594359697,73900 1,70020 1,
4240001009574_170_00,3594359697,55220 0,70010 0,
4240001009574_170_00,3594359697,70010 0,51401 0,
4240001009574_170_00,550332996,49014 1,49013 1,
4240001009574_170_00,550332996,71960 1,49014 1,
4240001009574_170_00,550332996,71960 1,71970 1,
4240001009574_170_00,3594359697,55220 0,70020 0,
4240001009574_170_00,3594359697,74240 0,51404 0,
4240001009574_170_00,3594359697,70020 0,51404 0,
4240001009574_170_00,3594359697,70010 0,74240 0,
4240001009574_170_00,3594359697,51401 0,74240 0,
4240001009574_170_00,3594359697,70570 0,74260 0,
4240001009574_170_00,2300128744,71710 1,70280 1,
4240001009574_170_00,2300128744,71240 1,71010 1,
4240001009574_170_00,2300128744,71740 1,71710 1,
4240001009574_170_00,2300128744,71040 1,71740 1,
4240001009574_170_00,2300128744,71270 1,71010 1,
4240001009574_170_00,2300128744,71230 1,71080 1,
4240001009574_170_00,2300128744,71080 1,51055 6,
4240001009574_170_00,835754522,71040 0,71240 0,
4240001009574_170_00,2300128744,71010 0,71230 0,
4240001009574_170_00,2300128744,71010 0,71280 0,
4240001009574_170_00,2300128744,70280 0,71040 0,
4240001009574_170_00,2300128744,70280 0,51055 1,
4240001009574_170_00,2300128744,71690 0,71430 0,
4240001009574_170_00,2300128744,71720 0,71430 0,
4240001009574_170_00,550332996,73270 0,70370 0,
4240001009574_170_00,550332996,70580 0,73270 0,
4240001009574_170_00,550332996,70580 0,70970 0,
4240001009574_170_00,550332996,71420 0,72400 0,
4240001009574_170_00,550332996,72390 0,72810 0,
4240001009574_170_00,550332996,49013 0,71960 0,
4240001009574_170_00,550332996,49015 0,71970 0,
4240001009574_170_00,550332996,49015 0,71960 0,
4240001009574_170_00,550332996,70740 0,72390 0,
4240001009574_170_00,550332996,70610 0,71420 0,
4240001009574_170_00,550332996,72720 0,70150 0,
4240001009574_170_00,550332996,70590 0,70580 0,
4240001009574_170_00,550332996,70150 0,74320 0,
4240001009574_170_00,550332996,72400 0,70970 0,
4240001009574_170_00,550332996,71540 0,71420 0,
4240001009574_170_00,550332996,70030 0,71590 0,
4240001009574_170_00,550332996,70580 0,71400 0,
4240001009574_170_00,550332996,71420 0,72500 0,
4240001009574_170_00,550332996,71560 0,70030 0,
4240001009574_170_00,550332996,70970 0,72500 0,
4240001009574_170_00,3594359697,74240 1,70560 1,
4240001009574_170_00,3594359697,74240 1,51404 1,
