stop_id,direction
14940 1,1 五月が丘・藤の木方面
14940 2,2 広島方面　大塚方
14950 1,免許センター方面
14950 2,広島方面
14960 1,広島方面
14960 2,西風新都方面
19370 1,1 五月が丘方面
19370 3,"3 横川駅前,広島バスセンター方面"
19950 2,美鈴・山田・ジアウトレット方面
19960 0,アルパーク方面
19970 0,アルパーク方面
19980 0,アルパーク方面
20320 1,広島方面
20320 2,五月が丘・ジアウトレット広島方面
20870 1,広島・ジアウトレット広島方面
20870 2,五日市方面
21250 1,五月が丘・ジ アウトレット広島方面
21250 2,五月が丘・ジアウトレット広島方面
21350 1,アルパーク方面
21350 2,鈴が峰住宅方面
21360 0,アルパーク方面
21370 1,広島・ジアウトレット広島方面
21370 2,五日市方面
22030 1,くすの木台方面
22030 2,広島方面
22030 3,広島方面
22540 0,広島方面
22540 1,己斐方面
22800 1,広島・ジ　アウトレット広島方面
22800 2,五日市方面
22810 2,五日市方面
24140 1,広島方面
24140 2,西風新都方面
24940 0,広島方面
24960 7,2号府中、4号仁保、23号大学病院、27号戸坂、広島駅
25120 1,広島方面
25120 2,五月が丘・ジアウトレット広島方面
25121 1,１　広島港方面
25121 2,2 アルパーク方面
25150 0,向洋方面
25150 1,八丁堀方面
4400 4,4 4 アルパーク方面
46012 0,深川台方面
46012 1,広島方面
46013 0,深川台・可部方面
46013 1,広島方面
46014 0,深川・可部方面
46014 1,広島方面
46037 0,広島方面
46044 0,踏切　27・29号広島駅方面
46044 1,広交車庫前　24・29号温品方面、32号高陽方面
46048 1,深川方面
46049 1,深川方面
46057 1,深川方面
46058 0,広島方面
46058 1,深川方面
46059 0,広島方面
46059 1,深川方面
47014 0,広島駅方面
47014 1,プリンスホテル方面
47014 2,プリンスホテル方面
47014 3,降り場
4850 3,3 田方方面
4850 4,4 五月が丘方面
4860 1,五日市駅方面
4860 2,広島方面
49013 0,井原方面
49013 1,広島方面
49014 0,井原方面
49014 1,広島方面
49015 0,井原方面
49015 1,広島方面
49016 0,井原方面
49016 1,広島方面
50020 0,70-74号横川・古市、11・14号己斐方面
50020 1,23号横川駅
50020 2,23号横川駅
50020 27,27 70-74広島駅方面
50020 3,23号大学病院、27号戸坂東浄方面
50020 4,3号観音、21号広島港、24号吉島
50020 5,広島駅ゆき、6号牛田早稲田方面、21号向洋方面
