trans_id,lang,translation
広島バス,ja,広島バス
広島バス,ja-Hrkt,ヒロシマバス
広島バス,en,"HIROSHIMA-BUS CO.,Ltd."
広域公園前駅,ja,広域公園前駅
広域公園前駅,ja-Hrkt,こういきこうえんまええき
中大塚,ja,中大塚
中大塚,ja-Hrkt,なかおおつか
大塚駅,ja,大塚駅
大塚駅,ja-Hrkt,おおづかえき
ジ アウトレット 広島,ja,ジ アウトレット 広島
ジ アウトレット 広島,ja-Hrkt,じあうとれっとひろしま
ジ アウトレット 広島,en,THE OUTLETS HIROSHIMA
ジ アウトレット 広島,ko,아울렛 히로시마
ジ アウトレット 広島,zh-cn,THE OUTLETS 广岛
ジ アウトレット 広島,zh-tw,THE OUTLETS 廣島
ジアウトレット広島,ja,ジアウトレット広島
ジアウトレット広島,ja-Hrkt,じあうとれっとひろしま
ジアウトレット広島,en,THE OUTLETS HIROSHIMA
ジアウトレット広島,ko,아울렛 히로시마
ジアウトレット広島,zh-cn,THE OUTLETS 广岛
ジアウトレット広島,zh-tw,THE OUTLETS 廣島
井口一丁目,ja,井口一丁目
井口一丁目,ja-Hrkt,いのくちいっちょうめ
鈴が峰第三歩道橋,ja,鈴が峰第三歩道橋
鈴が峰第三歩道橋,ja-Hrkt,すずがみねだいさんほどうきょう
鈴が峰第三歩道橋,en,Suzugamine Daisan Hodokyo
鈴が峰第三歩道橋,ko,스즈가미네 다이3 호도쿄
鈴が峰第三歩道橋,zh-cn,铃峰第三天桥
鈴が峰第三歩道橋,zh-tw,鈴峰第三天橋
鈴が峰第二歩道橋,ja,鈴が峰第二歩道橋
鈴が峰第二歩道橋,ja-Hrkt,すずがみねだいにほどうきょう
鈴が峰第二歩道橋,en,Suzugamine Daini Hodokyo
鈴が峰第二歩道橋,ko,스즈가미네 다이2 호도쿄
鈴が峰第二歩道橋,zh-cn,铃峰第二天桥
鈴が峰第二歩道橋,zh-tw,鈴峰第二天橋
草津梅が台,ja,草津梅が台
草津梅が台,ja-Hrkt,くさつうめがだい
草津梅が台,en,Kusatsu Byoin-iriguchi (Kusatsu Hospital Entrance)
草津梅が台,ko,구사쓰 병원
草津梅が台,zh-cn,草津医院入口
草津梅が台,zh-tw,草津醫院入口
山田入口,ja,山田入口
山田入口,ja-Hrkt,やまだいりぐち
山田入口,en,Yamada-iriguchi
山田入口,ko,야마다 이리구치
山田入口,zh-cn,山田入口
山田入口,zh-tw,山田入口
鈴が峰住宅中,ja,鈴が峰住宅中
鈴が峰住宅中,ja-Hrkt,すずがみねじゅうたくなか
田方が丘団地,ja,田方が丘団地
田方が丘団地,ja-Hrkt,たがたがおかだんち
新井口駅,ja,新井口駅
新井口駅,ja-Hrkt,しんいのくちえき
新井口駅,en,Shin-inokuchi Sta.
新井口駅,ko,신이노구치 역
新井口駅,zh-cn,新井口站
新井口駅,zh-tw,新井口站
鈴が峰小学校下,ja,鈴が峰小学校下
鈴が峰小学校下,ja-Hrkt,すずがみねしょうがっこうした
鈴が峰小学校下,en,Suzugamine Shogakko-shita (Suzugamine Elementary School)
鈴が峰小学校下,ko,스즈가미네 초등학교
鈴が峰小学校下,zh-cn,铃峰小学下
鈴が峰小学校下,zh-tw,鈴峰小學下
鈴が峰住宅東,ja,鈴が峰住宅東
鈴が峰住宅東,ja-Hrkt,すずがみねじゅうたくひがし
市立大学前,ja,市立大学前
市立大学前,ja-Hrkt,しりつだいがくまえ
西区役所前,ja,西区役所前
西区役所前,ja-Hrkt,にしくやくしょまえ
西区役所前,en,Nishi Kuyakusho-mae (Nishi Ward Office)
西区役所前,ko,니시 구청
西区役所前,zh-cn,西区政府前
西区役所前,zh-tw,西區政府前
鈴が峰住宅,ja,鈴が峰住宅
鈴が峰住宅,ja-Hrkt,すずがみねじゅうたく
鈴が峰住宅西,ja,鈴が峰住宅西
鈴が峰住宅西,ja-Hrkt,すずがみねじゅうたくにし
沼田料金所前,ja,沼田料金所前
沼田料金所前,ja-Hrkt,ぬまたりょうきんじょまえ
大宮,ja,大宮
大宮,ja-Hrkt,おおみや
大宮,en,Omiya
大宮,ko,오미야
大宮,zh-cn,大宫
大宮,zh-tw,大宮
立町,ja,立町
立町,ja-Hrkt,たてまち
田方東陽台前,ja,田方東陽台前
田方東陽台前,ja-Hrkt,たがたとうようだいまえ
田方東陽台前,en,Tagata Toyodai mae
田方東陽台前,ko,다가타 토요다이마에
田方東陽台前,zh-cn,田方东阳台前
田方東陽台前,zh-tw,田方東陽臺前
草津新町一丁目,ja,草津新町一丁目
草津新町一丁目,ja-Hrkt,くさつしんまちいっちょうめ
マツダスタジアム前,ja,マツダスタジアム前
マツダスタジアム前,ja-Hrkt,まつだすたじあむまえ
マツダスタジアム前,en,MAZDA Zoom-Zoom STADIUM Hiroshima
マツダスタジアム前,ko,마쓰다 스타디움 마에
マツダスタジアム前,zh-cn,马自达体育场前
マツダスタジアム前,zh-tw,馬自達體育場前
田方,ja,田方
田方,ja-Hrkt,たがた
高陽中学校前,ja,高陽中学校前
高陽中学校前,ja-Hrkt,こうようちゅうがっこうまえ
高陽中学校前,en,Koyo Chugakko-mae (Koyo Junior High School)
高陽中学校前,ko,고요 중학교
高陽中学校前,zh-cn,高阳中学前
高陽中学校前,zh-tw,高陽中學前
中深川,ja,中深川
中深川,ja-Hrkt,なかふかわ
中深川,en,Naka-fukawa
中深川,ko,나카후카와
中深川,zh-cn,中深川
中深川,zh-tw,中深川
諸木峠,ja,諸木峠
諸木峠,ja-Hrkt,もろきとうげ
諸木峠,en,Moroki-dao
諸木峠,ko,모로키다오
諸木峠,zh-cn,诸木峠
諸木峠,zh-tw,諸木峠
安田学園白島キャンパス,ja,安田学園白島キャンパス
安田学園白島キャンパス,ja-Hrkt,やすだがくえんはくしまきゃんぱす
安田学園白島キャンパス,en,Yasuda Gakuen Hakushima Campus
安田学園白島キャンパス,ko,야스다학원 하쿠시마 캠퍼스
安田学園白島キャンパス,zh-cn,安田学园 白岛校区
安田学園白島キャンパス,zh-tw,安田學園 白島校區
大須賀町,ja,大須賀町
大須賀町,ja-Hrkt,おおすがちょう
大須賀町,en,Osugacho
大須賀町,ko,오스가초
大須賀町,zh-cn,大须贺町
大須賀町,zh-tw,大須賀町
地区センター,ja,地区センター
地区センター,ja-Hrkt,ちくせんたー
地区センター,en,Chiku Center
地区センター,ko,지쿠 센터
地区センター,zh-cn,地区中心
地区センター,zh-tw,地區中心
郵便局前,ja,郵便局前
郵便局前,ja-Hrkt,ゆうびんきょくまえ
郵便局前,en,Yubinkyoku-mae (Post Office)
郵便局前,ko,우체국
郵便局前,zh-cn,邮局前
郵便局前,zh-tw,郵局前
寺迫公園,ja,寺迫公園
寺迫公園,ja-Hrkt,てらさここうえん
寺迫公園,en,Terasako Koen (Terasako Park)
寺迫公園,ko,데라사코 공원
寺迫公園,zh-cn,寺迫公园
寺迫公園,zh-tw,寺迫公園
柳ケ迫,ja,柳ケ迫
柳ケ迫,ja-Hrkt,やながさこ
柳ケ迫,en,Yanagasako
柳ケ迫,ko,야나가사코
柳ケ迫,zh-cn,柳迫
柳ケ迫,zh-tw,柳迫
北山橋,ja,北山橋
北山橋,ja-Hrkt,きたやまばし
北山橋,en,Kitayamabashi
北山橋,ko,기타야마바시
北山橋,zh-cn,北山桥
北山橋,zh-tw,北山橋
広島港桟橋,ja,広島港桟橋
広島港桟橋,ja-Hrkt,ひろしまこうさんばし
広島港桟橋,en,Hiroshima-ko Sambashi (Hiroshima Harbor Pier)
広島港桟橋,ko,히로시마항 부두
広島港桟橋,zh-cn,广岛港栈桥
広島港桟橋,zh-tw,廣島港棧橋
石内原田,ja,石内原田
