trans_id,lang,translation,category,station_sid,course_sid
広島バス,ja,広島バス,agency_name,,
広島バス,ja-Hrkt,ヒロシマバス,agency_name,,
広島バス,en,"HIROSHIMA-BUS CO.,Ltd.",agency_name,,
広域公園前駅,ja,広域公園前駅,stop_name,6b7b7777-2773-41cb-a7c8-bf4203e818f1,
広域公園前駅,ja-Hrkt,こういきこうえんまええき,stop_name,6b7b7777-2773-41cb-a7c8-bf4203e818f1,
中大塚,ja,中大塚,stop_name,9ded87f6-df56-42ae-82af-f00c171c7880,
中大塚,ja-Hrkt,なかおおつか,stop_name,9ded87f6-df56-42ae-82af-f00c171c7880,
大塚駅,ja,大塚駅,stop_name,7a618204-40e4-4113-b23d-145533b3c9c5,
大塚駅,ja-Hrkt,おおづかえき,stop_name,7a618204-40e4-4113-b23d-145533b3c9c5,
ジ アウトレット 広島,ja,ジ アウトレット 広島,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジ アウトレット 広島,ja-Hrkt,じあうとれっとひろしま,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジ アウトレット 広島,en,THE OUTLETS HIROSHIMA,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジ アウトレット 広島,ko,아울렛 히로시마,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジ アウトレット 広島,zh-cn,THE OUTLETS 广岛,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジ アウトレット 広島,zh-tw,THE OUTLETS 廣島,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジアウトレット広島,ja,ジアウトレット広島,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジアウトレット広島,ja-Hrkt,じあうとれっとひろしま,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジアウトレット広島,en,THE OUTLETS HIROSHIMA,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジアウトレット広島,ko,아울렛 히로시마,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジアウトレット広島,zh-cn,THE OUTLETS 广岛,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
ジアウトレット広島,zh-tw,THE OUTLETS 廣島,stop_name,34c519ed-b65f-4049-81ed-e423a23223bd,
井口一丁目,ja,井口一丁目,stop_name,bca489b0-4d26-4582-ae63-f2e4073fdd58,
井口一丁目,ja-Hrkt,いのくちいっちょうめ,stop_name,bca489b0-4d26-4582-ae63-f2e4073fdd58,
