service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20_平日(共通),1,1,1,1,1,0,0,20260801,20270201
20_土曜(共通),0,0,0,0,0,1,0,20260801,20270201
20_日祝(共通),0,0,0,0,0,0,1,20260801,20270201
30_平日(共通),1,1,1,1,1,0,0,20260801,20270201
30_土曜(共通),0,0,0,0,0,1,0,20260801,20270201
30_日祝(共通),0,0,0,0,0,0,1,20260801,20270201
40_平日(共通),1,1,1,1,1,0,0,20260801,20270201
40_土曜(共通),0,0,0,0,0,1,0,20260801,20270201
40_日祝(共通),0,0,0,0,0,0,1,20260801,20270201
60_平日(共通),1,1,1,1,1,0,0,20260801,20270201
60_土曜(共通),0,0,0,0,0,1,0,20260801,20270201
60_日祝(共通),0,0,0,0,0,0,1,20260801,20270201
90_平日(共通),1,1,1,1,1,0,0,20260801,20270201
90_土曜(共通),0,0,0,0,0,1,0,20260801,20270201
90_日祝(共通),0,0,0,0,0,0,1,20260801,20270201
