fare_id,route_id,origin_id,destination_id,contains_id
7240001009175_170_00,3248137869,9030 1,9034 1,
7240001009175_170_00,3248137869,9013 1,9014 1,
7240001009175_170_00,3248137869,9029 1,9032 1,
7240001009175_170_00,3248137869,9020 1,9022 1,
7240001009175_170_00,3248137869,9024 1,9026 1,
7240001009175_170_00,3248137869,9043 1,9044 1,
7240001009175_170_00,3248137869,9043 1,9047 1,
7240001009175_170_00,3248137869,9043 1,9045 1,
7240001009175_170_00,3248137869,9026 1,9028 1,
7240001009175_170_00,3248137869,9045 1,9047 1,
7240001009175_170_00,3248137869,9017 1,9021 1,
7240001009175_170_00,3248137869,9032 2,9030 2,
7240001009175_170_00,3248137869,9022 2,9019 2,
7240001009175_170_00,3248137869,9023 2,9020 2,
7240001009175_170_00,3248137869,9042 2,9041 2,
7240001009175_170_00,3248137869,9039 2,9038 2,
7240001009175_170_00,3248137869,9027 2,9023 2,
7240001009175_170_00,3248137869,9033 2,9030 2,
7240001009175_170_00,3248137869,9034 2,9032 2,
7240001009175_170_00,3248137869,9034 2,9033 2,
7240001009175_170_00,3248137869,9043 2,9040 2,
7240001009175_170_00,3248137869,9025 2,9022 2,
7240001009175_170_00,3248137869,9025 2,9023 2,
7240001009175_170_00,3248137869,9026 2,9022 2,
7240001009175_170_00,3248137869,9026 2,9023 2,
7240001009175_170_00,3248137869,9026 2,9019 2,
7240001009175_170_00,3248137869,9028 2,9027 2,
7240001009175_170_00,3248137869,9050 2,9027 2,
7240001009175_170_00,3248137869,9046 2,9043 2,
7240001009175_170_00,3248137869,9018 2,9017 2,
7240001009175_170_00,3248137869,9021 2,9020 2,
7240001009175_170_00,3248137869,9016 2,9014 2,
7240001009175_170_00,3248137869,9017 2,9016 2,
7240001009175_170_00,3248137869,9033 2,9032 2,
7240001009175_170_00,3248137869,9018 2,9014 2,
7240001009175_170_00,3248137869,9018 2,9013 2,
7240001009175_170_00,3248137869,9023 1,9049 1,
7240001009175_170_00,3248137869,9025 1,9049 1,
7240001009175_170_00,3248137869,9014 1,9018 1,
7240001009175_170_00,3248137869,9022 1,9024 1,
7240001009175_170_00,3248137869,9019 1,9025 1,
7240001009175_170_00,3248137869,9019 1,9022 1,
7240001009175_170_00,3248137869,9013 1,9018 1,
7240001009175_170_00,3248137869,9018 1,9020 1,
7240001009175_170_00,3248137869,9020 1,9024 1,
7240001009175_170_00,3248137869,9021 1,9025 1,
7240001009175_170_00,3248137869,9044 1,9047 1,
7240001009175_170_00,3248137869,9014 1,9017 1,
7240001009175_170_00,3248137869,9031 1,9032 1,
7240001009175_170_00,3248137869,9024 1,9025 1,
7240001009175_170_00,3248137869,9026 1,9049 1,
7240001009175_170_00,3248137869,9041 1,9043 1,
7240001009175_170_00,3248137869,9039 1,9040 1,
7240001009175_170_00,3248137869,9027 1,9030 1,
7240001009175_170_00,3248137869,9035 1,9037 1,
7240001009175_170_00,3248137869,9046 1,9048 0,
7240001009175_170_00,3248137869,9038 1,9041 1,
7240001009175_170_00,3248137869,9025 1,9027 1,
7240001009175_170_00,3248137869,9014 1,9016 1,
7240001009175_170_00,3248137869,9019 1,9021 1,
7240001009175_170_00,3248137869,9042 1,9044 1,
7240001009175_170_00,3248137869,9029 1,9033 1,
7240001009175_170_00,3248137869,9024 1,9027 1,
7240001009175_170_00,3248137869,9015 1,9018 1,
7240001009175_170_00,3248137869,9028 1,9031 1,
7240001009175_170_00,3248137869,9027 1,9028 1,
7240001009175_170_00,3248137869,9045 1,9046 1,
7240001009175_170_00,3248137869,9017 1,9020 1,
7240001009175_170_00,3248137869,9026 2,9025 2,
7240001009175_170_00,3248137869,9028 2,9025 2,
7240001009175_170_00,3248137869,9022 2,9020 2,
