route_id,route_update_date,origin_stop,via_stop,destination_stop,jp_parent_route_id
1637568899,,千代田インター,,可部駅前（構内）,可部千代田線（千代田インター－可部駅前（構内）・北部医療センター）
1663926106,,広島駅,,勝木台上,勝木線（広島駅－勝木台上・セ･新･虹）
3821336025,,深川台,,広島駅,深川線（深川台－広島駅・C･基･セ）
1797315958,,広島駅,,訓練場前,南原線（広島駅－訓練場前・セ･佐東）
1742253927,,広島駅,,瑞眺苑口,勝木線（広島駅－瑞眺苑口・セ･新）
2506637465,,毘沙門台駐車場,,高陽車庫,高陽・毘沙門台線（毘沙門台駐車場－高陽車庫・中緑井･高瀬）
3248137869,,北部医療センター安佐市民病院,,上井原,井原線（北部医療センター安佐市民病院－上井原・新建）
3461566996,,春日野,,イオンモール広島祇園,山本線（春日野－イオンモール広島祇園）
1915245434,,毘沙門台駐車場,,広島駅,毘沙門台線（毘沙門台駐車場－広島駅・ﾋﾞ天･高架下･セ）
3574235314,,毘沙門台駐車場,,広島バスセンター,毘沙門台線（毘沙門台駐車場－広島バスセンター・ﾋﾞ天･高架下）
3126776980,,中緑井（緑井駅）,,毘沙門台駐車場,毘沙門台線（中緑井（緑井駅）－毘沙門台駐車場・安佐中）
2760591082,,可部駅前（構内）,,安佐営業所,宇津可部線（可部駅前（構内）－安佐営業所・柳･今･毛）
1865073557,,広島駅,,南原,南原線（広島駅－南原・セ･新）
4193785175,,深川台,,広島バスセンター,深川線（深川台－広島バスセンター・地･基）
2464014423,,市川桧山,,桐陽台駐車場,桧山線（市川桧山－桐陽台駐車場）
3606006069,,広島駅,,七軒茶屋,七軒茶屋線（広島駅－七軒茶屋・八･新（深夜））
648102223,,広島駅,,深川台,深川線（広島駅－深川台・セ･基･地）
3639966203,,広島バスセンター,,毘沙門台駐車場,毘沙門台線（広島バスセンター－毘沙門台駐車場・新･中緑井）
3659670003,,可部駅前（構内）,,今吉田公民館,今吉田線（可部駅前（構内）－今吉田公民館・上市）
264533936,,桐原,,上原,桐原線（桐原－上原・北部医療センター）
3757219496,,広島駅,,春日野,山本線（広島駅－春日野・八・旧（深夜））
3917965690,,広島駅,,下浜が谷,大林線（広島駅－下浜が谷・セ･新）
752424157,,広島バスセンター,基町/中深川,大林車庫,大林深川線（広島バスセンター－大林車庫・基･Ｆ）
583094637,,広島駅,,祇園が丘,平原線（広島駅－祇園が丘・八･旧）
3695385859,,広島駅,,勝木台上,勝木線（広島駅－勝木台上・八・新・虹（深夜））
