station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
18762e52-4821-4482-9575-4d0ceb7f5dfb,45c7ea62-f083-438d-bc88-0015a27bb95f,,,1,71H,広島駅,本川・立町・八丁堀
fd992f54-309f-47ac-ae81-ad9e9c995fd4,45c7ea62-f083-438d-bc88-0015a27bb95f,,,2,71H,広島駅,本川・立町・八丁堀
59ca3425-e3e4-4e62-a9ef-f329c023d3f7,45c7ea62-f083-438d-bc88-0015a27bb95f,,,3,71H,広島駅,本川・立町・八丁堀
5ed486e3-001b-428a-8be2-245c83ab10d0,45c7ea62-f083-438d-bc88-0015a27bb95f,,,4,71H,広島駅,本川・立町・八丁堀
5801bc2c-3395-47e8-b718-f6f91117449b,45c7ea62-f083-438d-bc88-0015a27bb95f,,,5,71H,広島駅,本川・立町・八丁堀
562521be-5cb9-4cb3-98ac-d0bf1bc647c6,45c7ea62-f083-438d-bc88-0015a27bb95f,,,6,71H,広島駅,本川・立町・八丁堀
d295ca46-7fab-4a76-988e-3a67aff22d75,45c7ea62-f083-438d-bc88-0015a27bb95f,,,7,71H,広島駅,本川・立町・八丁堀
d3b9998e-5e95-4a9c-84e0-37807ed1bcb1,45c7ea62-f083-438d-bc88-0015a27bb95f,,,8,71H,広島駅,本川・立町・八丁堀
417547b8-1ab3-4f06-952e-26d59c29ae7d,45c7ea62-f083-438d-bc88-0015a27bb95f,,,9,71H,広島駅,本川・立町・八丁堀
c8e18dd0-4447-46d5-8d61-66832bed7978,45c7ea62-f083-438d-bc88-0015a27bb95f,,,10,71H,広島駅,本川・立町・八丁堀
c6580f60-289b-46e7-a4ff-90b6cbdd9d4c,45c7ea62-f083-438d-bc88-0015a27bb95f,,,11,71H,広島駅,本川・立町・八丁堀
59a2ebc7-9909-4914-a478-bf49439fae5a,45c7ea62-f083-438d-bc88-0015a27bb95f,,,12,71H,広島駅,本川・立町・八丁堀
2ca40d9a-a2f8-4c3a-a431-0fad56c910a6,45c7ea62-f083-438d-bc88-0015a27bb95f,,,13,71H,広島駅,本川・立町・八丁堀
52b4bf16-5692-4774-8868-8ed63726552e,45c7ea62-f083-438d-bc88-0015a27bb95f,,,14,71H,広島駅,本川・立町・八丁堀
079cd6e4-67ee-4800-878d-a79f67f47e1d,45c7ea62-f083-438d-bc88-0015a27bb95f,,,15,71H,広島駅,立町・八丁堀
7cbe9196-2bf6-4b99-9879-81eeadbcbc05,45c7ea62-f083-438d-bc88-0015a27bb95f,,,16,71H,広島駅,立町・八丁堀
62b50fb8-700f-4ceb-a50a-6ec8218f5031,45c7ea62-f083-438d-bc88-0015a27bb95f,,,17,71H,広島駅,八丁堀
91c756bf-de64-44fc-850e-f6cf30bccf8d,45c7ea62-f083-438d-bc88-0015a27bb95f,,,18,71H,広島駅,
faaba4d0-6a5d-4543-b975-e62de2443571,45c7ea62-f083-438d-bc88-0015a27bb95f,,,19,71H,広島駅,
e5c8bf97-36f9-4da9-8082-eb64046c0096,daa58cfb-5112-40f4-8866-003b8093cc4a,,,1,30K,広島バスセンター,地区センター・基町
6494c11e-c723-4348-871d-795220174586,daa58cfb-5112-40f4-8866-003b8093cc4a,,,2,30K,広島バスセンター,地区センター・基町
66f8ca49-cb61-4464-980a-a2e22638f696,daa58cfb-5112-40f4-8866-003b8093cc4a,,,3,30K,広島バスセンター,地区センター・基町
326464d4-c40b-4498-a9d7-de150d053513,daa58cfb-5112-40f4-8866-003b8093cc4a,,,4,30K,広島バスセンター,地区センター・基町
2b03f712-36ce-45a5-b739-b7a80d026ece,daa58cfb-5112-40f4-8866-003b8093cc4a,,,5,30K,広島バスセンター,地区センター・基町
91591ce9-1d3f-410f-b592-d4b689305b9a,daa58cfb-5112-40f4-8866-003b8093cc4a,,,6,30K,広島バスセンター,地区センター・基町
7d00cee7-67de-4a89-8ca6-42a81560ca63,daa58cfb-5112-40f4-8866-003b8093cc4a,,,7,30K,広島バスセンター,地区センター・基町
38114d58-55df-452e-9376-f6b2c3480438,daa58cfb-5112-40f4-8866-003b8093cc4a,,,8,30K,広島バスセンター,基町
8e81c5e1-ece1-4365-a55f-52ff640b7abd,daa58cfb-5112-40f4-8866-003b8093cc4a,,,9,30K,広島バスセンター,基町
463dba14-bbcb-4f30-b670-f486fe7ba086,daa58cfb-5112-40f4-8866-003b8093cc4a,,,10,30K,広島バスセンター,基町
88d7b21e-178f-4c30-ae05-fed886cd859c,daa58cfb-5112-40f4-8866-003b8093cc4a,,,11,30K,広島バスセンター,基町
832740b0-fe28-4e98-84cd-1b39d6b5b5bb,daa58cfb-5112-40f4-8866-003b8093cc4a,,,12,30K,広島バスセンター,基町
fc4fe345-98bc-4385-8448-ab9f6f6c4a97,daa58cfb-5112-40f4-8866-003b8093cc4a,,,13,30K,広島バスセンター,基町
ec7c0eb6-8183-4a11-963c-75b40a9ef157,daa58cfb-5112-40f4-8866-003b8093cc4a,,,14,30K,広島バスセンター,基町
8c218639-31f4-4974-bf2b-1aef1945761f,daa58cfb-5112-40f4-8866-003b8093cc4a,,,15,30K,広島バスセンター,基町
2c287241-2752-4cfa-811a-9f5b8e689acc,daa58cfb-5112-40f4-8866-003b8093cc4a,,,16,30K,広島バスセンター,基町
9e86578b-5ae3-4999-b7e8-76abe375d3dc,daa58cfb-5112-40f4-8866-003b8093cc4a,,,17,30K,広島バスセンター,基町
3fd7d134-f529-4b4a-9468-99ecd4c42be4,daa58cfb-5112-40f4-8866-003b8093cc4a,,,18,30K,広島バスセンター,基町
cc414c20-72c8-4ef3-8228-70451361fe61,daa58cfb-5112-40f4-8866-003b8093cc4a,,,19,30K,広島バスセンター,基町
45655071-120e-4766-b16c-9e827a6f31a3,daa58cfb-5112-40f4-8866-003b8093cc4a,,,20,30K,広島バスセンター,基町
