stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1001 1,,可部上市,,34.5203198,132.5119552,1001 1,,0,,,,
1001 2,,可部上市,,34.5207435,132.5119708,1001 2,,0,,,,
1001 3,,可部上市,,34.5203202,132.5119552,1001 3,,0,,,,
1001 4,,可部上市,,34.5207428,132.5119709,1001 4,,0,,,,
1001 5,,可部上市,,34.5203197,132.5119548,1001 5,,0,,,,
1001 6,,可部上市,,34.5207435,132.5119708,1001 6,,0,,,,
1001 7,,可部上市,,34.5206242981712,132.511996482163,1001 7,,0,,,,
1002 1,,可部中央,,34.5158548,132.5099985,1002 1,,0,,,,
1002 2,,可部中央,,34.5168952,132.5102487,1002 2,,0,,,,
1002 3,,可部中央,,34.5158564,132.5099988,1002 3,,0,,,,
1002 4,,可部中央,,34.5168957,132.510249,1002 4,,0,,,,
1002 5,,可部中央,,34.5158543,132.509998,1002 5,,0,,,,
1002 6,,可部中央,,34.5168945,132.5102502,1002 6,,0,,,,
1002 7,,可部中央,,34.516917,132.5102914,1002 7,,0,,,,
1002 8,,可部中央,,34.5164594,132.5093861,1002 8,,0,,,,
1002 9,,可部中央,,34.5165041,132.5094756,1002 9,,0,,,,
1003 1,,可部駅前,,34.5122565,132.5101773,1003 1,,0,,,,5
1003 2,,可部駅前,,34.5122277,132.5104989,1003 2,,0,,,,5
1003 3,,可部駅前,,34.5122575,132.5101775,1003 3,,0,,,,5
1004 1,,下の浜,,34.5089582,132.5116906,1004 1,,0,,,,
1004 2,,下の浜,,34.5095769,132.511076,1004 2,,0,,,,
1004 3,,下の浜,,34.5089543,132.5116905,1004 3,,0,,,,
1004 4,,下の浜,,34.5095731,132.5110759,1004 4,,0,,,,
1004 5,,下の浜,,34.5089572,132.5116892,1004 5,,0,,,,
1004 6,,下の浜,,34.5095721,132.5110751,1004 6,,0,,,,
1005 1,,広島文教大学入口,,34.5059009,132.5135661,1005 1,,0,,,,
1005 2,,広島文教大学入口,,34.5062286,132.5132278,1005 2,,0,,,,
1005 3,,広島文教大学入口,,34.5058986,132.5135669,1005 3,,0,,,,
1005 4,,広島文教大学入口,,34.5062276,132.5132264,1005 4,,0,,,,
1005 5,,広島文教大学入口,,34.5058963,132.513568,1005 5,,0,,,,
1005 6,,広島文教大学入口,,34.5062277,132.5132264,1005 6,,0,,,,
1006 1,,中島駅口,,34.5011866,132.5130357,1006 1,,0,,,,
1006 2,,中島駅口,,34.5014098,132.5129106,1006 2,,0,,,,
1006 4,,中島駅口,,34.5014066,132.5129091,1006 4,,0,,,,
1007 1,,太田川橋東,,34.4979807,132.512655,1007 1,,0,,,,
1007 2,,太田川橋東,,34.4991843,132.5123476,1007 2,,0,,,,
1007 4,,太田川橋東,,34.4991811,132.5123474,1007 4,,0,,,,
1008 1,,太田川橋,,34.4952122,132.5082323,1008 1,,0,,,,
1008 2,,太田川橋,,34.49504363,132.508048,1008 2,,0,,,,
1008 4,,太田川橋,,34.4950408,132.5080487,1008 4,,0,,,,
1009 1,,中八木,,34.4903235,132.5061525,1009 1,,0,,,,
1009 2,,中八木,,34.4906966,132.506215,1009 2,,0,,,,
1009 4,,中八木,,34.4906932,132.5062157,1009 4,,0,,,,
1010 1,,八木小学校前,,34.4871507,132.5044276,1010 1,,0,,,,
1010 2,,八木小学校前,,34.48745,132.5045575,1010 2,,0,,,,
1010 4,,八木小学校前,,34.4874471,132.5045575,1010 4,,0,,,,
1011 1,,八木峠,,34.484036,132.5000727,1011 1,,0,,,,
1011 2,,八木峠,,34.4842259,132.5002454,1011 2,,0,,,,
1011 4,,八木峠,,34.4842232,132.5002453,1011 4,,0,,,,
1012 1,,八木梅林,,34.4814672,132.4955818,1012 1,,0,,,,
1012 2,,八木梅林,,34.4810366,132.4946847,1012 2,,0,,,,
1012 4,,八木梅林,,34.4810356,132.4946853,1012 4,,0,,,,
1012 5,,八木梅林,,34.4814628,132.4955816,1012 5,,0,,,,
1012 6,,八木梅林,,34.4810368,132.4946852,1012 6,,0,,,,
1013 1,,梅林小学校前,,34.47899,132.491269,1013 1,,0,,,,
1013 2,,梅林小学校前,,34.4791794,132.4914548,1013 2,,0,,,,
1013 4,,梅林小学校前,,34.4791789,132.4914554,1013 4,,0,,,,
1013 5,,梅林小学校前,,34.4791775,132.4914575,1013 5,,0,,,,
1013 6,,梅林小学校前,,34.4791788,132.4914549,1013 6,,0,,,,
1014 1,,下八木,,34.4767919,132.4875053,1014 1,,0,,,,
1014 2,,下八木,,34.477248,132.4880569,1014 2,,0,,,,
1014 4,,下八木,,34.4772495,132.488057,1014 4,,0,,,,
1014 5,,下八木,,34.4767909,132.487506,1014 5,,0,,,,
1014 6,,下八木,,34.4772475,132.4880576,1014 6,,0,,,,
1015 1,,上緑井,,34.474572,132.4845974,1015 1,,0,,,,
