stop_id,direction
1001 1,広島方面
1001 2,北部方面
1001 3,広島方面
1001 4,北部方面
1001 5,広島方面
1001 6,北部方面
1001 7,可部循環（北部医療センター）方面
1002 1,広島方面
1002 2,北部方面
1002 3,広島方面
1002 4,北部方面
1002 5,広島方面
1002 6,北部方面
1002 7,可部循環（可部上市・北部医療センター）方面
1002 8,北部方面
1002 9,高陽・矢口駅前方面
1003 1,5番のりば(国道沿い) 広島方面
1003 2,5番のりば(国道沿い) 広島方面
1003 3,5番のりば(国道沿い) 広島方面
1004 1,広島方面
1004 2,可部方面
1004 3,広島方面
1004 4,可部方面
1004 5,広島方面
1004 6,可部方面
1005 1,広島方面
1005 2,可部方面
1005 3,広島方面
1005 4,可部方面
1005 5,広島方面
1005 6,可部方面
1006 1,広島方面
1006 2,可部方面
1006 4,可部方面
1007 1,広島方面
1007 2,可部方面
1007 4,可部方面
1008 1,広島方面
1008 2,可部方面
1008 4,可部方面
1009 1,広島方面
1009 2,可部方面
1009 4,可部方面
1010 1,広島方面
1010 2,可部方面
1010 4,可部方面
1011 1,広島方面
1011 2,可部方面
1011 4,可部方面
1012 1,広島方面
1012 2,可部方面
1012 4,可部方面
1012 5,広島方面
1012 6,可部方面
1013 1,広島方面
1013 2,可部方面
1013 4,可部方面
1013 5,広島方面
1013 6,可部方面
1014 1,広島方面
1014 2,可部方面
1014 4,可部方面
1014 5,広島方面
1014 6,可部方面
1015 1,広島方面
1015 2,可部方面
1015 4,可部方面
1015 5,広島方面
1015 6,可部方面
1016 0,
1016 1,広島方面
1016 2,可部方面
1016 4,可部方面
1016 5,広島方面
1016 6,可部方面
1017 0,
1017 1,広島方面
1017 2,可部方面
1017 4,可部方面
1017 6,可部方面
1017 8,高陽・北部医療センター方面
1018 1,広島方面
1018 2,可部方面
1018 4,可部方面
1018 6,可部方面
1019 1,広島方面
1019 2,可部方面
1019 4,可部方面
1019 6,可部方面
1020 1,広島方面
1020 2,可部方面
1020 4,可部方面
1020 6,可部方面
1021 1,広島方面
1021 2,可部方面
1021 4,可部方面
1021 6,可部方面
1022 1,広島方面
1022 2,可部方面
1022 3,広島方面
1022 4,可部方面
1022 6,可部方面
1023 1,広島方面
1023 2,可部方面
1023 3,広島方面
1023 4,可部方面
1023 6,可部方面
1024 1,広島方面
1024 2,可部方面
1024 3,広島方面
1024 4,可部方面
1024 6,可部方面
1025 1,広島方面
1025 2,可部方面
1025 3,広島方面
1025 4,可部方面
1025 6,可部方面
1026 1,広島方面
1026 2,可部方面
1026 3,広島方面
1026 4,可部方面
1026 6,可部方面
1027 1,広島方面
1027 2,可部方面
1027 3,広島方面
1027 4,可部方面
1027 6,可部方面
1028 1,広島方面
1028 2,可部方面
1028 3,広島方面
1028 4,可部方面
1028 6,可部方面
1029 1,広島駅方面
1029 2,可部方面
1029 3,広島駅方面
1029 4,可部方面
1029 6,可部方面
1030 1,広島駅方面
1030 2,可部方面
1030 3,広島駅方面
1030 4,可部方面
1030 6,可部方面
1031 1,広島駅方面
1031 2,可部方面
1031 3,広島駅方面
1031 4,可部方面
1031 6,可部方面
1032 1,9番のりば 22・70-74号広島駅・広島バスセンターゆき
1032 2,6番のりば 22・70-74号祇園・古市・可部方面
1032 3,9番のりば 22・70-74号広島駅・広島バスセンターゆき
1032 4,6番のりば 22・70-74号祇園・古市・可部方面
1032 6,6番のりば 22・70-74号祇園・古市・可部方面
1032 8,6番のりば 22・70-74号祇園・古市・可部方面
1033 1,22・70-74号 広島駅方面
1033 2,70-74号 横川・可部方面
1033 3,22・70-74号 広島駅方面
1033 4,70-74号 横川・可部方面
1033 6,70-74号 横川・可部方面
1034 0,降車ホーム側、広島駅ゆき
1034 1,降車ホーム側、広島駅ゆき
1034 2,7 73・74号古市・祗園・可部方面1
1034 4,8 70・72・74号古市・祗園・可部方面2
1034 6,9 高速バス：三次・庄原、 32号高陽方面：にぎつ経由
1034 8,11 30号高陽方面：基町経由
1035 1,広島駅方面
1035 2,広島バスセンター方面
1035 4,広島バスセンター方面
