trans_id,lang,translation
広島交通,ja,広島交通
広島交通,ja-Hrkt,ヒロシマコウツウ
広島交通,en,"hiroko group.co., Ltd."
可部上市,ja,可部上市
可部上市,ja-Hrkt,かべかみいち
可部上市,en,Kabe Kamiichi
可部上市,ko,가베 카미이치
可部上市,zh-cn,可部上市
可部上市,zh-tw,可部上市
可部中央,ja,可部中央
可部中央,ja-Hrkt,かべちゅうおう
可部中央,en,Kabe-chuo
可部中央,ko,가베 추오
可部中央,zh-cn,可部中央
可部中央,zh-tw,可部中央
可部駅前,ja,可部駅前
可部駅前,ja-Hrkt,かべえきまえ
可部駅前,en,Kabe Sta.
可部駅前,ko,가베 역
可部駅前,zh-cn,可部站前
可部駅前,zh-tw,可部站前
下の浜,ja,下の浜
下の浜,ja-Hrkt,したのはま
下の浜,en,Shimonohama
下の浜,ko,시모노하마
下の浜,zh-cn,下之滨
下の浜,zh-tw,下之濱
広島文教大学入口,ja,広島文教大学入口
広島文教大学入口,ja-Hrkt,ひろしまぶんきょうだいがくいりぐち
広島文教大学入口,en,Hiroshima Bunkyo Daigaku-iriguchi (Hiroshima Bunkyo Univ.)
広島文教大学入口,ko,히로시마문교대학 이리구치
広島文教大学入口,zh-cn,广岛文教大学入口
広島文教大学入口,zh-tw,廣島文教大學入口
中島駅口,ja,中島駅口
中島駅口,ja-Hrkt,なかしまえきぐち
中島駅口,en,Nakashima Sta.
中島駅口,ko,나카시마 역
中島駅口,zh-cn,中岛站口
中島駅口,zh-tw,中島站口
太田川橋東,ja,太田川橋東
太田川橋東,ja-Hrkt,おおたがわばしひがし
太田川橋東,en,Otagawabashi-higashi
太田川橋東,ko,오타가와바시 히가시
太田川橋東,zh-cn,太田川桥东
太田川橋東,zh-tw,太田川橋東
太田川橋,ja,太田川橋
太田川橋,ja-Hrkt,おおたがわばし
太田川橋,en,Otagawabashi
太田川橋,ko,오타가와바시
太田川橋,zh-cn,太田川桥
太田川橋,zh-tw,太田川橋
中八木,ja,中八木
中八木,ja-Hrkt,なかやぎ
中八木,en,Naka-yagi
中八木,ko,나카야기
中八木,zh-cn,中八木
中八木,zh-tw,中八木
八木小学校前,ja,八木小学校前
八木小学校前,ja-Hrkt,やぎしょうがっこうまえ
八木小学校前,en,Yagi Shogakko-mae (Yagi Elementary School)
八木小学校前,ko,야기 초등학교
八木小学校前,zh-cn,八木小学
八木小学校前,zh-tw,八木小學
八木峠,ja,八木峠
八木峠,ja-Hrkt,やぎだお
八木峠,en,Yagi-dao
八木峠,ko,야기다오
八木峠,zh-cn,八木峠
八木峠,zh-tw,八木峠
八木梅林,ja,八木梅林
八木梅林,ja-Hrkt,やぎばいりん
八木梅林,en,Yagi Bairin (Yagi Plum Grove)
八木梅林,ko,야기 매림
八木梅林,zh-cn,八木梅林
八木梅林,zh-tw,八木梅林
梅林小学校前,ja,梅林小学校前
梅林小学校前,ja-Hrkt,ばいりんしょうがっこうまえ
梅林小学校前,en,Bairin Shogakko-mae (Bairin Elementary School)
梅林小学校前,ko,바이린 초등학교
梅林小学校前,zh-cn,梅林小学前
梅林小学校前,zh-tw,梅林小學前
下八木,ja,下八木
下八木,ja-Hrkt,しもやぎ
下八木,en,Shimo-yagi
下八木,ko,시모야기
下八木,zh-cn,下八木
下八木,zh-tw,下八木
上緑井,ja,上緑井
上緑井,ja-Hrkt,かみみどりい
上緑井,en,Kami-midorii
上緑井,ko,가미미도리이
上緑井,zh-cn,上绿井
上緑井,zh-tw,上綠井
七軒茶屋,ja,七軒茶屋
七軒茶屋,ja-Hrkt,しちけんぢゃや
七軒茶屋,en,Shichikenjaya
七軒茶屋,ko,시치켄자야
七軒茶屋,zh-cn,七轩茶屋
七軒茶屋,zh-tw,七軒茶屋
中緑井,ja,中緑井
中緑井,ja-Hrkt,ナカミドリイ
中緑井,en,Naka-midorii
中緑井,ko,나카미도리이
中緑井,zh-cn,中绿井
中緑井,zh-tw,中綠井
広島インター入口,ja,広島インター入口
広島インター入口,ja-Hrkt,ひろしまいんたーいりぐち
広島インター入口,en,Hiroshima Inter-iriguchi
広島インター入口,ko,히로시마 인터 이리구치
広島インター入口,zh-cn,广岛IC入口
広島インター入口,zh-tw,廣島IC入口
下緑井,ja,下緑井
下緑井,ja-Hrkt,しもみどりい
下緑井,en,Shimo-midorii
下緑井,ko,시모미도리이
下緑井,zh-cn,下绿井
下緑井,zh-tw,下綠井
中須,ja,中須
中須,ja-Hrkt,なかす
中須,en,Nakasu
中須,ko,나카즈
中須,zh-cn,中须
中須,zh-tw,中須
古市小学校前,ja,古市小学校前
古市小学校前,ja-Hrkt,ふるいちしょうがっこ
古市小学校前,en,Furuichi Shogakko-mae (Furuichi Elementary School)
古市小学校前,ko,후루이치 초등학교
古市小学校前,zh-cn,古市小学前
古市小学校前,zh-tw,古市小學前
下古市,ja,下古市
下古市,ja-Hrkt,しもふるいち
下古市,en,Shimo-furuichi
下古市,ko,시모후루이치
下古市,zh-cn,下古市
下古市,zh-tw,下古市
安佐南警察署前,ja,安佐南警察署前
安佐南警察署前,ja-Hrkt,あさみなみけいさつしょまえ
安佐南警察署前,en,Asaminami Keisatsusho-mae (Asaminami Police Station)
安佐南警察署前,ko,아사미나미 경찰서
安佐南警察署前,zh-cn,安佐南警察署前
安佐南警察署前,zh-tw,安佐南警察署前
今津,ja,今津
今津,ja-Hrkt,いまづ
今津,en,Imazu
今津,ko,이마즈
今津,zh-cn,今津
今津,zh-tw,今津
祇園出張所前,ja,祇園出張所前
祇園出張所前,ja-Hrkt,ぎおんしゅっちょうしょまえ
祇園出張所前,en,Gion Shutchosho-mae
祇園出張所前,ko,기온 출장소
祇園出張所前,zh-cn,祇园办事处前
祇園出張所前,zh-tw,祇園辦事處前
ＮＨＫ放送所前,ja,ＮＨＫ放送所前
ＮＨＫ放送所前,ja-Hrkt,えぬえちけいほうそう
ＮＨＫ放送所前,en,NHK Hososho-mae (NHK Broadcasting Station)
ＮＨＫ放送所前,ko,NHK 방송소
ＮＨＫ放送所前,zh-cn,NHK广播站前
ＮＨＫ放送所前,zh-tw,NHK廣播站前
西原,ja,西原
西原,ja-Hrkt,にしはら
西原,en,Nishihara
西原,ko,니시하라
西原,zh-cn,西原
西原,zh-tw,西原
祇園大橋北,ja,祇園大橋北
祇園大橋北,ja-Hrkt,ぎおんおおはしきた
祇園大橋北,en,Gion-ohashi-kita
祇園大橋北,ko,기온 오하시 키타
祇園大橋北,zh-cn,祇园大桥北
祇園大橋北,zh-tw,祇園大橋北
大芝町,ja,大芝町
大芝町,ja-Hrkt,おおしばちょう
大芝町,en,Oshibacho
大芝町,ko,오시바초
大芝町,zh-cn,大芝町
大芝町,zh-tw,大芝町
三篠町三丁目,ja,三篠町三丁目
三篠町三丁目,ja-Hrkt,みささまちさんちょうめ
三篠町三丁目,en,Misasamachi-sanchome (Misasamachi 3)
三篠町三丁目,ko,미사사마치 3초메
三篠町三丁目,zh-cn,三筱町三丁目
三篠町三丁目,zh-tw,三筱町三丁目
三篠町一丁目,ja,三篠町一丁目
