fare_id,route_id,origin_id,destination_id,contains_id
5240001006620_160_00,2229846746,60039 2,60040 2,
5240001006620_160_00,2229846746,60037 2,60040 2,
5240001006620_160_00,2229846746,60038 2,60039 2,
5240001006620_160_00,2229846746,60059 1,60045 1,
5240001006620_160_00,2229846746,60030 2,60028 2,
5240001006620_160_00,2229846746,60038 2,60040 2,
5240001006620_160_00,2229846746,60028 1,60030 1,
5240001006620_160_00,2229846746,60057 2,60058 2,
5240001006620_160_00,2229846746,60028 1,60021 1,
5240001006620_160_00,2229846746,60058 2,60045 2,
5240001006620_160_00,2229846746,60056 1,60054 1,
5240001006620_160_00,2229846746,60030 1,60021 1,
5240001006620_160_00,2229846746,60040 1,60037 1,
5240001006620_160_00,2229846746,60040 1,60038 1,
5240001006620_160_00,2229846746,60040 1,60039 1,
5240001006620_160_00,2229846746,60037 2,60039 2,
5240001006620_160_00,2229846746,60045 1,60058 1,
5240001006620_160_00,2229846746,60038 1,60037 1,
5240001006620_160_00,2229846746,60021 2,60028 2,
5240001006620_160_00,2229846746,60045 2,60160 2,
5240001006620_160_00,2229846746,60052 2,60054 2,
5240001006620_160_00,2229846746,60053 2,60054 2,
5240001006620_160_00,2229846746,60053 2,60056 2,
5240001006620_160_00,2229846746,60054 2,60055 2,
5240001006620_160_00,2229846746,60059 2,60060 2,
5240001006620_160_00,2229846746,60055 2,60057 2,
5240001006620_160_00,2229846746,60160 1,60044 1,
5240001006620_160_00,2229846746,60056 1,60053 1,
5240001006620_160_00,2229846746,60060 1,60059 1,
5240001006620_160_00,2229846746,60054 1,60053 1,
5240001006620_160_00,2229846746,60058 1,60055 1,
5240001006620_160_00,2229846746,60040 1,60041 1,
5240001006620_160_00,2229846746,60039 1,60038 1,
5240001006620_160_00,2229846746,60052 2,60055 2,
5240001006620_160_00,2229846746,60055 2,60056 2,
5240001006620_160_00,2229846746,60057 1,60054 1,
5240001006620_160_00,2229846746,60053 1,60052 1,
5240001006620_160_00,2229846746,60021 2,60030 2,
5240001006620_160_00,2229846746,60059 1,60044 1,
5240001006620_160_00,2229846746,60055 1,60052 1,
5240001006620_160_00,2229846746,60045 2,60059 2,
5240001006620_160_00,2229846746,60044 2,60045 2,
5240001006620_160_00,2229846746,60054 2,60056 2,
5240001006620_160_00,2229846746,60055 1,60054 1,
5240001006620_160_00,2229846746,60055 1,60053 1,
5240001006620_160_00,2229846746,60160 1,60045 1,
5240001006620_160_00,2229846746,60036 4,60037 2,
5240001006620_160_00,2229846746,60037 2,60038 2,
5240001006620_160_00,2229846746,60059 1,60160 1,
5240001006620_160_00,2229846746,60056 1,60055 1,
5240001006620_160_00,2229846746,60058 1,60054 1,
5240001006620_160_00,2229846746,60041 1,60039 1,
5240001006620_160_00,2229846746,60054 2,60057 2,
5240001006620_160_00,2229846746,60054 2,60058 2,
5240001006620_160_00,2229846746,60057 1,60055 1,
5240001006620_160_00,2229846746,60058 1,60057 1,
5240001006620_160_00,2229846746,60041 1,60038 1,
5240001006620_160_00,2229846746,60039 1,60037 1,
5240001006620_160_00,2229846746,60052 2,60053 2,
5240001006620_160_00,2229846746,60045 1,60044 1,
5240001006620_160_00,2229846746,60056 1,60052 1,
5240001006620_160_00,2229846746,60037 1,60036 1,
5240001006620_160_00,2229846746,60053 2,60055 2,
5240001006620_160_00,2229846746,60058 2,60160 2,
5240001006620_160_00,2229846746,60056 2,60057 2,
5240001006620_160_00,2229846746,60056 2,60058 2,
5240001006620_160_00,2229846746,60058 2,60044 2,
5240001006620_160_00,2229846746,60057 1,60056 1,
5240001006620_160_00,2229846746,60044 1,60058 1,
5240001006620_160_00,2229846746,60055 2,60058 2,
5240001006620_160_00,2229846746,60160 2,60059 2,
5240001006620_160_00,2229846746,60052 2,60056 2,
5240001006620_160_00,2229846746,60160 1,60058 1,
5240001006620_160_00,2229846746,60041 1,60037 1,
5240001006620_160_00,2229846746,60058 1,60056 1,
5240001006620_160_00,2229846746,60044 2,60160 2,
5240001006620_160_00,2229846746,60044 2,60059 2,
5240001006620_160_00,2229846746,60054 1,60052 1,
5240001006620_170_00,2229846746,60036 4,60040 2,
5240001006620_170_00,2229846746,60012 2,60015 2,
5240001006620_170_00,2229846746,60012 2,60014 2,
5240001006620_170_00,2229846746,60157 2,60156 2,
5240001006620_170_00,2229846746,60006 2,60007 2,
5240001006620_170_00,2229846746,60006 2,60008 2,
5240001006620_170_00,2229846746,60003 2,60004 2,
5240001006620_170_00,2229846746,60021 2,60027 2,
5240001006620_170_00,2229846746,60030 2,60024 2,
5240001006620_170_00,2229846746,60001 2,60002 2,
5240001006620_170_00,2229846746,60009 2,60013 2,
5240001006620_170_00,2229846746,60020 2,60030 2,
5240001006620_170_00,2229846746,60010 2,60013 2,
5240001006620_170_00,2229846746,60019 2,60020 2,
5240001006620_170_00,2229846746,60030 2,60027 2,
5240001006620_170_00,2229846746,60033 2,60034 2,
5240001006620_170_00,2229846746,60035 2,60037 2,
5240001006620_170_00,2229846746,60008 2,60009 2,
5240001006620_170_00,2229846746,60026 2,60031 2,
5240001006620_170_00,2229846746,60033 1,60031 1,
5240001006620_170_00,2229846746,60156 2,60005 1,
5240001006620_170_00,2229846746,60025 1,60027 1,
5240001006620_170_00,2229846746,60038 1,60036 1,
5240001006620_170_00,2229846746,60027 1,60030 1,
5240001006620_170_00,2229846746,60008 1,60007 1,
5240001006620_170_00,2229846746,60031 1,60028 1,
5240001006620_170_00,2229846746,60012 1,60009 1,
5240001006620_170_00,2229846746,60039 1,60036 1,
5240001006620_170_00,2229846746,60003 1,60002 1,
5240001006620_170_00,2229846746,60004 1,60003 1,
5240001006620_170_00,2229846746,60025 2,60024 2,
5240001006620_170_00,2229846746,60021 2,60031 2,
5240001006620_170_00,2229846746,60033 2,60035 2,
5240001006620_170_00,2229846746,60026 3,60026 4,
5240001006620_170_00,2229846746,60026 3,60028 2,
5240001006620_170_00,2229846746,60159 1,60046 1,
5240001006620_170_00,2229846746,60024 2,60026 3,
5240001006620_170_00,2229846746,60051 1,60027 4,
5240001006620_170_00,2229846746,60046 1,60067 1,
5240001006620_170_00,2229846746,60046 1,60068 1,
5240001006620_170_00,2229846746,60050 1,60028 2,
5240001006620_170_00,2229846746,60048 1,60154 1,
5240001006620_170_00,3483629717,50129 1,50135 1,
5240001006620_170_00,3483629717,50129 1,50132 1,
5240001006620_170_00,3483629717,50131 1,50133 1,
5240001006620_170_00,2229846746,60025 2,60023 2,
5240001006620_170_00,2229846746,60018 2,60029 2,
5240001006620_170_00,2229846746,60099 2,60100 2,
5240001006620_170_00,2229846746,60027 2,60023 2,
5240001006620_170_00,2229846746,60014 2,60016 2,
5240001006620_170_00,2229846746,60021 2,60023 2,
5240001006620_170_00,2229846746,60020 2,60021 2,
5240001006620_170_00,2196404353,60031 2,60032 2,
5240001006620_170_00,2196404353,60028 2,60025 2,
5240001006620_170_00,2229846746,60012 2,60013 2,
5240001006620_170_00,2229846746,60002 2,60004 2,
5240001006620_170_00,2229846746,60009 2,60012 2,
5240001006620_170_00,2229846746,60004 2,60005 2,
5240001006620_170_00,2229846746,60097 2,60099 2,
5240001006620_170_00,2229846746,60098 2,60100 2,
5240001006620_170_00,2229846746,60026 2,60023 2,
5240001006620_170_00,2229846746,60028 2,60031 2,
5240001006620_170_00,2229846746,60028 2,60024 2,
5240001006620_170_00,2229846746,60001 2,60003 2,
5240001006620_170_00,2229846746,60036 2,60095 2,
5240001006620_170_00,2229846746,60020 2,60028 2,
5240001006620_170_00,2229846746,60095 2,60096 2,
5240001006620_170_00,2229846746,60010 2,60011 2,
5240001006620_170_00,2196404353,60026 1,60027 1,
5240001006620_170_00,2196404353,60100 1,60099 1,
5240001006620_170_00,2196404353,60100 1,60098 1,
5240001006620_170_00,2196404353,60027 1,60028 1,
5240001006620_170_00,2196404353,60036 1,60035 1,
5240001006620_170_00,2196404353,60024 1,60025 1,
5240001006620_170_00,1730496772,50131 2,50129 0,
5240001006620_170_00,1730496772,50133 2,50131 2,
5240001006620_170_00,1730496772,50133 2,50130 2,
5240001006620_170_00,1730496772,50135 2,50129 0,
5240001006620_170_00,1730496772,50130 2,50129 0,
5240001006620_170_00,1730496772,50132 2,50131 2,
5240001006620_170_00,3483629717,50130 1,50135 1,
5240001006620_170_00,3483629717,50130 1,50132 1,
5240001006620_170_00,3483629717,50129 1,50133 1,
5240001006620_170_00,3483629717,50129 1,50134 1,
5240001006620_170_00,3483629717,50133 2,50131 2,
5240001006620_170_00,3483629717,50133 2,50130 2,
5240001006620_170_00,3483629717,50130 2,50129 0,
5240001006620_170_00,3483629717,50132 2,50131 2,
5240001006620_170_00,2229846746,60033 1,60032 1,
5240001006620_170_00,2229846746,60015 1,60012 1,
5240001006620_170_00,2229846746,60013 1,60012 1,
5240001006620_170_00,2229846746,60020 1,60029 1,
5240001006620_170_00,2229846746,60017 1,60016 1,
5240001006620_170_00,2229846746,60018 1,60017 1,
5240001006620_170_00,2229846746,60036 4,60038 2,
5240001006620_170_00,2229846746,60027 2,60024 2,
5240001006620_170_00,2229846746,60016 2,60018 2,
5240001006620_170_00,2229846746,60015 2,60016 2,
5240001006620_170_00,2229846746,60015 2,60017 2,
5240001006620_170_00,2229846746,60021 2,60024 2,
5240001006620_170_00,2229846746,60030 2,60025 2,
5240001006620_170_00,2229846746,60033 2,60036 4,
5240001006620_170_00,2229846746,60017 2,60018 2,
5240001006620_170_00,2229846746,60027 2,60031 2,
5240001006620_170_00,2229846746,60014 2,60015 2,
5240001006620_170_00,2229846746,60014 2,60017 2,
5240001006620_170_00,2196404353,60096 1,60094 1,
5240001006620_170_00,2196404353,60031 1,60027 1,
5240001006620_170_00,2196404353,60031 1,60024 1,
5240001006620_170_00,2196404353,60024 1,60026 1,
5240001006620_170_00,2196404353,60112 1,60113 1,
5240001006620_170_00,2229846746,60025 1,60026 1,
5240001006620_170_00,2229846746,60016 1,60015 1,
5240001006620_170_00,2229846746,60036 1,60033 1,
5240001006620_170_00,2229846746,60036 1,60034 1,
5240001006620_170_00,2229846746,60035 1,60034 1,
5240001006620_170_00,2229846746,60031 1,60026 1,
5240001006620_170_00,2229846746,60031 1,60030 1,
5240001006620_170_00,2229846746,60031 1,60023 1,
5240001006620_170_00,2196404353,60097 2,60099 2,
5240001006620_170_00,2196404353,60031 2,60033 2,
5240001006620_170_00,2196404353,60024 2,60031 2,
5240001006620_170_00,2196404353,60026 2,60031 2,
5240001006620_170_00,2196404353,60028 2,60023 2,
5240001006620_170_00,2196404353,60036 2,60095 2,
5240001006620_170_00,2196404353,60033 2,60036 2,
5240001006620_170_00,2196404353,60094 2,60096 2,
5240001006620_170_00,2229846746,60009 1,60008 1,
5240001006620_170_00,2229846746,60013 1,60010 1,
5240001006620_170_00,2229846746,60019 1,60018 1,
5240001006620_170_00,2229846746,60010 1,60008 1,
5240001006620_170_00,2229846746,60026 4,60050 2,
5240001006620_170_00,2229846746,60026 4,60025 4,
5240001006620_170_00,2229846746,60026 3,60028 4,
5240001006620_170_00,2229846746,60026 3,60027 4,
5240001006620_170_00,2229846746,60050 2,60052 2,
5240001006620_170_00,2229846746,60027 3,60050 2,
5240001006620_170_00,2229846746,60025 4,60052 2,
5240001006620_170_00,2229846746,60026 1,60030 1,
5240001006620_170_00,2229846746,60099 1,60097 1,
5240001006620_170_00,2229846746,60155 1,60157 1,
5240001006620_170_00,2229846746,60019 1,60016 1,
5240001006620_170_00,2229846746,60031 1,60024 1,
5240001006620_170_00,2229846746,60030 1,60020 1,
5240001006620_170_00,2229846746,60023 1,60025 1,
5240001006620_170_00,2229846746,60026 4,60024 4,
5240001006620_170_00,2229846746,60084 2,60085 2,
5240001006620_170_00,2229846746,60079 2,60080 2,
5240001006620_170_00,2229846746,60051 2,60052 2,
5240001006620_170_00,2229846746,60089 2,60090 2,
5240001006620_170_00,2229846746,60048 2,60049 2,
5240001006620_170_00,2229846746,60068 2,60046 2,
5240001006620_170_00,2229846746,60028 4,60026 4,
5240001006620_170_00,2229846746,60028 4,60051 2,
5240001006620_170_00,2229846746,60069 1,60159 1,
5240001006620_170_00,2229846746,60075 1,60073 1,
5240001006620_170_00,2229846746,60051 1,60050 1,
5240001006620_170_00,2229846746,60049 1,60048 1,
5240001006620_170_00,2229846746,60052 1,60050 1,
5240001006620_170_00,2229846746,60026 1,60028 1,
5240001006620_170_00,2229846746,60032 1,60031 1,
5240001006620_170_00,2229846746,60005 1,60004 1,
5240001006620_170_00,2229846746,60027 1,60021 1,
5240001006620_170_00,2229846746,60034 1,60033 1,
5240001006620_170_00,2229846746,60031 1,60025 1,
5240001006620_170_00,2229846746,60023 1,60028 1,
5240001006620_170_00,2229846746,60010 1,60009 1,
5240001006620_170_00,2229846746,60004 1,60002 1,
5240001006620_170_00,2229846746,60019 2,60029 2,
5240001006620_170_00,2229846746,60009 2,60011 2,
5240001006620_170_00,2229846746,60139 2,60029 2,
5240001006620_170_00,2229846746,60007 2,60008 2,
5240001006620_170_00,2229846746,60013 2,60014 2,
5240001006620_170_00,2229846746,60003 2,60005 2,
5240001006620_170_00,2229846746,60026 2,60024 2,
5240001006620_170_00,2229846746,60009 2,60010 2,
5240001006620_170_00,2229846746,60034 2,60037 2,
5240001006620_170_00,2229846746,60010 2,60012 2,
5240001006620_170_00,2229846746,60034 2,60036 4,
5240001006620_170_00,2229846746,60028 2,60027 2,
5240001006620_170_00,2229846746,60139 2,60020 2,
5240001006620_170_00,2229846746,60026 1,60027 1,
5240001006620_170_00,2229846746,60016 1,60014 1,
5240001006620_170_00,2229846746,60024 1,60028 1,
5240001006620_170_00,2229846746,60023 1,60026 1,
5240001006620_170_00,2229846746,60031 2,60033 2,
