stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
40001 0,,西条駅,,34.4309131,132.74344,40001 0,,0,,,,
40001 1,,西条駅,,34.4306688,132.7436196,40001 1,,0,,,,7
40001 14,,西条駅,,34.4306205,132.743331,40001 14,,0,,,,4
40001 2,,西条駅,,34.4309115,132.7434365,40001 2,,0,,,,
40001 3,,西条駅,,34.4308846,132.7432744,40001 3,,0,,,,3
40001 4,,西条駅,,34.4306239,132.7433269,40001 4,,0,,,,4
40001 5,,西条駅,,34.4309336,132.7435893,40001 5,,0,,,,1
40001 7,,西条駅,,34.4305883,132.7431963,40001 7,,0,,,,1
40001 9,,西条駅,,34.4306133,132.7431648,40001 9,,0,,,,7
40002 0,,中央公園前,,34.4282682,132.743111,40002 0,,0,,,,2
40002 1,,中央公園前,,34.42798823,132.7424649,40002 1,,0,,,,1
40002 2,,中央公園前,,34.4282682,132.743113,40002 2,,0,,,,2
40002 3,,中央公園前,,34.4275045,132.7431163,40002 3,,0,,,,1
40002 4,,中央公園前,,34.4282678,132.7431137,40002 4,,0,,,,2
40002 5,,中央公園前,,34.42750496,132.7431149,40002 5,,0,,,,4
40002 7,,中央公園前,,34.4279549,132.7424649,40002 7,,0,,,,3
40002 8,,中央公園前,,34.4282677,132.7431117,40002 8,,0,,,,2
40002 9,,中央公園前,,34.4275053,132.7431151,40002 9,,0,,,,1
40003 0,,西条昭和町,,34.4256517,132.7421706,40003 0,,0,,,,
40003 1,,西条昭和町,,34.4251764,132.7422801,40003 1,,0,,,,
40003 13,,西条昭和町,,34.4251764,132.7422853,40003 13,,0,,,,
40003 14,,西条昭和町,,34.425652,132.7421699,40003 14,,0,,,,
40003 2,,西条昭和町,,34.4256522,132.7421706,40003 2,,0,,,,
40003 3,,西条昭和町,,34.4251775,132.7422825,40003 3,,0,,,,
40003 4,,西条昭和町,,34.4256518,132.7421705,40003 4,,0,,,,
40003 9,,西条昭和町,,34.4251773,132.7422845,40003 9,,0,,,,
40004 0,,石ヶ瀬橋,,34.4233384,132.7409321,40004 0,,0,,,,
40004 1,,石ヶ瀬橋,,34.42323872,132.7412153,40004 1,,0,,,,
40004 13,,石ヶ瀬橋,,34.4232387,132.7412153,40004 13,,0,,,,
40004 14,,石ヶ瀬橋,,34.4233395,132.7409308,40004 14,,0,,,,
40004 2,,石ヶ瀬橋,,34.4233387,132.7409319,40004 2,,0,,,,
40004 9,,石ヶ瀬橋,,34.4232391,132.7412155,40004 9,,0,,,,
40005 0,,西条小学校前,,34.42103892,132.7391322,40005 0,,0,,,,
40005 1,,西条小学校前,,34.42107225,132.7395488,40005 1,,0,,,,
40005 13,,西条小学校前,,34.4210723,132.7395488,40005 13,,0,,,,
40005 14,,西条小学校前,,34.4210457,132.7391304,40005 14,,0,,,,
40005 2,,西条小学校前,,34.42105558,132.7391322,40005 2,,0,,,,
40005 9,,西条小学校前,,34.4210718,132.7395485,40005 9,,0,,,,
40006 0,,江熊,,34.4178978,132.7380686,40006 0,,0,,,,
40006 1,,江熊,,34.4176725,132.7382671,40006 1,,0,,,,
40006 2,,江熊,,34.41788924,132.7380658,40006 2,,0,,,,
40006 9,,江熊,,34.4176731,132.738269,40006 9,,0,,,,
40007 0,,中央図書館前,,34.4153985,132.7365107,40007 0,,0,,,,
40007 1,,中央図書館前,,34.4149215,132.736483,40007 1,,0,,,,
40007 2,,中央図書館前,,34.41540614,132.736516,40007 2,,0,,,,
40007 9,,中央図書館前,,34.4149218,132.7364846,40007 9,,0,,,,
40008 1,,鏡山公園入口,,34.4079604,132.7287361,40008 1,,0,,,,
40008 2,,鏡山公園入口,,34.4084849,132.7309216,40008 2,,0,,,,
40009 1,,池ノ上学生宿舎前,,34.40629022,132.7232675,40009 1,,0,,,,
40009 2,,池ノ上学生宿舎前,,34.40629022,132.7232675,40009 2,,0,,,,
40010 1,,広大中央口,,34.4054406,132.7137177,40010 1,,0,,,,2
40010 5,,広大中央口,,34.40544014,132.7137184,40010 5,,0,,,,3
40010 7,,広大中央口,,34.40544014,132.7137184,40010 7,,0,,,,3
40011 1,,広大北口,,34.4056762,132.7110832,40011 1,,0,,,,
40011 5,,広大北口,,34.4056774,132.7110811,40011 5,,0,,,,
40011 7,,広大北口,,34.4056769,132.7110825,40011 7,,0,,,,
40012 1,,広大二神口,,34.4025237,132.7085023,40012 1,,0,,,,
40012 3,,広大二神口,,34.40257369,132.7084689,40012 3,,0,,,,
40012 5,,広大二神口,,34.40259036,132.7085023,40012 5,,0,,,,
40012 7,,広大二神口,,34.40255703,132.7085189,40012 7,,0,,,,
40013 1,,広大西口,,34.3991557,132.7089734,40013 1,,0,,,,
40013 2,,広大西口,,34.3990202,132.7088905,40013 2,,0,,,,
40013 3,,広大西口,,34.3991558,132.7089721,40013 3,,0,,,,
40013 5,,広大西口,,34.3991451,132.7089778,40013 5,,0,,,,
40013 7,,広大西口,,34.3991603,132.7089715,40013 7,,0,,,,
40014 1,,大学会館前,,34.39775763,132.7134687,40014 1,,0,,,,1
40014 5,,大学会館前,,34.39770764,132.7139354,40014 5,,0,,,,2
40014 7,,大学会館前,,34.39770764,132.7139187,40014 7,,0,,,,2
40015 1,,ががら口,,34.39804098,132.7164851,40015 1,,0,,,,
40015 5,,ががら口,,34.39804098,132.7164851,40015 5,,0,,,,
40015 7,,ががら口,,34.39805765,132.7164851,40015 7,,0,,,,
40016 1,,広大東口,,34.40067403,132.7164184,40016 1,,0,,,,
40016 5,,広大東口,,34.40065737,132.7164517,40016 5,,0,,,,
40016 7,,広大東口,,34.40067403,132.7164184,40016 7,,0,,,,
40017 0,,山中池,,34.40452363,132.7169681,40017 0,,0,,,,
40017 1,,山中池,,34.40450696,132.7169515,40017 1,,0,,,,
40017 5,,山中池,,34.4044903,132.7169348,40017 5,,0,,,,
40017 7,,山中池,,34.40450697,132.7169681,40017 7,,0,,,,
40018 1,,八本松駅,,34.44533545,132.6894352,40018 1,,0,,,,2
40018 2,,八本松駅,,34.44526878,132.6888519,40018 2,,0,,,,
40019 1,,上曽場,,34.4429869,132.6910368,40019 1,,0,,,,
40019 2,,上曽場,,34.4429446,132.6909939,40019 2,,0,,,,
40020 1,,中学校前,,34.44100264,132.6925518,40020 1,,0,,,,
40020 2,,中学校前,,34.4407201,132.6925662,40020 2,,0,,,,
40021 1,,日興団地入口,,34.4347356,132.6932871,40021 1,,0,,,,
40021 2,,日興団地入口,,34.4355899,132.6931703,40021 2,,0,,,,
40022 1,,記念橋,,34.43048709,132.6924523,40022 1,,0,,,,
40022 2,,記念橋,,34.4303871,132.6924023,40022 2,,0,,,,
40023 1,,宮西,,34.4253226,132.6940297,40023 1,,0,,,,
40023 2,,宮西,,34.4249542,132.6939733,40023 2,,0,,,,
40024 1,,宮の前,,34.4209958,132.6955611,40024 1,,0,,,,
40024 2,,宮の前,,34.4209494,132.6954887,40024 2,,0,,,,
40025 1,,農業技術センター前,,34.4197392,132.6974637,40025 1,,0,,,,
40025 2,,農業技術センター前,,34.41968833,132.6973691,40025 2,,0,,,,
40026 1,,下原,,34.4160692,132.6989189,40026 1,,0,,,,
40026 2,,下原,,34.4159215,132.6989377,40026 2,,0,,,,
40027 1,,千野丸,,34.4144179,132.7043366,40027 1,,0,,,,
40027 2,,千野丸,,34.4144869,132.7042018,40027 2,,0,,,,
40028 1,,西側,,34.40980619,132.7050689,40028 1,,0,,,,
40028 2,,西側,,34.40988951,132.7048856,40028 2,,0,,,,
40029 1,,下見大池,,34.405761,132.7066844,40029 1,,0,,,,
40029 2,,下見大池,,34.4057502,132.7065585,40029 2,,0,,,,
40029 4,,下見大池,,34.4068842,132.7064004,40029 4,,0,,,,
40029 5,,下見大池,,34.4069263,132.7065181,40029 5,,0,,,,
40030 1,,東広島駅,,34.38877607,132.7603986,40030 1,,0,,,,1
40030 2,,東広島駅,,34.38879274,132.7603653,40030 2,,0,,,,1
40030 3,,東広島駅,,34.3888094,132.7603653,40030 3,,0,,,,2
40031 1,,末釜,,34.3853527,132.7525979,40031 1,,0,,,,
40031 2,,末釜,,34.3853384,132.7522599,40031 2,,0,,,,
40031 3,,末釜,,34.3853551,132.752595,40031 3,,0,,,,
40031 4,,末釜,,34.3853428,132.7522492,40031 4,,0,,,,
40032 1,,千年池,,34.384182,132.7482508,40032 1,,0,,,,
40032 2,,千年池,,34.383995,132.747202,40032 2,,0,,,,
40032 3,,千年池,,34.3841842,132.7482555,40032 3,,0,,,,
40032 4,,千年池,,34.3839982,132.7472074,40032 4,,0,,,,
40033 1,,松原池,,34.38267641,132.7424337,40033 1,,0,,,,
40033 2,,松原池,,34.3827561,132.7422285,40033 2,,0,,,,
40033 3,,松原池,,34.38267641,132.7424337,40033 3,,0,,,,
40033 4,,松原池,,34.3827594,132.7422272,40033 4,,0,,,,
40034 1,,扇ノ池,,34.3826841,132.7373708,40034 1,,0,,,,
40034 2,,扇ノ池,,34.3826287,132.7370923,40034 2,,0,,,,
40034 3,,扇ノ池,,34.3826851,132.7373708,40034 3,,0,,,,
40034 4,,扇ノ池,,34.3826265,132.7370918,40034 4,,0,,,,
40035 1,,三升原,,34.3799165,132.7337813,40035 1,,0,,,,
40035 2,,三升原,,34.3807746,132.7338251,40035 2,,0,,,,
40035 4,,三升原,,34.38060983,132.7344178,40035 4,,0,,,,
40035 6,,三升原,,34.38062649,132.7344178,40035 6,,0,,,,
40036 3,,東広島運動公園,,34.38180964,132.7314013,40036 3,,0,,,,
40036 4,,東広島運動公園,,34.38174299,132.7315346,40036 4,,0,,,,
40037 1,,栄町,,34.42695499,132.7411984,40037 1,,0,,,,
40037 2,,栄町,,34.42723829,132.7412317,40037 2,,0,,,,
40037 7,,栄町,,34.42695499,132.7412151,40037 7,,0,,,,
40037 8,,栄町,,34.42725496,132.7411984,40037 8,,0,,,,
40038 1,,西条朝日町,,34.4261368,132.7433173,40038 1,,0,,,,
40038 2,,西条朝日町,,34.42600513,132.7434983,40038 2,,0,,,,
40039 1,,大坪通,,34.4252771,132.7463352,40039 1,,0,,,,
40039 2,,大坪通,,34.4250692,132.7467122,40039 2,,0,,,,
40040 1,,助実,,34.4200738,132.7455056,40040 1,,0,,,,
40040 2,,助実,,34.420038,132.7453574,40040 2,,0,,,,
40041 1,,和泉,,34.4166274,132.7432093,40041 1,,0,,,,
40041 2,,和泉,,34.4174178,132.7433617,40041 2,,0,,,,
40042 1,,卯之留,,34.4120549,132.7422706,40042 1,,0,,,,
40042 2,,卯之留,,34.4123629,132.7423193,40042 2,,0,,,,
40043 0,,御薗宇,,34.4052453,132.7396789,40043 0,,0,,,,
40043 1,,御薗宇,,34.4046182,132.7396333,40043 1,,0,,,,
40043 2,,御薗宇,,34.4052485,132.7396776,40043 2,,0,,,,
40043 9,,御薗宇,,34.4046156,132.739635,40043 9,,0,,,,
40044 1,,産総研前,,34.3980643,132.7356787,40044 1,,0,,,,
40045 1,,中国電力前,,34.3983001,132.733026,40045 1,,0,,,,
40046 1,,サイエンス北,,34.3999165,132.7338588,40046 1,,0,,,,
40047 1,,酒類総合研究所前,,34.3989751,132.7348994,40047 1,,0,,,,
40048 1,,水源地前,,34.3969449,132.7376692,40048 1,,0,,,,
40048 2,,水源地前,,34.3972259,132.7377216,40048 2,,0,,,,
40049 1,,西条農高前,,34.3948962,132.7361191,40049 1,,0,,,,
40049 2,,西条農高前,,34.39434171,132.735767,40049 2,,0,,,,
40050 1,,東子,,34.3899241,132.7369314,40050 1,,0,,,,
40050 2,,東子,,34.3913107,132.7366009,40050 2,,0,,,,
40051 1,,小滝原,,34.3857535,132.7369795,40051 1,,0,,,,
40051 2,,小滝原,,34.385784,132.7368654,40051 2,,0,,,,
40054 1,,早稲木地蔵前,,34.40152462,132.7554484,40054 1,,0,,,,
40054 2,,早稲木地蔵前,,34.40127465,132.7555817,40054 2,,0,,,,
40055 1,,下三永広島ガス前,,34.3978408,132.763883,40055 1,,0,,,,
40055 2,,下三永広島ガス前,,34.3975261,132.7640497,40055 2,,0,,,,
40056 1,,ゴルフ場入口,,34.3981635,132.7683012,40056 1,,0,,,,
40056 2,,ゴルフ場入口,,34.3980157,132.7683475,40056 2,,0,,,,
40057 1,,ゴルフ場下,,34.3923528,132.7688534,40057 1,,0,,,,
40057 2,,ゴルフ場下,,34.3924454,132.7688059,40057 2,,0,,,,
40058 1,,高岡,,34.3890574,132.7628335,40058 1,,0,,,,
40058 2,,高岡,,34.3891226,132.7626112,40058 2,,0,,,,
40060 1,,大沢,,34.3724652,132.7328524,40060 1,,0,,,,
40060 2,,大沢,,34.3724308,132.732687,40060 2,,0,,,,
40061 1,,板城,,34.3673026,132.7304573,40061 1,,0,,,,
40061 2,,板城,,34.3674637,132.7304297,40061 2,,0,,,,
40062 1,,馬木,,34.3617525,132.7264815,40062 1,,0,,,,
40062 2,,馬木,,34.361738,132.7262327,40062 2,,0,,,,
