stop_id,direction
40001 0,
40001 1,サイエンスパーク、賀茂医療センター、広、呉方面
40001 14,④東広島駅・竹原・安芸津方面、のんバス
40001 2,
40001 3,③広島大学方面
40001 4,④東広島駅・竹原・安芸津方面、のんバス
40001 5,東広島医療センター、広島国際大学（下見経由）方面
40001 7,東広島医療センター、広島国際大学（下見経由）方面
40001 9,サイエンスパーク、賀茂医療センター、広、呉方面
40002 0,②西条駅方面
40002 1,①広島大学方面、青ルート（内回り）
40002 2,②西条駅方面
40002 3,①広島大学方面、青ルート（内回り）
40002 4,②西条駅方面
40002 5,④のぞみ整形・東広島駅方面、近畿大学方面
40002 7,③各方面
40002 8,②西条駅方面
40002 9,①広島大学方面、青ルート（内回り）
40003 0,西条駅方面、赤ルート（外回り)
40003 1,広島大学方面、青ルート（内回り）
40003 13,広島大学方面、青ルート（内回り）
40003 14,西条駅方面、赤ルート（外回り)
40003 2,西条駅方面、赤ルート（外回り)
40003 3,広島大学方面、青ルート（内回り）
40003 4,西条駅方面、赤ルート（外回り)
40003 9,広島大学方面、青ルート（内回り）
40004 0,西条駅方面、赤ルート（外回り）
40004 1,広島大学方面、青ルート（内回り）
40004 13,広島大学方面、青ルート（内回り）
40004 14,西条駅方面、赤ルート（外回り）
40004 2,西条駅方面、赤ルート（外回り）
40004 9,広島大学方面、青ルート（内回り）
40005 0,西条駅方面、赤ルート（内回り）
40005 1,広島大学方面、青ルート（内回り）
40005 13,広島大学方面、青ルート（内回り）
40005 14,西条駅方面、赤ルート（内回り）
40005 2,西条駅方面、赤ルート（内回り）
40005 9,広島大学方面、青ルート（内回り）
40006 0,西条駅方面
40006 1,広島大学方面
40006 2,西条駅方面
40006 9,広島大学方面
40007 0,西条駅方面
40007 1,広島大学方面
40007 2,西条駅方面
40007 9,広島大学方面
40008 1,広島大学方面
40008 2,西条駅方面
40009 1,広島大学方面
40009 2,西条駅方面
40010 1,西条駅方面
40010 5,八本松駅・東広島駅方面
40010 7,八本松駅・東広島駅方面
40011 1,各方面
40011 5,各方面
40011 7,各方面
40012 1,各方面
40012 3,各方面
40012 5,各方面
40012 7,各方面
40013 1,各方面
40013 2,各方面
40013 3,各方面
40013 5,各方面
40013 7,各方面
40014 1,西条駅方面、広島方面
40014 5,八本松駅・東広島駅方面
40014 7,八本松駅・東広島駅方面
40015 1,各方面
40015 5,各方面
40015 7,各方面
40016 1,各方面
40016 5,各方面
40016 7,各方面
40017 0,各方面
40017 1,各方面
40017 5,各方面
40017 7,各方面
40018 1,②広島大学・吉川方面
40018 2,
40019 1,広島大学方面
40019 2,八本松駅方面
40020 1,広島大学方面
40020 2,八本松駅方面
40021 1,広島大学方面
40021 2,八本松駅方面
40022 1,広島大学方面
40022 2,八本松駅方面
40023 1,広島大学方面
40023 2,八本松駅方面
40024 1,広島大学方面
40024 2,八本松駅方面
40025 1,広島大学方面
40025 2,八本松駅方面
40026 1,広島大学方面
40026 2,八本松駅方面
40027 1,広島大学方面
40027 2,八本松駅方面
40028 1,広島大学方面
40028 2,八本松駅方面
40029 1,乃美尾方面、広島国際大学方面
40029 2,西条方面
40029 4,八本松駅方面
40029 5,広島大学方面
40030 1,①西条方面，竹原方面，安芸津方面
40030 2,①西条方面，竹原方面，安芸津方面
40030 3,②広島大学方面
40031 1,広島大学方面
40031 2,東広島駅方面
40031 3,広島大学方面
40031 4,東広島駅方面
40032 1,広島大学方面
40032 2,東広島駅方面
40032 3,広島大学方面
40032 4,東広島駅方面
40033 1,広島大学方面
40033 2,東広島駅方面
40033 3,広島大学方面
40033 4,東広島駅方面
40034 1,広島大学方面
40034 2,東広島駅方面
