station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
7dd6456e-3a63-48eb-a595-e64d91c11289,@HiroshimaArea,,1,,,西条駅@HiroshimaArea
e69d003a-8f4c-4463-a952-e2b6a69bfa4f,6206507@HiroshimaArea,,3,7,サイエンスパーク、賀茂医療センター、広、呉方面,西条駅@HiroshimaArea
b49b32dc-d71f-46ad-ac08-245ad5f54cbb,6206504@HiroshimaArea,,3,4,④東広島駅・竹原・安芸津方面、のんバス,西条駅@HiroshimaArea
25351f46-b6bf-4f67-90f9-96cc30f0f611,@HiroshimaArea,,1,,,西条駅@HiroshimaArea
9e9c5d4e-0711-4c0b-91eb-f7af33ff3b59,6206503@HiroshimaArea,,3,3,③広島大学方面,西条駅@HiroshimaArea
ac0636bd-a763-4034-9afd-8ef50148ce06,6206504@HiroshimaArea,,3,4,④東広島駅・竹原・安芸津方面、のんバス,西条駅@HiroshimaArea
a7927325-83d2-4302-8d89-a2df27f5bdab,6206501@HiroshimaArea,,3,1,東広島医療センター、広島国際大学（下見経由）方面,西条駅@HiroshimaArea
e32bbf96-d1c9-4d78-8b7c-1386c2ef8626,6206501@HiroshimaArea,,3,1,東広島医療センター、広島国際大学（下見経由）方面,西条駅@HiroshimaArea
402f1c9a-e9c2-474c-b3a6-3bc05406b375,6206507@HiroshimaArea,,3,7,サイエンスパーク、賀茂医療センター、広、呉方面,西条駅@HiroshimaArea
6ad4df53-92bb-48ac-87a3-31140db3d295,6000704@HiroshimaArea,,3,2,②西条駅方面,中央公園前@HiroshimaArea
4bd9c662-89aa-4daa-a2fb-4a634eb25c22,6000703@HiroshimaArea,,3,1,①広島大学方面、青ルート（内回り）,中央公園前@HiroshimaArea
ff13d8f1-d458-4827-93e7-9f0849493673,6000704@HiroshimaArea,,3,2,②西条駅方面,中央公園前@HiroshimaArea
01894270-f459-460f-a27e-8a66a2cc3410,6000703@HiroshimaArea,,3,1,①広島大学方面、青ルート（内回り）,中央公園前@HiroshimaArea
842298b5-5c30-4e94-af90-d4025dad2788,6000704@HiroshimaArea,,3,2,②西条駅方面,中央公園前@HiroshimaArea
