trans_id,lang,translation
ＪＲバス中国,ja,ＪＲバス中国
ＪＲバス中国,ja-Hrkt,ジェイアールバスチュウゴク
ＪＲバス中国,en,Chugoku JR Bus Company
西条駅,ja,西条駅
西条駅,ja-Hrkt,さいじょうえき
西条駅,en,Saijo Sta.
西条駅,ko,사이조 역
西条駅,zh-cn,西条站
西条駅,zh-tw,西條站
中央公園前,ja,中央公園前
中央公園前,ja-Hrkt,ちゅうおうこうえんまえ
中央公園前,en,Chuo Koen-mae (Chuo Park)
中央公園前,ko,추오 공원
中央公園前,zh-cn,中央公园前
中央公園前,zh-tw,中央公園前
西条昭和町,ja,西条昭和町
西条昭和町,ja-Hrkt,さいじょうしょうわまち
西条昭和町,en,Saijo Showamachi
西条昭和町,ko,사이조 쇼와마치
西条昭和町,zh-cn,西条昭和町
西条昭和町,zh-tw,西條昭和町
石ヶ瀬橋,ja,石ヶ瀬橋
石ヶ瀬橋,ja-Hrkt,いしがせばし
石ヶ瀬橋,en,Ishigasebashi
石ヶ瀬橋,ko,이시가세바시
石ヶ瀬橋,zh-cn,石濑桥
石ヶ瀬橋,zh-tw,石瀨橋
西条小学校前,ja,西条小学校前
西条小学校前,ja-Hrkt,さいじょうしょうがっこうまえ
西条小学校前,en,Saijo Shogakko-mae (Saijo Elementary School)
西条小学校前,ko,사이조 초등학교 앞
西条小学校前,zh-cn,西条小学前
西条小学校前,zh-tw,西條小學前
江熊,ja,江熊
江熊,ja-Hrkt,えぐま
江熊,en,Eguma
江熊,ko,에구마
江熊,zh-cn,江熊
江熊,zh-tw,江熊
市立中央図書館前,ja,市立中央図書館前
市立中央図書館前,ja-Hrkt,ちゅうおうとしょかんまえ
市立中央図書館前,en,Chuo Toshokan-mae (Chuo Library)
市立中央図書館前,ko,중앙도서관
市立中央図書館前,zh-cn,中央图书馆前
市立中央図書館前,zh-tw,中央圖書館前
中央図書館前,ja,中央図書館前
中央図書館前,ja-Hrkt,ちゅうおうとしょかんまえ
中央図書館前,en,Chuo Toshokan-mae (Chuo Library)
中央図書館前,ko,중앙도서관
中央図書館前,zh-cn,中央图书馆前
中央図書館前,zh-tw,中央圖書館前
鏡山公園入口,ja,鏡山公園入口
鏡山公園入口,ja-Hrkt,かがみやまこうえんいりぐち
鏡山公園入口,en,Kagamiyama Koen-iriguchi (Kagamiyama Park)
鏡山公園入口,ko,가가미야마 공원
鏡山公園入口,zh-cn,镜山公园入口
鏡山公園入口,zh-tw,鏡山公園入口
池ノ上学生宿舎前,ja,池ノ上学生宿舎前
池ノ上学生宿舎前,ja-Hrkt,いけのうえがくせいしゅくしゃまえ
池ノ上学生宿舎前,en,Ikenoue Gakusei Shukusha-mae
池ノ上学生宿舎前,ko,이케노우에 가쿠세이 슈쿠샤 마에
池ノ上学生宿舎前,zh-cn,池之上学生宿舍前
池ノ上学生宿舎前,zh-tw,池之上學生宿舍前
広大中央口,ja,広大中央口
広大中央口,ja-Hrkt,ひろだいちゅうおうぐち
広大中央口,en,Hirodai-chuo-guchi (Hiroshima Univ. Central Entrance)
広大中央口,ko,히로다이 추오 구치
広大中央口,zh-cn,广大中央口
広大中央口,zh-tw,廣大中央口
広大北口,ja,広大北口
広大北口,ja-Hrkt,ひろだいきたぐち
広大北口,en,Hirodai-kitaguchi (Hiroshima Univ. North Entrance)
広大北口,ko,히로다이 키타구치
広大北口,zh-cn,广大北口
広大北口,zh-tw,廣大北口
広大二神口,ja,広大二神口
広大二神口,ja-Hrkt,ひろだいふたがみぐち
広大二神口,en,Hirodai-futagami-guchi (Hiroshima Univ. Futagami-guchi)
広大二神口,ko,히로다이 후타가미 구치
広大二神口,zh-cn,广大二神口
広大二神口,zh-tw,廣大二神口
広大西口,ja,広大西口
広大西口,ja-Hrkt,ひろだいにしぐち
広大西口,en,Hirodai-nishiguchi (Hiroshima Univ. West Entrance)
広大西口,ko,히로다이 니시구치
広大西口,zh-cn,广大西口
広大西口,zh-tw,廣大西口
大学会館前,ja,大学会館前
大学会館前,ja-Hrkt,だいがくかいかんまえ
大学会館前,en,Daigaku Kaikan-mae
大学会館前,ko,다이가쿠 카이칸 마에
大学会館前,zh-cn,大学会馆前
大学会館前,zh-tw,大學會館前
ががら口,ja,ががら口
ががら口,ja-Hrkt,ががらぐち
ががら口,en,Gagara-guchi
ががら口,ko,가가라 구치
ががら口,zh-cn,GAGARA口
ががら口,zh-tw,GAGARA口
広大東口,ja,広大東口
広大東口,ja-Hrkt,ひろだいひがしぐち
広大東口,en,Hirodai-higashiguchi (Hiroshima Univ. East Entrance)
広大東口,ko,히로다이 히가시구치
広大東口,zh-cn,广大东口
広大東口,zh-tw,廣大東口
山中池,ja,山中池
山中池,ja-Hrkt,やまなかいけ
山中池,en,Yamanakaike
山中池,ko,야마나카이케
