町丁目・大字別人口及び世帯,,,,,,,,,,,,,
令和8年7月末現在,,,,,,,,,,,,,
,,,,,,,,,,,,,
年,月,区名,住所名,秘匿区分,人口（総数計）:人,人口（総数男）:人,人口（総数女）:人,人口（日本人計）:人,人口（日本人男）:人,人口（日本人女）:人,人口（外国人）:人,世帯（総数）:世帯,世帯（日本人世帯）:世帯
2026,7,中区,白島北町,,"1,871",808,"1,063","1,758",747,"1,011",113,"1,185","1,127"
2026,7,中区,白島中町,,"1,124",517,607,"1,089",502,587,35,615,589
2026,7,中区,白島九軒町,,"1,380",623,757,"1,348",606,742,32,786,764
2026,7,中区,東白島町,,"3,621","1,730","1,891","3,519","1,689","1,830",102,"2,085","1,989"
2026,7,中区,西白島町,,"3,283","1,500","1,783","2,991","1,366","1,625",292,"2,073","1,882"
2026,7,中区,幟町,,"1,578",733,845,"1,459",671,788,119,"1,014",907
2026,7,中区,上幟町,,"2,543","1,180","1,363","2,496","1,155","1,341",47,"1,335","1,298"
2026,7,中区,鉄砲町,,520,250,270,512,245,267,8,360,355
2026,7,中区,八丁堀,,665,289,376,653,285,368,12,476,465
2026,7,中区,上八丁堀,,"1,488",665,823,"1,467",657,810,21,798,781
2026,7,中区,橋本町,,914,406,508,881,393,488,33,589,562
2026,7,中区,基町,,"4,109","1,756","2,353","2,801","1,132","1,669","1,308","2,586","1,992"
2026,7,中区,銀山町,,735,374,361,687,360,327,48,529,494
2026,7,中区,弥生町,,183,91,92,169,90,79,14,149,137
2026,7,中区,胡町,,33,18,15,33,18,15,0,20,20
2026,7,中区,薬研堀,,77,48,29,70,44,26,7,65,60
2026,7,中区,田中町,,385,182,203,311,160,151,74,250,193
2026,7,中区,三川町,,450,218,232,444,215,229,6,337,331
2026,7,中区,立町,,45,23,22,43,23,20,2,32,30
2026,7,中区,袋町,,514,225,289,496,218,278,18,324,307
2026,7,中区,中町,,914,387,527,884,376,508,30,564,539
2026,7,中区,紙屋町一丁目,,39,19,20,37,17,20,2,27,25
2026,7,中区,紙屋町二丁目,,24,12,12,24,12,12,0,11,11
2026,7,中区,大手町一丁目,,327,143,184,319,139,180,8,189,182
2026,7,中区,大手町二丁目,,393,169,224,389,167,222,4,283,279
2026,7,中区,大手町三丁目,,"1,527",709,818,"1,490",696,794,37,"1,050","1,019"
2026,7,中区,大手町四丁目,,697,310,387,684,308,376,13,520,507
2026,7,中区,大手町五丁目,,"2,709","1,206","1,503","2,597","1,158","1,439",112,"1,805","1,730"
2026,7,中区,鶴見町,,"2,258","1,082","1,176","2,155","1,040","1,115",103,"1,401","1,316"
2026,7,中区,昭和町,,"1,797",848,949,"1,713",818,895,84,"1,208","1,146"
2026,7,中区,宝町,,"1,900",848,"1,052","1,819",822,997,81,"1,371","1,312"
2026,7,中区,富士見町,,"1,877",876,"1,001","1,795",838,957,82,"1,350","1,286"
2026,7,中区,竹屋町,,"1,104",506,598,"1,058",484,574,46,803,764
2026,7,中区,小町,,"1,519",675,844,"1,496",668,828,23,957,939
2026,7,中区,国泰寺町一丁目,,"1,089",489,600,"1,030",460,570,59,804,752
2026,7,中区,国泰寺町二丁目,,"1,213",524,689,"1,199",514,685,14,811,799
2026,7,中区,平野町,,"2,204","1,026","1,178","2,166","1,016","1,150",38,"1,144","1,110"
2026,7,中区,南竹屋町,,"1,144",553,591,"1,073",517,556,71,718,649
2026,7,中区,千田町一丁目,,"1,099",456,643,"1,079",451,628,20,673,659
2026,7,中区,千田町二丁目,,981,432,549,943,422,521,38,601,563
2026,7,中区,千田町三丁目,,"1,869",852,"1,017","1,833",835,998,36,"1,013",989
2026,7,中区,東千田町一丁目,,"3,097","1,490","1,607","3,015","1,448","1,567",82,"1,418","1,375"
2026,7,中区,東千田町二丁目,,808,360,448,793,354,439,15,435,427
2026,7,中区,堀川町,,62,31,31,60,30,30,2,32,30
2026,7,中区,流川町,,113,62,51,102,60,42,11,80,69
2026,7,中区,新天地,,20,10,10,20,10,10,0,13,13
2026,7,中区,本通,,90,43,47,90,43,47,0,52,52
2026,7,中区,東平塚町,,"1,426",679,747,"1,358",654,704,68,"1,034",982
