名称,X座標,Y座標,所在地
饒津裏 バス停,34.406184,132.470894,広島県広島市東区牛田南1丁目
饒津 バス停,34.404786,132.469325,広島県広島市東区二葉の里2丁目
鶴羽根神社前 バス停,34.402554,132.471211,広島県広島市東区二葉の里2丁目
二葉の里 バス停,34.400888,132.473318,広島県広島市東区二葉の里3丁目
東照宮入口 バス停,34.400327,132.473972,広島県広島市東区二葉の里3丁目
若草町 バス停,34.397453,132.479496,広島県広島市東区若草町
愛宕町 バス停,34.396791,132.483804,広島県広島市東区若草町
東区役所前 バス停,34.395636,132.482503,広島県広島市東区東蟹屋町
広島駅前 バス停(広島駅 バス停),34.396867,132.474309,広島県広島市南区松原町
広島新幹線口 バス停,34.398901,132.476653,広島県広島市南区松原町
大学病院前 バス停,34.380077,132.477983,広島県広島市南区霞1丁目
大学病院入口 バス停,34.380348,132.475491,広島県広島市南区段原南1丁目
段原南 バス停,34.383274,132.477216,広島県広島市南区段原南1丁目
段原中央 バス停,34.387675,132.47727,広島県広島市南区段原2丁目
段原4丁目 バス停,34.389279,132.480169,広島県広島市南区段原4丁目
段原1丁目 バス停,34.391103,132.476449,広島県広島市南区段原1丁目
的場町 バス停,34.392334,132.475371,広島県広島市南区的場町2丁目
マツダスタジアム前 バス停,34.390302,132.484614,広島県広島市南区南蟹屋2丁目
西蟹屋 バス停,34.391849,132.480022,広島県広島市南区西蟹屋3丁目
荒神町 バス停,34.393126,132.478611,広島県広島市南区西蟹屋2丁目
キリンビアパーク・イオンモールソレイユ バス停,34.393939,132.499111,広島県安芸郡府中町大須2丁目
南竹屋町 バス停,34.381721,132.461547,広島県広島市中区南竹屋町
昭和町 バス停,34.382362,132.462826,広島県広島市中区昭和町
竹屋町 バス停,34.38429,132.460667,広島県広島市中区竹屋町
保健所前 バス停,34.385771,132.461163,広島県広島市中区富士見町
宝町 バス停,34.384122,132.462434,広島県広島市中区宝町
昭和町 バス停,34.383752,132.464784,広島県広島市中区昭和町
比治山橋 バス停,34.382451,132.468131,広島県広島市南区比治山本町
皆実町1丁目(南区役所前) バス停,34.379708,132.470194,広島県広島市南区比治山本町
出汐町 バス停,34.379186,132.472821,広島県広島市南区比治山本町
出汐1丁目 バス停,34.379635,132.475705,広島県広島市南区出汐1丁目
国泰寺町2丁目 バス停,34.383848,132.456735,広島県広島市中区国泰寺町2丁目
丹那町 バス停,34.363883,132.479249,広島県広島市南区丹那町
丹那町西 バス停,34.365165,132.476602,広島県広島市南区丹那町
中国自動車学校前 バス停,34.367045,132.473944,広島県広島市南区翠4丁目
県立広島大学前(広島キャンパス) バス停,34.367207,132.469486,広島県広島市南区翠5丁目
西翠町 バス停,34.369879,132.464623,広島県広島市南区翠1丁目
皆実町6丁目 バス停,34.374486,132.463462,広島県広島市南区皆実町2丁目
御幸橋 バス停,34.376306,132.459739,広島県広島市中区東千田町2丁目
広電ボウル前 バス停,34.379733,132.460887,広島県広島市中区南竹屋町
新天地 バス停,34.390411,132.462569,広島県広島市中区三川町
稲荷町×2 バス停,34.392055,132.471728,広島県広島市南区稲荷町
平塚町 バス停,34.388691,132.467764,広島県広島市中区東平塚町
鶴見橋 バス停,34.386734,132.467158,広島県広島市中区鶴見町
田中町 バス停,34.387732,132.463301,広島県広島市中区富士見町
富士見町 バス停,34.388323,132.460879,広島県広島市中区富士見町
小町 バス停,34.389089,132.458052,広島県広島市中区小町
白神社前 バス停,34.389673,132.45681,広島県広島市中区小町
市役所前 バス停,34.385585,132.454098,広島県広島市中区国泰寺町1丁目
加古町 バス停,34.38505,132.447857,広島県広島市中区加古町
大手町4丁目 バス停,34.384698,132.452934,広島県広島市中区大手町4丁目
紙屋町バス停(紙屋町東電停前),34.3952629,132.4587444,広島県広島市中区基町
紙屋町バス停(紙屋町東電停前),34.3950156,132.4583441,広島県広島市中区基町
紙屋町バス停(ヤマハ前),34.3946747,132.459545,広島県広島市中区基町
紙屋町バス停(県庁前),34.3965853,132.4583857,広島県広島市中区基町
紙屋町バス停(基町クレド前),34.3971356,132.4579736,広島県広島市中区基町
女学院前 バス停,34.398597,132.464975,広島県広島市中区上幟町
紙屋町バス停(旧市民球場跡地前),34.396131,132.454993,広島県広島市中区基町
縮景園前 バス停,34.400786,132.465774,広島県広島市中区上幟町
女学院前×2 バス停,34.39773,132.465532,広島県広島市中区上幟町
中電前 バス停,34.388179,132.455348,広島県広島市中区小町
袋町 バス停,34.390796,132.456268,広島県広島市中区中町
本通 バス停,34.39396,132.457372,広島県広島市中区紙屋町1丁目
紙屋町バス停(エディオン新館前),34.39549,132.456032,広島県広島市中区基町
立町 バス停,34.394432,132.460262,広島県広島市中区立町
八丁堀 バス停,34.393755,132.46351,広島県広島市中区八丁堀
銀山町 バス停,34.393055,132.466573,広島県広島市中区幟町
天満屋前 バス停,34.393174,132.463393,広島県広島市中区胡町
紙屋町バス停(メルパルク前),34.3957219,132.456139,広島県広島市中区基町
原爆ドーム前 バス停,34.396147,132.45462,広島県広島市中区基町
広島バスセンター バス停,34.395995,132.457196,広島県広島市中区基町
県庁前 バス停,34.396336,132.458242,広島県広島市中区基町
京口門 バス停,34.396853,132.463258,広島県広島市中区八丁堀
合同庁舎入口 バス停,34.39852,132.463768,広島県広島市中区上八丁堀
合同庁舎 バス停,34.398467,132.461683,広島県広島市中区上八丁堀
検察庁前 バス停,34.40073,132.464531,広島県広島市中区上八丁堀
逓信病院 バス停,34.40286,132.465224,広島県広島市中区東白島町
