region_id,region_nm,station_cnt
341010430,白島北町,1
341010460,東白島町,1
341010470,西白島町,3
341010490,上幟町,3
341010500,鉄砲町,1
341010540,基町,1
341010550,銀山町,1
341010570,胡町,3
341010610,立町,1
341010630,中町,1
34101064001,紙屋町一丁目,2
34101064002,紙屋町二丁目,2
34101065001,大手町一丁目,1
34101065005,大手町五丁目,1
341010710,小町,1
34101072001,国泰寺町一丁目,1
34101075001,千田町一丁目,1
34101076002,東千田町二丁目,2
341010810,本通,2
34101301001,十日市町一丁目,3
34101301002,十日市町二丁目,1
341013040,寺町,1
34101306002,堺町二丁目,3
341013130,河原町,1
34101315001,本川町一丁目,1
341013170,舟入本町,1
341013190,舟入幸町,1
34101406002,舟入南二丁目,1
34101406005,舟入南五丁目,1
34101408001,江波西一丁目,1
34102135002,牛田新町二丁目,1
34102135003,牛田新町三丁目,1
34102138005,矢賀五丁目,1
34102144001,戸坂惣田一丁目,1
341030170,松原町,5
34103023001,的場町一丁目,3
341030240,松川町,2
341030280,稲荷町,1
341030410,比治山本町,2
341031390,東駅町,1
34103216001,皆実町一丁目,1
34103216003,皆実町三丁目,2
34103216006,皆実町六丁目,1
34103237001,宇品神田一丁目,2
34103237003,宇品神田三丁目,1
34103237005,宇品神田五丁目,2
34103239001,宇品海岸一丁目,2
34103239003,宇品海岸三丁目,1
34103245001,翠一丁目,1
341043090,天満町,2
341043280,西観音町,1
34104333002,福島町二丁目,1
34104349002,横川町二丁目,1
34104349003,横川町三丁目,4
34104391001,高須一丁目,2
341043920,古江東町,1
34104414002,草津東二丁目,1
34104415003,草津南三丁目,1
34104416001,井口一丁目,2
34104416002,井口二丁目,1
34104416004,井口四丁目,1
34104419002,三滝本町二丁目,1
34104421001,己斐本町一丁目,3
34105750002,伴東二丁目,1
34105750007,伴東七丁目,1
34105752003,大塚西三丁目,1
34105752004,大塚西四丁目,1
34105848003,八木三丁目,1
34105848009,八木九丁目,1
34105849004,緑井四丁目,1
34105849007,緑井七丁目,1
34105866002,大町東二丁目,2
34105869001,毘沙門台一丁目,1
34105870002,安東二丁目,1
34105871002,上安二丁目,1
34105876001,高取北一丁目,1
34105879001,長楽寺一丁目,1
34105881003,長束三丁目,1
34105885004,西原四丁目,1
34105885008,西原八丁目,1
34105888003,祇園三丁目,1
34105895002,古市二丁目,1
34105895004,古市四丁目,1
34105897001,中筋一丁目,1
34105900004,伴中央四丁目,1
34106715001,口田一丁目,1
34106719002,落合二丁目,1
34106726001,深川一丁目,1
34106726005,深川五丁目,1
341067280,上深川町,1
341067300,狩留家町,1
34106740002,可部二丁目,1
34106742001,可部南一丁目,1
34106743001,亀山一丁目,1
34106744001,亀山南一丁目,1
341068220,白木町大字井原,1
341068270,白木町大字市川,1
341068290,白木町大字三田,3
34107846001,矢野西一丁目,1
34107854002,中野二丁目,1
34107854005,中野五丁目,1
34107858001,瀬野一丁目,1
34108943001,五日市駅前一丁目,1
341089460,旭園,1
34108948002,海老園二丁目,1
34108949001,楽々園一丁目,1
