region_id,region_nm,subway_cnt
11010530,사직동,2
11010570,무악동,1
11010610,종로1·2·3·4가동,5
11010630,종로5·6가동,2
11010670,창신1동,2
11010690,창신3동,1
11010700,숭인1동,1
11010730,혜화동,1
11020520,소공동,3
11020540,회현동,1
11020550,명동,1
11020570,필동,3
11020580,장충동,1
11020590,광희동,3
11020600,을지로동,4
11020670,황학동,1
11020690,신당동,1
11020700,다산동,1
11020710,약수동,2
11020720,청구동,2
11030520,용산2가동,1
11030530,남영동,3
11030580,효창동,1
11030650,이태원1동,1
11030730,한강로동,4
11030740,한남동,1
11040520,왕십리2동,1
11040540,마장동,1
11040550,사근동,1
11040560,행당1동,2
11040570,행당2동,1
11040590,금호1가동,1
11040660,성수1가2동,1
11040680,성수2가3동,1
11040700,용답동,3
11040720,금호2·3가동,1
11040730,옥수동,1
11050530,화양동,2
11050570,중곡3동,1
11050590,능동,4
11050620,구의3동,1
11050630,광장동,1
11050650,자양2동,1
11050670,자양4동,1
11060800,청량리동,1
11060810,용신동,4
11070540,면목4동,1
11070600,상봉2동,1
11070620,중화2동,1
11070650,묵2동,1
11070690,신내1동,1
11070710,면목본동,1
11070720,면목3·8동,1
11070730,망우본동,1
11080600,안암동,2
11080610,보문동,1
11080680,길음2동,1
11080720,월곡2동,2
11080770,장위2동,1
11080820,삼선동,1
11080830,동선동,1
11080850,석관동,1
11090600,번1동,1
11090700,미아동,1
11090710,송중동,1
11100530,쌍문3동,1
11100630,창5동,1
11100650,도봉2동,1
11110560,공릉2동,1
11110590,하계2동,1
11110650,상계1동,1
11110660,상계2동,1
11110690,상계5동,1
11110720,상계8동,1
11110760,상계3·4동,1
11110770,상계6·7동,1
11110780,중계2·3동,1
11110790,공릉1동,3
11120510,녹번동,2
11120520,불광1동,2
11120550,갈현1동,1
11120570,구산동,1
11120580,대조동,2
11120650,신사1동,1
11120660,신사2동,1
11120670,증산동,1
11120710,진관동,1
11130620,홍제1동,1
11130640,홍제3동,1
11130730,충현동,3
11130740,북아현동,1
11130750,신촌동,1
11140590,용강동,1
11140600,대흥동,2
11140660,서교동,3
11140680,합정동,1
11140730,성산2동,2
11140740,상암동,1
11140760,서강동,2
11140770,공덕동,2
11140780,아현동,1
11150510,목1동,1
11150660,신정3동,1
11150700,신정7동,1
11150720,신정4동,2
11160630,화곡8동,2
11160690,공항동,1
11160700,방화1동,2
11160710,방화2동,2
11160730,화곡1동,1
11160740,우장산동,1
11160761,방화3동,1
11170510,신도림동,2
11170540,구로3동,2
11170550,구로4동,1
11170690,수궁동,1
11170730,오류2동,1
11180510,가산동,1
11190540,여의동,2
11190550,당산1동,2
11190560,당산2동,1
11190610,양평1동,1
11190680,신길6동,2
11190710,대림2동,1
11190740,영등포동,2
11190760,문래동,1
11200530,상도1동,2
11200540,상도2동,1
11200630,사당1동,2
11200650,사당3동,1
11200680,대방동,1
11200730,사당2동,1
11210620,인헌동,1
11210680,신사동,1
11210690,신림동,1
11210800,청룡동,2
11220510,서초1동,2
11220530,서초3동,2
11220540,서초4동,1
11220550,잠원동,1
11220570,반포1동,1
11220600,반포4동,2
11220620,방배1동,2
11220630,방배2동,2
11220650,방배4동,1
11230510,신사동,1
11230511,개포3동,1
11230520,논현1동,1
11230530,논현2동,2
11230580,삼성1동,1
11230600,대치1동,2
11230640,역삼1동,1
11230650,역삼2동,1
11230660,도곡1동,2
11230720,일원본동,1
11230750,수서동,1
11230770,압구정동,1
11230790,대치2동,2
11240520,풍납2동,1
11240530,거여1동,1
11240550,마천1동,1
11240570,방이1동,1
11240590,오륜동,1
11240600,오금동,2
11240630,석촌동,1
11240650,가락본동,2
11240660,가락1동,3
11240690,문정2동,1
11240750,잠실4동,3
11240770,잠실6동,2
11240780,잠실7동,1
11240810,장지동,1
11240820,위례동,1
11250530,명일1동,1
11250540,명일2동,1
11250580,암사2동,1
11250610,천호1동,1
11250660,성내2동,3
11250670,성내3동,1
11250740,길동,1
11250750,강일동,1
11250760,상일1동,1
