"동별(1)",동별(2),동별(3),2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,소계,4501031,9579177,4601282,4977895,9299548,4481099,4818449,279629,120183,159446,2.07,1912751
"합계",종로구,소계,72324,148813,70635,78178,137048,65668,71380,11765,4967,6798,1.89,30958
"합계",종로구,사직동,4584,9139,4036,5103,8898,3898,5000,241,138,103,1.94,1984
"합계",종로구,삼청동,1065,2353,1132,1221,2114,1004,1110,239,128,111,1.98,641
"합계",종로구,부암동,4109,9170,4273,4897,8926,4169,4757,244,104,140,2.17,2046
"합계",종로구,평창동,7096,17270,7997,9273,17071,7897,9174,199,100,99,2.41,4048
"합계",종로구,무악동,2959,7714,3526,4188,7691,3513,4178,23,13,10,2.60,1602
"합계",종로구,교남동,4314,9589,4391,5198,9438,4309,5129,151,82,69,2.19,1802
"합계",종로구,가회동,1829,3714,1733,1981,3620,1682,1938,94,51,43,1.98,914
"합계",종로구,종로1.2.3.4가동,4874,8628,4981,3647,6609,3986,2623,2019,995,1024,1.36,1900
"합계",종로구,종로5.6가동,3711,6017,3104,2913,5428,2801,2627,589,303,286,1.46,1145
"합계",종로구,이화동,4436,7607,3477,4130,7057,3254,3803,550,223,327,1.59,1496
"합계",종로구,창신1동,2643,5394,2844,2550,4416,2327,2089,978,517,461,1.67,1387
"합계",종로구,창신2동,3893,8456,4309,4147,7174,3682,3492,1282,627,655,1.84,2079
"합계",종로구,창신3동,2738,6354,3127,3227,6128,2994,3134,226,133,93,2.24,1483
"합계",종로구,숭인1동,3003,6067,2930,3137,5713,2777,2936,354,153,201,1.90,1390
