region_id,region_nm,bus_stop_cnt
341010430,白島北町,5
341010450,白島九軒町,2
341010460,東白島町,6
341010470,西白島町,11
341010480,幟町,8
341010490,上幟町,16
341010500,鉄砲町,9
341010510,八丁堀,8
341010520,上八丁堀,12
341010540,基町,59
341010570,胡町,16
341010590,田中町,2
341010600,三川町,7
341010610,立町,7
341010630,中町,8
34101064001,紙屋町一丁目,7
34101065001,大手町一丁目,7
34101065002,大手町二丁目,6
34101065003,大手町三丁目,5
34101065004,大手町四丁目,6
34101065005,大手町五丁目,4
341010660,鶴見町,4
341010670,昭和町,4
341010680,宝町,6
341010690,富士見町,20
341010700,竹屋町,8
341010710,小町,6
34101072001,国泰寺町一丁目,7
34101072002,国泰寺町二丁目,3
341010730,平野町,2
341010740,南竹屋町,4
34101075001,千田町一丁目,10
34101075003,千田町三丁目,9
34101076002,東千田町二丁目,8
341010780,堀川町,3
341010820,東平塚町,4
341010830,西平塚町,2
341011150,南千田西町,2
34101301001,十日市町一丁目,4
34101301002,十日市町二丁目,3
341013020,西十日市町,5
341013040,寺町,7
34101306002,堺町二丁目,1
341013070,榎町,3
341013110,広瀬町,1
341013120,広瀬北町,5
341013140,土橋町,1
34101315001,本川町一丁目,3
34101315002,本川町二丁目,3
341013160,舟入町,1
341013170,舟入本町,4
341013180,舟入中町,2
341013190,舟入幸町,2
341013200,舟入川口町,2
341013220,西川口町,1
341013580,加古町,5
341013590,吉島町,2
341013610,中島町,3
341013620,住吉町,3
341013630,羽衣町,2
34101400001,吉島東一丁目,3
34101400002,吉島東二丁目,1
34101400003,吉島東三丁目,2
34101401001,吉島西一丁目,5
34101402001,吉島新町一丁目,1
34101402002,吉島新町二丁目,1
34101403001,光南一丁目,2
34101403002,光南二丁目,2
34101403003,光南三丁目,1
34101403005,光南五丁目,1
34101403006,光南六丁目,1
34101404002,南吉島二丁目,3
34101406001,舟入南一丁目,2
34101406002,舟入南二丁目,1
34101406003,舟入南三丁目,2
34101406004,舟入南四丁目,2
34101406005,舟入南五丁目,2
34101406006,舟入南六丁目,1
34101407001,江波東一丁目,2
34101407002,江波東二丁目,1
34101408001,江波西一丁目,2
34101408002,江波西二丁目,3
34101409001,江波南一丁目,3
34101409002,江波南二丁目,1
34101409003,江波南三丁目,1
341014100,江波本町,1
34101411001,江波二本松一丁目,2
34101411002,江波二本松二丁目,1
341014130,江波沖町,1
341014970,,2
34102007001,矢賀新町一丁目,1
34102007002,矢賀新町二丁目,6
34102007003,矢賀新町三丁目,3
34102007005,矢賀新町五丁目,1
341020080,東蟹屋町,5
341020090,若草町,7
341020120,山根町,5
341020130,愛宕町,3
34102042001,二葉の里一丁目,4
34102042002,二葉の里二丁目,8
34102042003,二葉の里三丁目,4
34102129001,牛田東一丁目,1
