region_id,region_nm,station_cnt
341010430,白島北町,1
341010470,西白島町,1
341010540,基町,1
341010810,本通,1
34102135002,牛田新町二丁目,1
34102135003,牛田新町三丁目,1
34102138005,矢賀五丁目,1
34102144001,戸坂惣田一丁目,1
341030170,松原町,1
341031390,東駅町,1
34104349003,横川町三丁目,1
34104416001,井口一丁目,1
34104419002,三滝本町二丁目,1
34104421001,己斐本町一丁目,1
34105750002,伴東二丁目,1
34105750007,伴東七丁目,1
34105752003,大塚西三丁目,1
34105752004,大塚西四丁目,1
34105848003,八木三丁目,1
34105848008,八木八丁目,1
34105849004,緑井四丁目,1
34105849006,緑井六丁目,1
34105866002,大町東二丁目,2
34105869001,毘沙門台一丁目,1
34105870002,安東二丁目,1
34105871002,上安二丁目,1
34105876001,高取北一丁目,1
34105879001,長楽寺一丁目,1
34105881004,長束四丁目,1
34105885004,西原四丁目,1
34105885008,西原八丁目,1
34105888003,祇園三丁目,1
34105895003,古市三丁目,1
34105896001,中須一丁目,1
34105897001,中筋一丁目,1
34105900004,伴中央四丁目,1
34106715001,口田一丁目,1
34106719002,落合二丁目,1
34106726001,深川一丁目,1
34106726005,深川五丁目,1
341067280,上深川町,1
341067300,狩留家町,1
34106740002,可部二丁目,1
34106742001,可部南一丁目,1
341068220,白木町大字井原,1
341068270,白木町大字市川,1
341068290,白木町大字三田,3
34107846001,矢野西一丁目,1
34107854002,中野二丁目,1
34107854005,中野五丁目,1
34107858001,瀬野一丁目,1
34108943001,五日市駅前一丁目,1
